"gene","padj","logpadj","lfc","direction"
"PAICS",5.35476734220143e-78,77.2712593939625,-0.72574164099917,"pituitary"
"LOC101748456",7.80015952721265e-07,6.10789651511982,-0.725909765970364,"pituitary"
"NR5A2",3.50414255176178e-10,9.45541823464316,-0.726709147220905,"pituitary"
"FOXP2",1.79134973253778e-24,23.7468196167844,-0.727163621221644,"pituitary"
"CDH3",5.244332623549e-15,14.2803097708358,-0.727569651804258,"pituitary"
"IFNLR1",3.36641818686711e-19,18.4728319356068,-0.728180642377948,"pituitary"
"CDH19",1.12685419935151e-07,6.94813227251942,-0.728364830917238,"pituitary"
"HOOK1",4.25856802218167e-78,77.3707364113697,-0.728776839752318,"pituitary"
"HMGN1",2.95456192845768e-24,23.5295069026532,-0.728805740129539,"pituitary"
"DDRGK1",1.06150536805485e-83,82.9740778052561,-0.729866230621423,"pituitary"
"ALG2",2.13384853559879e-95,94.6708364108198,-0.73025434808546,"pituitary"
"LOC770617",9.46715831867437e-15,14.0237803601434,-0.730482169816289,"pituitary"
"LOC107051453",4.24449754920422e-12,11.372173712846,-0.731084224066945,"pituitary"
"LANCL2",2.26169320020248e-160,159.645566307676,-0.731302076991118,"pituitary"
"FNBP1L",6.24338483838444e-66,65.2045798946001,-0.733184526544079,"pituitary"
"DFFB",1.35981723153738e-78,77.8665194597686,-0.733316503114137,"pituitary"
"TMEM164",7.46941929430974e-65,64.1267131608459,-0.734205439675716,"pituitary"
"C8H1ORF123",5.90466334249696e-106,105.228804858874,-0.734468023436517,"pituitary"
"LOC101749247",5.6888089783408e-22,21.2449786489437,-0.734626520155079,"pituitary"
"PTPRD",1.40642602479656e-73,72.8518831059215,-0.734821327510418,"pituitary"
"TRMU",2.69887110528355e-100,99.5688178563108,-0.734931326532267,"pituitary"
"NFE2L1",4.2087529532255e-148,147.375846565865,-0.735493607100208,"pituitary"
"TADA1",1.14864583170111e-74,73.9398138590824,-0.735536408653302,"pituitary"
"DPF1",8.07316662556585e-20,19.0929560838331,-0.735655804287282,"pituitary"
"BCL11B",1.31450894911144e-11,10.8812364528924,-0.73661578575936,"pituitary"
"LOC107050982",4.08395223376798e-22,21.3889193460984,-0.737384828482127,"pituitary"
