"","row.names","Name","geneid","entrezid"
"1991","421735","SSPO",421735,"NP_001139462.1"
"1992","425805","NGFR",425805,"NP_001139605.1"
"1993","100272166","NANOG",100272166,"NP_001139614.1"
"1994","423179","NDUFS3",423179,"NP_001139804.1"
"1995","396459","PVALB",396459,"NP_001152787.1"
"1996","421002","LRRC16A",421002,"NP_001152842.1"
"1997","427538","HYDIN",427538,"NP_001152843.1"
"1998","426282","MED6",426282,"NP_001152897.1"
"1999","395975","PACSIN2",395975,"NP_001152983.1"
"2000","418917","HSPH1",418917,"NP_001153170.1"
"2001","771927","BICC1",771927,"NP_001153187.1"
"2002","426045","TBL1X",426045,"NP_001153226.1"
"2003","416418","CPPED1",416418,"NP_001153454.1"
"2004","424406","UCK2",424406,"NP_001153543.1"
"2005","423122","FADS2",423122,"NP_001153900.1"
"2006","421484","AHCTF1",421484,"NP_001155273.1"
"2007","419083","PAK1",419083,"NP_001155844.1"
"2008","427003","LYRM1",427003,"NP_001155848.1"
"2009","419685","LYPLA2",419685,"NP_001155854.1"
"2010","418752","COL4A2",418752,"NP_001155862.1"
"2011","395436","USPL1",395436,"NP_001155865.1"
"2012","416457","GPER1",416457,"NP_001155877.1"
"2013","428164","PLTP",428164,"NP_001155878.1"
"2014","422050","OPN5L2",422050,"NP_001156364.1"
"2015","769780","ULK3",769780,"NP_001156379.1"
"2016","770371","SMIM5",770371,"NP_001156475.1"
"2017","427638","GPX3",427638,"NP_001156704.1"
"2018","424643","GPX7",424643,"NP_001156717.1"
"2019","427787","GLP2R",427787,"NP_001156720.1"
"2020","425033","MBNL1",425033,"NP_001156796.1"
"2021","425033","MBNL1",425033,"NP_001156798.1"
"2022","422233","MBNL3",422233,"NP_001156811.1"
"2023","423990","CALCRL",423990,"NP_001157122.1"
"2024","425505","PAQR7",425505,"NP_001157123.1"
"2025","421343","RAB3GAP2",421343,"NP_001157272.1"
"2026","426612","SEPHS1",426612,"NP_001157556.1"
"2027","772206","SMCO4",772206,"NP_001157812.1"
"2028","418822","MZT1",418822,"NP_001157822.1"
"2029","419653","EIF3I",419653,"NP_001157867.1"
"2030","395176","EBF2",395176,"NP_001158008.1"
"2031","417800","LOC417800",417800,"NP_001159384.1"
"2032","422926","LOC422926",422926,"NP_001159385.1"
"2033","768420","COTL1",768420,"NP_001159797.1"
"2034","776282","PPIA",776282,"NP_001159798.1"
"2035","100310814","SEPW1",100310814,"NP_001159799.1"
"2036","373926","FGB",373926,"NP_001161155.1"
"2037","396288","GABRQ",396288,"NP_001161175.1"
"2038","396451","PTGS2",396451,"NP_001161190.1"
"2039","396500","REL",396500,"NP_001161198.1"
"2040","396547","NAGA",396547,"NP_001161200.1"
"2041","416367","TBCA",416367,"NP_001161201.1"
"2042","418049","TST",418049,"NP_001161203.1"
"2043","419953","ACE",419953,"NP_001161204.1"
"2044","420037","EIF1",420037,"NP_001161207.1"
"2045","420668","DYNC1LI1",420668,"NP_001161209.1"
"2046","396508","CCL5",396508,"NP_001161216.1"
"2047","418056","MB",418056,"NP_001161224.1"
"2048","418152","RAD52",418152,"NP_001161230.1"
"2049","418974","VMO1",418974,"NP_001161233.1"
"2050","421217","ACYP2",421217,"NP_001161234.1"
"2051","421724","HSF2",421724,"NP_001161236.1"
"2052","421791","CCNC",421791,"NP_001161237.1"
"2053","421937","ODC1",421937,"NP_001161238.1"
"2054","396493","EPB41",396493,"NP_001161476.1"
"2055","423361","ACYP1",423361,"NP_001161477.1"
"2056","423733","DUPD1",423733,"NP_001161478.1"
"2057","425542","DDOST",425542,"NP_001161480.1"
"2058","427466","CTSL2",427466,"NP_001161481.1"
"2059","415410","RAB27A",415410,"NP_001162176.1"
"2060","100316920","OSR1",100316920,"NP_001162180.1"
"2061","429134","CRYGS",429134,"NP_001163998.1"
"2062","431581","HTR1A",431581,"NP_001163999.1"
"2063","418958","PARP4",418958,"NP_001164635.1"
"2064","770943","SCTR",770943,"NP_001165013.1"
"2065","415899","SPCS1",415899,"NP_001165115.1"
"2066","770249","RPL29",770249,"NP_001165148.1"
"2067","419134","CPNE1",419134,"NP_001165209.1"
"2068","421019","CBLN2",421019,"NP_001165239.1"
"2069","422942","LOC422942",422942,"NP_001165240.1"
"2070","419811","LAMTOR5",419811,"NP_001165357.1"
"2071","427540","HSF4",427540,"NP_001165845.2"
"2072","100359387","CARNS1",100359387,"NP_001166064.1"
"2073","769960","RAB40C",769960,"NP_001166133.1"
"2074","421858","HTR1B",421858,"NP_001166252.1"
"2075","430019","HTR6",430019,"NP_001166911.1"
"2076","100379662","SCRT2",100379662,"NP_001166993.1"
"2077","396418","CAPZB",396418,"NP_001167000.1"
"2078","415834","BANP",415834,"NP_001167017.1"
"2079","396323","VIP",396323,"NP_001170780.1"
"2080","768444","CACNA2D1",768444,"NP_001170793.2"
"2081","424698","DNAJC6",424698,"NP_001170886.1"
"2082","418627","MOSPD2",418627,"NP_001170988.1"
"2083","420401","PTH1R",420401,"NP_001171046.1"
"2084","419980","PHB",419980,"NP_001171206.1"
"2085","424466","CDC14A",424466,"NP_001171207.1"
"2086","427296","RNF170",427296,"NP_001171208.1"
"2087","429198","FSCN2",429198,"NP_001171209.1"
"2088","771738","ATOH8",771738,"NP_001171210.1"
"2089","416485","FSCN1",416485,"NP_001171603.1"
"2090","100431103","LBX1",100431103,"NP_001171614.1"
"2091","424787","PID1",424787,"NP_001171615.1"
"2092","424780","TFDP2",424780,"NP_001171642.1"
"2093","416425","PLA2G10",416425,"NP_001171686.1"
"2094","417907","NDUFA12",417907,"NP_001171687.1"
"2095","415718","FTO",415718,"NP_001172076.1"
"2096","396196","GCG",396196,"NP_001177094.1"
"2097","424545","LPHN2",424545,"NP_001177406.1"
"2098","770135","AC005943.2",770135,"NP_001177731.1"
"2099","419860","G0S2",419860,"NP_001177853.1"
"2100","770044","CEND1",770044,"NP_001180192.1"
"2101","423625","FAM213A",423625,"NP_001180447.1"
"2102","426233","MRPL45",426233,"NP_001180514.1"
"2103","428900","TSHR",428900,"NP_001180517.1"
"2104","421821","AKIRIN2",421821,"NP_001180524.1"
"2105","424185","IFIH1",424185,"NP_001180567.1"
"2106","424186","FAP",424186,"NP_001180568.1"
"2107","420335","SQLE",420335,"NP_001181856.1"
"2108","417193","PTGES",417193,"NP_001181912.1"
"2109","427165","TRAPPC13",427165,"NP_001181925.1"
"2110","416244","ADAM19",416244,"NP_001182051.1"
"2111","768659","CIDEA",768659,"NP_001182052.1"
"2112","416618","SDR42E2",416618,"NP_001182086.1"
"2113","418120","TMEM178B",418120,"NP_001182205.1"
"2114","428413","BAMBI",428413,"NP_001182330.1"
"2115","421483","MEMO1",421483,"NP_001182352.1"
"2116","424122","UBE2E3",424122,"NP_001182353.1"
"2117","427470","LOC427470",427470,"NP_001182367.1"
"2118","427859","ZNF277",427859,"NP_001182398.1"
"2119","420046","RP5-1028K7.3",420046,"NP_001182406.1"
"2120","418664","AKAP17A",418664,"NP_001182479.1"
"2121","428349","SUGP1",428349,"NP_001182480.1"
"2122","419815","SRSF3",419815,"NP_001182483.1"
"2123","417981","CYP2D6",417981,"NP_001182486.1"
"2124","421212","PRORSD1",421212,"NP_001182490.1"
"2125","422064","PTCHD4",422064,"NP_001182491.1"
"2126","424657","TCEANC2",424657,"NP_001182523.1"
"2127","426298","C22H2ORF42",426298,"NP_001182524.1"
"2128","423739","ZSWIM8",423739,"NP_001182529.1"
"2129","427233","FOCAD",427233,"NP_001182532.1"
"2130","431661","ARHGEF39",431661,"NP_001182618.1"
"2131","100502566","LOC100502566",100502566,"NP_001182714.1"
"2132","418091","PMCH",418091,"NP_001182724.1"
"2133","417520","POR",417520,"NP_001182725.1"
"2134","417215","C17H9ORF16",417215,"NP_001183963.1"
"2135","769871","TADA1",769871,"NP_001183965.1"
"2136","419245","PPDPF",419245,"NP_001183966.1"
"2137","422492","SMIM19",422492,"NP_001183985.1"
"2138","423257","COX16",423257,"NP_001183986.1"
"2139","417596","ZSWIM7",417596,"NP_001184063.1"
"2140","420410","CCM2",420410,"NP_001184073.1"
"2141","772036","ANGPTL5",772036,"NP_001184165.1"
"2142","423319","EAPP",423319,"NP_001184174.1"
"2143","770094","ACAA1",770094,"NP_001184217.1"
"2144","420858","ELOVL2",420858,"NP_001184237.1"
"2145","421850","ELOVL4",421850,"NP_001184238.1"
"2146","431579","ELOVL7",431579,"NP_001184239.1"
"2147","426199","ATP6V1H",426199,"NP_001184255.1"
"2148","422557","TENM3",422557,"NP_001185466.1"
"2149","419577","GPATCH3",419577,"NP_001185469.1"
"2150","395440","LRRC17",395440,"NP_001185529.1"
"2151","395878","PAPOLA",395878,"NP_001185530.1"
"2152","415357","PSMA4",415357,"NP_001185531.1"
"2153","415526","SPG21",415526,"NP_001185532.1"
"2154","415636","COQ9",415636,"NP_001185534.1"
"2155","415898","GLT8D1",415898,"NP_001185536.1"
"2156","415936","EMC3",415936,"NP_001185541.1"
"2157","416066","PDHB",416066,"NP_001185549.1"
"2158","416344","YIPF5",416344,"NP_001185566.1"
"2159","416574","DCTN5",416574,"NP_001185568.1"
"2160","416634","NUBP1",416634,"NP_001185570.1"
"2161","416990","PEBP1",416990,"NP_001185571.1"
"2162","417030","SDSL",417030,"NP_001185572.1"
"2163","417528","RAD51D",417528,"NP_001185575.1"
"2164","417538","MRPS17",417538,"NP_001185576.1"
"2165","418267","CSTB",418267,"NP_001185577.1"
"2166","418302","GSTK1",418302,"NP_001185578.1"
"2167","418119","MRPS33",418119,"NP_001185579.1"
"2168","418662","CD99",418662,"NP_001185580.1"
"2169","419098","ECHDC3",419098,"NP_001185581.1"
"2170","419396","PEX10",419396,"NP_001185583.1"
"2171","420243","COX6C",420243,"NP_001185586.1"
"2172","420361","ENPP2",420361,"NP_001185591.1"
"2173","373947","FDX1",373947,"NP_001185597.1"
"2174","420273","EMC2",420273,"NP_001185609.1"
"2175","374091","P4HB",374091,"NP_001185639.2"
"2176","396133","FN1",396133,"NP_001185641.1"
"2177","396316","HMGCL",396316,"NP_001185643.1"
"2178","420873","NRN1",420873,"NP_001185660.1"
"2179","423704","P4HA1",423704,"NP_001185664.1"
"2180","428315","CCR7",428315,"NP_001185681.1"
"2181","772260","COX7A2",772260,"NP_001185711.1"
"2182","768833","ROMO1",768833,"NP_001185750.1"
"2183","100526758","OST4",100526758,"NP_001185813.1"
"2184","420874","LYRM4",420874,"NP_001185817.1"
"2185","421482","DPY30",421482,"NP_001185836.1"
"2186","770363","BSG",770363,"NP_001185919.1"
"2187","770363","BSG",770363,"NP_001185921.1"
"2188","415866","NFAT5",415866,"NP_001185929.1"
"2189","422730","SLC7A2",422730,"NP_001186031.1"
"2190","423557","SOCS4",423557,"NP_001186037.1"
"2191","424063","SATB2",424063,"NP_001186039.1"
"2192","415768","SLC7A9",415768,"NP_001186062.1"
"2193","771539","DPM2",771539,"NP_001186093.1"
"2194","417228","FAM102A",417228,"NP_001186095.1"
"2195","418541","NDUFV3",418541,"NP_001186099.1"
"2196","418541","NDUFV3",418541,"NP_001186100.1"
"2197","415740","LONP2",415740,"NP_001186149.1"
"2198","416061","ARIH2",416061,"NP_001186150.1"
"2199","769549","NDUFAF2",769549,"NP_001186159.1"
"2200","770642","SMIM15",770642,"NP_001186160.1"
"2201","418001","RBX1",418001,"NP_001186179.1"
"2202","395750","ETV6",395750,"NP_001186202.1"
"2203","428757","MBOAT4",428757,"NP_001186218.1"
"2204","416691","ASB13",416691,"NP_001186223.1"
"2205","416688","ANKRD16",416688,"NP_001186243.1"
"2206","416700","EXOC4",416700,"NP_001186249.1"
"2207","417717","DNAJC2",417717,"NP_001186254.1"
"2208","769400","KCTD4",769400,"NP_001186255.1"
"2209","395609","MDM2",395609,"NP_001186313.1"
"2210","374255","MRPL23",374255,"NP_001186314.1"
"2211","395778","GINM1",395778,"NP_001186315.1"
"2212","396409","PTPN2",396409,"NP_001186316.1"
"2213","416706","MRPS5",416706,"NP_001186319.1"
"2214","416707","MAL",416707,"NP_001186320.1"
"2215","416711","TTL",416711,"NP_001186321.1"
"2216","416684","CEP41",416684,"NP_001186322.1"
"2217","416716","CST7",416716,"NP_001186323.1"
"2218","417694","ABCD2",417694,"NP_001186324.1"
"2219","416723","POLR3F",416723,"NP_001186330.1"
"2220","416726","DTD1",416726,"NP_001186331.1"
"2221","420166","TRIM55",420166,"NP_001186333.1"
"2222","403089","TEAD1",403089,"NP_001186334.1"
"2223","421593","DEPDC7",421593,"NP_001186335.1"
"2224","421594","TCP11L1",421594,"NP_001186336.1"
"2225","416729","TMX4",416729,"NP_001186337.1"
"2226","416737","MKKS",416737,"NP_001186339.1"
"2227","416738","SLX4IP",416738,"NP_001186341.1"
"2228","416745","ADCK3",416745,"NP_001186342.1"
"2229","421600","PRRG4",421600,"NP_001186344.1"
"2230","421193","USP34",421193,"NP_001186345.1"
"2231","421194","AHSA2",421194,"NP_001186347.2"
"2232","421196","KIAA1841",421196,"NP_001186348.1"
"2233","421604","MPPED2",421604,"NP_001186349.1"
"2234","421197","PEX13",421197,"NP_001186350.1"
"2235","421209","CFAP36",421209,"NP_001186352.1"
"2236","421213","MTIF2",421213,"NP_001186353.1"
"2237","421216","SPTBN1",421216,"NP_001186354.1"
"2238","421607","KIF18A",421607,"NP_001186355.1"
"2239","421223","NPHP1",421223,"NP_001186358.1"
"2240","421231","NAPB",421231,"NP_001186359.1"
"2241","416730","PLCB4",416730,"NP_001186364.1"
"2242","416679","ZC3HC1",416679,"NP_001186366.1"
"2243","416712","SLC22A7",416712,"NP_001186367.1"
"2244","416713","TTBK1",416713,"NP_001186368.1"
"2245","416721","CSRP2BP",416721,"NP_001186370.1"
"2246","416728","HAO1",416728,"NP_001186371.2"
"2247","417700","SLC26A3",417700,"NP_001186373.1"
"2248","417704","COG5",417704,"NP_001186374.1"
"2249","395129","ANGPT1",395129,"NP_001186376.1"
"2250","373970","ROCK1",373970,"NP_001186377.1"
"2251","421198","PUS10",421198,"NP_001186378.1"
"2252","421230","ZC3H6",421230,"NP_001186379.1"
"2253","421234","CD93",421234,"NP_001186380.1"
"2254","395618","RGS6",395618,"NP_001186381.1"
"2255","373987","THBS1",373987,"NP_001186382.1"
"2256","417708","SYPL1",417708,"NP_001186387.1"
"2257","417690","CPNE8",417690,"NP_001186389.1"
"2258","422970","GAS2",422970,"NP_001186399.1"
"2259","422975","PRMT3",422975,"NP_001186400.1"
"2260","417718","PMPCB",417718,"NP_001186401.1"
"2261","420196","MRPL53",420196,"NP_001186402.1"
"2262","420201","CHMP4C",420201,"NP_001186404.1"
"2263","420198","PMP2",420198,"NP_001186405.1"
"2264","417727","TMEM60",417727,"NP_001186406.1"
"2265","420185","RP11-463D19.2",420185,"NP_001186410.1"
"2266","422979","CSRP3",422979,"NP_001186415.1"
"2267","395274","FAS",395274,"NP_001186416.1"
"2268","420202","SNX16",420202,"NP_001186417.1"
"2269","422982","DHCR7",422982,"NP_001186419.1"
"2270","422988","SIRT3",422988,"NP_001186422.1"
"2271","417735","CRELD2",417735,"NP_001186426.2"
"2272","422992","IFITM5",422992,"NP_001186427.1"
"2273","417750","WASL",417750,"NP_001186429.2"
"2274","420342","ANXA13",420342,"NP_001186430.1"
"2275","420357","DEPDC6",420357,"NP_001186431.1"
"2276","422997","PTDSS2",422997,"NP_001186432.2"
"2277","423603","PHYHIPL",423603,"NP_001186433.1"
"2278","423604","BICC1",423604,"NP_001186436.1"
"2279","423606","CCSER2",423606,"NP_001186437.1"
"2280","422998","SYT12",422998,"NP_001186441.1"
"2281","423626","EXOSC3",423626,"NP_001186445.1"
