"bird","sex","treatment","nestmate","pair","c_BandDate"
"s.pu.pk","female","prolong",NA,NA,NA
"x.blk20","female","prolong",NA,NA,NA
"x.blu57","male","prolong",NA,NA,NA
"x.g50","female","prolong",NA,NA,NA
"x.y79","male","prolong",NA,NA,NA
"x.o160.w102","male","hatch","x.o37.blu60",400,"11/09/2016"
"blu124.w180.x","female","hatch","o39.y77.x",434,"11/21/2016"
"o39.y77.x","male","hatch","blu124.w180.x",434,"11/21/2016"
"x.o160.w102","male","hatch","x.o37.blu50",481,"12/15/2016"
"x.o37.blu50","female","hatch","x.o160.w102",481,"12/15/2016"
"g53.y84","male","hatch","y15.x",677,"03/03/2017"
"y15.x","female","hatch","g53.y84",677,"03/03/2017"
"blk21.x","female","hatch",NA,NA,NA
"blu103.x","female","hatch",NA,NA,NA
"blu104.w120.x","male","hatch",NA,NA,NA
"g114.w83.x","male","hatch",NA,NA,NA
"o172.w115.x","female","hatch",NA,NA,NA
"o44.blu26.x","male","hatch",NA,NA,NA
"r183.o22","female","hatch",NA,NA,NA
"r41.w99.x","male","hatch",NA,NA,NA
"r72.y83.x","male","hatch",NA,NA,NA
"x.g70","male","hatch",NA,NA,NA
"x.r178","male","hatch",NA,NA,NA
"x.r44.w95","female","hatch",NA,NA,NA
"x.y90","female","hatch",NA,NA,NA
"y7.g58","female","hatch",NA,NA,NA
"x.o171.w45","female","m.n2","blu110.w26.x",152,"07/29/2016"
"x.o171.w45","female","m.n2","blu.w20.x",155,"06/25/2016"
"x.blk23","male","m.n2","unbanded",654,"02/21/2017"
"o3.x","male","m.n2","x.blu96",717,"03/13/2017"
"x.blu96","female","m.n2","o3.x",717,"03/13/2017"
"blu10.w26.x","male","m.n2","x.o171.w45",720,"03/13/2017"
"x.o171.w45","female","m.n2","blu10.w26.x",720,"03/13/2017"
"x.o4","male","m.n2","y98.g54",745,"03/23/2017"
"y98.g54","female","m.n2","x.o4",745,"03/23/2017"
"x.blu76","male","m.n2","x.g67",752,"03/25/2017"
"x.r74.o29","female","m.n2","s.d.blk.g",837,"05/06/2017"
"x.o4","male","m.n2","y98.g54",891,"05/24/2017"
"y98.g54","female","m.n2","x.o4",891,"05/24/2017"
"x.blu76","male","m.n2","s.y.blk.pk",899,"05/25/2017"
"g34.x","male","m.n2","pk.s.blk.g",908,"05/30/2017"
"x.r74.o29","female","m.n2","s.d.blk.g",932,"06/07/2017"
"blk.s032.g.w","female","m.n2",NA,NA,NA
"blk0.x","female","m.n2",NA,NA,NA
"g.s075.pk.pu","male","m.n2",NA,NA,NA
"g.s076.pk.r","female","m.n2",NA,NA,NA
"l.s.w.d","female","m.n2",NA,NA,NA
"pk.s054.d.g","female","m.n2",NA,NA,NA
"pu.s.o.r","male","m.n2",NA,NA,NA
"s062.d.blk.g","male","m.n2",NA,NA,NA
"s090.blk.pk.w","male","m.n2",NA,NA,NA
"s333.y.blk.pk","female","m.n2",NA,NA,NA
"blu44.y102","female","extend","blu36.w6",73,"06/15/2016"
"g17.w108.x","female","extend","g3.g119.w20",135,"07/24/2016"
"g3.g119.w20","male","extend","g17.w108.x",135,"07/24/2016"
"g17.w108.x","female","extend","g3.g119.w20",258,"08/29/2016"
"g3.g119.w20","male","extend","g17.w108.x",258,"08/29/2016"
"g17.w108.x","female","extend","g3.g119.w20",372,"10/30/2016"
"g3.g119.w20","male","extend","g17.w108.x",372,"10/30/2016"
"g22.blu118","female","extend","g8.y147",387,"11/04/2016"
"g22.blu118","female","extend","g8.y147",494,"12/21/2016"
"blu44.y102","female","extend","g.s.pk.w",496,"12/24/2016"
"g17.w108.x","female","extend","g31.g114.w20",509,"12/29/2016"
"g17.w108.x","female","extend","g3.g119.w20",585,"02/03/2017"
"g3.g119.w20","male","extend","g17.w108.x",585,"02/03/2017"
"x.o61","female","extend","blu84.g29",595,"02/06/2017"
"g22.blu118","female","extend","g8.y147",597,"02/01/2017"
"x.blu73","male","extend","x.y64",690,"03/08/2017"
"x.y64","female","extend","x.blu73",690,"03/08/2017"
"blu44.y102","female","extend","g.s.pk.w",705,"03/11/2017"
"g17.w108.x","female","extend","g3.g119.w20",706,"03/10/2017"
"g3.g119.w20","male","extend","g17.w108.x",706,"03/10/2017"
"g22.blu118","female","extend","g8.y147",719,"03/12/2017"
"g17.w108.x","female","extend","g3.g119.w20",787,"04/13/2017"
"g3.g119.w20","male","extend","g17.w108.x",787,"04/13/2017"
"g17.w108.x","female","extend","g3.g119.w20",862,"05/17/2017"
"g3.g119.w20","male","extend","g17.w108.x",862,"05/17/2017"
"blu44.y102","female","extend","g.s.pk.w",872,"05/19/2017"
"g22.blu118","female","extend","g8.y197",879,"05/19/2017"
"g8.y197","male","extend","g22.blu118",879,"05/19/2017"
"blk19.x","female","extend","r.s.l.blk",887,"05/25/2017"
"x.blu69","male","extend","s.g.blk.y",888,"05/25/2017"
"l.s.o.blk","male","extend","r.s.o.d",911,"06/02/2017"
"blu44.y102","female","extend","g.s.pk.w",955,"06/21/2017"
"g17.w108.x","female","extend","g3.g119.w20",958,"06/23/2017"
"g3.g119.w20","male","extend","g17.w108.x",958,"06/23/2017"
"l.s.o.blk","male","extend","d.g.pk.s",2214,"06/01/2019"
"blu84.x","male","extend",NA,NA,NA
"g.s351.pk.w","male","extend",NA,NA,NA
"r.s057.g.pk","male","extend",NA,NA,NA
"r.s086.l.blk","male","extend",NA,NA,NA
"r.s131.o.d","female","extend",NA,NA,NA
"r.s172.l.y","male","extend",NA,NA,NA
"s089.blk.pk.pu","female","extend",NA,NA,NA
"s137.g.blk.y","female","extend",NA,NA,NA
"s186.l.o.pk","female","extend",NA,NA,NA
"o152.o120.w42","male","n5","x.r50.w97",138,"08/06/2016"
"x.r50.w97","female","n5","o152.o120.w42",138,"08/06/2016"
"o152.o120.w42","male","n5","x.r80.w97",278,"09/07/2016"
"blu37.r65.x","male","n5","x.blu109.w121",399,"11/06/2016"
"x.blu109.w121","female","n5","blu37.r65.x",399,"11/06/2016"
"blu55.g51","female","n5","x.r181",441,"11/29/2016"
"x.r181","male","n5","blu55.g51",441,"11/29/2016"
"x.r50.w97","female","n5","o25.0120.w42",456,"12/05/2016"
"x.o175.g21","female","n5","x.o68",458,"12/10/2016"
"x.o68","male","n5","x.o175.g21",458,"12/10/2016"
"o152.o120.w42","male","n5","x.r50.w97
",589,"03/10/2017"
"blu41.y100.x","male","n5","x.o70",590,"02/05/2017"
"x.o70","female","n5","blu41.y100.x",590,"02/05/2017"
"x.o175.g21","female","n5","x.o68",604,"02/07/2017"
"x.o68","male","n5","x.o175.g21",604,"02/07/2017"
"x.g43","female","n5","d.s.y.blk",619,"02/10/2017"
"blk12.x","male","n5","y94.g133.x",626,"02/12/2017"
"y94.g133.x","female","n5","blk12.x",626,"02/12/2017"
"blu55.g51","female","n5","x.r181",655,"02/22/2017"
"x.r181","male","n5","blu55.g51",655,"02/22/2017"
"x.g37","female","n5","d.s.blk.o",663,"02/28/2017"
"x.blu30","male","n5","y6.o54",697,"03/12/2017"
"y6.o54","female","n5","x.blu30",697,"03/12/2017"
"x.g49","female","n5","x.o164.w123",700,"03/11/2017"
"x.o164.w123","male","n5","x.g49",700,"03/11/2017"
"x.o175.g21","female","n5","x.o68",716,"03/13/2017"
"x.o68","male","n5","x.o175.g21",716,"03/13/2017"
"d.s008.y.blk","male","n5",NA,NA,NA
"d.s047.blk.o","male","n5",NA,NA,NA
"blu36.w16","female","n9","x.blu23.w14",95,"07/16/2016"
"x.blu23.w14","male","n9","blu36.w16",95,"07/16/2016"
"x.w6","female","n9","r21.x",98,"07/27/2016"
"y129.x","male","n9","x.w50",171,"08/10/2016"
"x.g4.w50","female","n9","blu3.x",241,"05/16/2016"
"x.y138.w176","female","n9","y131.w185.x",337,"10/11/2016"
"y131.w185.x","male","n9","x.y138.w176",337,"10/11/2016"
"y129.x","male","n9","x.w50",350,"10/18/2016"
"r.y.s007.blk","male","n9","x.w178",414,"11/09/2016"
"x.w178","female","n9","r.y.s007.blk",414,"11/09/2016"
"x.g4.w50","female","n9","y129.x",436,"11/22/2016"
"y129.x","male","n9","x.g4.w50",436,"11/22/2016"
"blu36.w16","female","n9","x.blu23.w14",438,"11/22/2016"
"x.blu23.w14","male","n9","blu36.w16",438,"11/22/2016"
"blk4.x","female","n9","x.blk16",498,"12/23/2016"
"x.blk16","male","n9","blk4.x",498,"12/23/2016"
"y97.x","female","n9","x.y145.r55",505,"12/30/2016"
"blk4.x","female","n9","x.blk16",628,"02/13/2017"
"x.blk16","male","n9","blk4.x",628,"02/13/2017"
"blu81.r88","male","n9","r95.blu99",671,"03/01/2017"
"r95.blu99","female","n9","blu81.r88",671,"03/01/2017"
"g.s.blk.d","male","n9","x.w6",688,"03/09/2017"
"x.w6","female","n9","g.s.blk.d",688,"03/09/2017"
"r195.x","male","n9","x.y9",707,"03/09/2017"
"x.y9","female","n9","r195.x",707,"03/09/2017"
"x.o2","male","n9","y97.x",724,"03/14/2017"
"y97.x","female","n9","x.o2",724,"03/14/2017"
"g.s.blk.d","male","n9","r.s.blk.pk",976,"06/27/2017"
"r.s171.l.w","female","n9",NA,NA,NA
"r37.w100.x","male","n9",NA,NA,NA
"s187.l.o.r","male","n9",NA,NA,NA
"x.blu43.g132","female","n9",NA,NA,NA
