"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARCN1",1551.40884596179,0.7459047901814,0.12287112402246,6.07062722112849,1.27411634416499e-09,1.70680625464342e-07
"ZNF236",474.404244753251,-0.763527245557311,0.125720445890841,-6.07321458452554,1.2537473850932e-09,1.70680625464342e-07
"TRNAU1AP",282.440981209756,-0.580028411235723,0.0954867344568043,-6.07443970657634,1.24421372118525e-09,1.70680625464342e-07
"SURF2",134.332082416438,-0.793067413353853,0.130828235784842,-6.06189794272023,1.34524569048173e-09,1.78424864056369e-07
"LOC101747712",474.914981669077,1.16337804022399,0.192022627672229,6.05854661154728,1.37356947265187e-09,1.80395457408279e-07
"CTC-554D6.1",572.260839509982,-0.946386740492321,0.156786662062764,-6.03614317723958,1.57841217303836e-09,2.05285528835164e-07
"SPEF2",126.486826480354,-1.15952321723097,0.192208414616646,-6.0326350412057,1.6130744347148e-09,2.07776395456149e-07
"BAI3",1018.62129490186,-0.701296937606602,0.11633045400232,-6.02848964719603,1.65498997109561e-09,2.11145196693303e-07
"GNPTG",784.055813971405,-0.62036518624536,0.102962846795112,-6.02513630455301,1.68967164310743e-09,2.13536238972331e-07
"RAP1GDS1",623.833801802907,-0.602628422578455,0.100048357168601,-6.02337149387579,1.70820746100279e-09,2.13861188295265e-07
"CPSF3",1016.41569420769,-0.683396087212031,0.113489057339002,-6.02169145850482,1.72603689681606e-09,2.14092502497667e-07
"OTUB1",295.546588931047,1.36219520982917,0.226677561367918,6.00939590848255,1.86215877220237e-09,2.28857604701128e-07
"ATXN7L1",678.652885433787,-0.707441852561115,0.117777196386885,-6.00661141769114,1.89440808812987e-09,2.30704461350797e-07
"RBMX",3317.676847987,-0.556385667304095,0.0927149664701497,-6.00103401302774,1.96064910516095e-09,2.36620319033659e-07
"PLEKHG1",601.113903221231,-1.04744055503916,0.174675406298868,-5.99649702973642,2.01619296175988e-09,2.4115107960478e-07
"LRP1",1096.50569974967,-0.911317534577346,0.152084146558877,-5.99219284322016,2.07030214935703e-09,2.45431571617582e-07
"XRN2",1082.30479380987,0.475272555325508,0.079516617504318,5.97702178792627,2.27253814990467e-09,2.67043167158974e-07
"MAP2K4",364.388585243356,-0.539551697787145,0.090311854106144,-5.97431758131116,2.31055310115262e-09,2.69149298635135e-07
"TTBK2",495.80544508177,-0.842721509979247,0.141621824867584,-5.95050593908947,2.67314871523753e-09,3.08702587838982e-07
"REV3L",987.99007452799,-0.669411063396481,0.112619727130802,-5.94399471967284,2.78158564489998e-09,3.18479669222907e-07
"SACS",536.460690564676,-0.964378149188014,0.16229217538283,-5.94223441095141,2.81162963820113e-09,3.19191446045274e-07
"BCL11A",100.207762160241,1.37254436654009,0.231077870837363,5.93974819642556,2.85460194003926e-09,3.21346618392991e-07
"ARIH2",509.948455237896,-0.419447184131142,0.0707006039430805,-5.93272420231133,2.97949111936038e-09,3.32610525291264e-07
"KIAA1107",1541.62109200943,-1.00337642354906,0.169310940522031,-5.92623501148466,3.09958911691911e-09,3.43157816613623e-07
"POLR3E",299.795843083645,-0.557570979780457,0.0941233722984225,-5.92383130953545,3.14526104053554e-09,3.45359974582083e-07
"C26H6ORF106",1093.54751987334,0.515714906095199,0.0872869569741828,5.90826996349218,3.45719140167936e-09,3.76524683064201e-07
"LOC101750635",255.323171282591,1.81036467866348,0.306710964791927,5.90251046255104,3.58011405801964e-09,3.8676780581638e-07
"PAGR1",115.165923433393,1.70988730549981,0.290525729676465,5.88549354098162,3.96867886464619e-09,4.25315376566403e-07
"CPEB2",41.9669767078106,-2.61383978251628,0.444864562029876,-5.87558552785046,4.21351351013631e-09,4.47970055411e-07
"RAB35",593.517852479366,0.407899507869263,0.0694622456170279,5.8722476396483,4.29925873116558e-09,4.49944296583548e-07
"F8A3",61.9247921736738,2.09686231080489,0.357079248303431,5.87226034771716,4.29892908226969e-09,4.49944296583548e-07
"RP11-73M18.2",29.4499786087883,-2.41529504981273,0.411519359137374,-5.86921367411648,4.37866827948906e-09,4.51311985829847e-07
"SULT4A1",356.839650060634,-0.860909758938515,0.146683282825638,-5.86917433503228,4.37970723782324e-09,4.51311985829847e-07
