"","V1","bird","sex","tissue","treatment","group","study","BRCA1","PRL","study2"
"144","r.s057.g.pk_male_pituitary_extend","r.s057.g.pk","male","pituitary","extend","male.pituitary.extend","manipulation",7.40808821466642,18.9662489986595,"timing"
"145","r.s058.d.l_male_pituitary_m.inc.d8","r.s058.d.l","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.3532899082518,16.7388518183642,"timing"
"146","r.s059.d.o_male_pituitary_bldg","r.s059.d.o","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.40321415699474,17.0655632600694,"charcterization"
"147","r.s086.l.blk_male_pituitary_extend","r.s086.l.blk","male","pituitary","extend","male.pituitary.extend","manipulation",7.82455592953069,20.3759772227365,"timing"
"148","r.s116.blk.pu_male_pituitary_lay","r.s116.blk.pu","male","pituitary","lay","male.pituitary.lay","charcterization",7.21339466374108,16.4835517390274,"charcterization"
"149","r.s131.o.d_female_pituitary_extend","r.s131.o.d","female","pituitary","extend","female.pituitary.extend","manipulation",7.42928091851234,18.8110889135061,"timing"
"150","r.s171.l.w_female_pituitary_n9","r.s171.l.w","female","pituitary","n9","female.pituitary.n9","charcterization",7.37524188798464,19.5585158129852,"charcterization"
"151","r.s172.l.y_male_pituitary_extend","r.s172.l.y","male","pituitary","extend","male.pituitary.extend","manipulation",7.7154358506806,20.1720732804852,"timing"
"152","r.y.s007.blk_male_pituitary_n9","r.y.s007.blk","male","pituitary","n9","male.pituitary.n9","charcterization",7.47300942188293,19.3800035577079,"charcterization"
"153","r176.blu54_male_pituitary_inc.d17","r176.blu54","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",8.15367710661581,19.9090360069011,"charcterization"
"154","r183.o22_female_pituitary_hatch","r183.o22","female","pituitary","hatch","female.pituitary.hatch","charcterization",8.02815628351694,20.1488408245483,"charcterization"
"155","r190.o43.x_male_pituitary_lay","r190.o43.x","male","pituitary","lay","male.pituitary.lay","charcterization",7.25395634203695,17.5270185127069,"charcterization"
"156","r194.x_female_pituitary_prolong","r194.x","female","pituitary","prolong","female.pituitary.prolong","manipulation",7.87402360226091,20.8706601815792,"timing"
"157","r195.x_male_pituitary_n9","r195.x","male","pituitary","n9","male.pituitary.n9","charcterization",7.41828183899379,19.1093889815275,"charcterization"
"158","r196.x_male_pituitary_m.inc.d9","r196.x","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation",7.51452945875346,17.2507175363144,"removal"
"159","r27.w111.blu125_female_pituitary_inc.d3","r27.w111.blu125","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.17405738219274,17.8495878904442,"charcterization"
"160","r30.w112.r46_female_pituitary_inc.d9","r30.w112.r46","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.24736574945914,17.7800967192745,"charcterization"
"161","r36.w184.x_female_pituitary_inc.d9","r36.w184.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.51072116437304,18.5795834878442,"charcterization"
"162","r37.w100.x_male_pituitary_n9","r37.w100.x","male","pituitary","n9","male.pituitary.n9","charcterization",7.47245343568936,17.1682725184035,"charcterization"
"163","r4.x_male_pituitary_m.inc.d8","r4.x","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.34984246739662,18.001773352757,"timing"
"164","r41.w99.x_male_pituitary_hatch","r41.w99.x","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.98539410410906,20.9652956509307,"charcterization"
"165","r45.X_male_pituitary_inc.d9","r45.X","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization",7.01269533345111,17.751987793628,"charcterization"
"166","r49.w189.x_female_pituitary_inc.d17","r49.w189.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization",8.1468045871395,20.5739245122059,"charcterization"
"167","r6.x_female_pituitary_control","r6.x","female","pituitary","control","female.pituitary.control","charcterization",7.39968934022461,16.6884589306315,"charcterization"
"168","r72.y83.x_male_pituitary_hatch","r72.y83.x","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.69994273653661,20.6249632057558,"charcterization"
"169","r73.g127.x_female_pituitary_inc.d3","r73.g127.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.37851801169544,17.6543189933191,"charcterization"
