"","row.names","Name","geneid","entrezid"
"NP_001001613.1","414741","CD74",414741,"NP_001001613.1"
"NP_001001614.1","414743","TGFA",414743,"NP_001001614.1"
"NP_001001733.1","374259","CACNB4",374259,"NP_001001733.1"
"NP_001001741.1","414884","CCK",414884,"NP_001001741.1"
"NP_001001742.1","414885","CCKBR",414885,"NP_001001742.1"
"NP_001001744.1","373974","IRX4",373974,"NP_001001744.1"
"NP_001001745.1","414795","VSIG1",414795,"NP_001001745.1"
"NP_001001746.1","414796","ST8SIA3",414796,"NP_001001746.1"
"NP_001001748.1","414798","CYB5A",414798,"NP_001001748.1"
"NP_001001751.1","414832","CYP3A7",414832,"NP_001001751.1"
"NP_001001752.1","414833","CYP2C45",414833,"NP_001001752.1"
"NP_001001753.1","414834","CYP7A1",414834,"NP_001001753.1"
"NP_001001755.1","414837","THBS2",414837,"NP_001001755.1"
"NP_001001756.1","414838","CYP11A1",414838,"NP_001001756.1"
"NP_001001757.1","414841","CYP2C8",414841,"NP_001001757.1"
"NP_001001758.1","414842","CDH6",414842,"NP_001001758.1"
"NP_001001759.1","414847","CDHR1",414847,"NP_001001759.1"
"NP_001001761.2","414854","CYP19A1",414854,"NP_001001761.2"
"NP_001001763.1","414870","SLC5A7",414870,"NP_001001763.1"
"NP_001001764.1","414873","PDLIM3",414873,"NP_001001764.1"
"NP_001001765.1","414879","UBA5",414879,"NP_001001765.1"
"NP_001001767.2","414881","RNF114",414881,"NP_001001767.2"
"NP_001001772.1","414891","SLC24A2",414891,"NP_001001772.1"
"NP_001001773.1","414892","SLC24A1",414892,"NP_001001773.1"
"NP_001001776.1","414895","GSTA",414895,"NP_001001776.1"
"NP_001001777.1","414896","GSTA3",414896,"NP_001001777.1"
"NP_001001778.2","414829","CMTM3",414829,"NP_001001778.2"
"NP_001001779.1","414876","AvBD11",414876,"NP_001001779.1"
"NP_001001783.1","414782","RPS13",414782,"NP_001001783.1"
"NP_001001784.1","414803","THPO",414803,"NP_001001784.1"
"NP_001001785.1","414780","XYLT2",414780,"NP_001001785.1"
"NP_001001858.1","396057","STMN1",396057,"NP_001001858.1"
"NP_001001879.1","415121","CYP4V2",415121,"NP_001001879.1"
"NP_001001901.1","425056","CYP17A1",425056,"NP_001001901.1"
"NP_001002242.1","432370","CSNK2A1",432370,"NP_001002242.1"
"NP_001003797.1","416018","GATA2",416018,"NP_001003797.1"
"NP_001004369.1","415400","CCNB2",415400,"NP_001004369.1"
"NP_001004370.1","415490","RHCG",415490,"NP_001004370.1"
"NP_001004372.1","415803","GCSH",415803,"NP_001004372.1"
"NP_001004373.1","415809","PNAT3",415809,"NP_001004373.1"
"NP_001004374.1","416650","HBZ",416650,"NP_001004374.1"
"NP_001004375.1","416651","HBAD",416651,"NP_001004375.1"
"NP_001004376.1","416652","HBAA",416652,"NP_001004376.1"
"NP_001004377.1","416669","PAM16",416669,"NP_001004377.1"
"NP_001004378.1","417044","GNB2L1",417044,"NP_001004378.1"
"NP_001004379.1","417158","RPL7A",417158,"NP_001004379.1"
"NP_001004380.1","417771","CAPZA2",417771,"NP_001004380.1"
"NP_001004382.1","417890","EPYC",417890,"NP_001004382.1"
"NP_001004384.1","418090","IGF1",418090,"NP_001004384.1"
"NP_001004387.1","418308","EPHB6",418308,"NP_001004387.1"
"NP_001004389.2","418486","CCT8",418486,"NP_001004389.2"
"NP_001004391.1","419222","CDH4",419222,"NP_001004391.1"
"NP_001004392.2","419243","COL20A1",419243,"NP_001004392.2"
"NP_001004393.1","419263","STMN3",419263,"NP_001004393.1"
"NP_001004395.1","419825","CNTN2",419825,"NP_001004395.1"
"NP_001004396.1","419956","RNF113A",419956,"NP_001004396.1"
"NP_001004397.1","420077","SF3A2",420077,"NP_001004397.1"
"NP_001004399.1","420872","LY86",420872,"NP_001004399.1"
"NP_001004400.1","420883","TUBB2B",420883,"NP_001004400.1"
"NP_001004401.1","422743","PPAT",422743,"NP_001004401.1"
"NP_001004402.1","422842","WDR1",422842,"NP_001004402.1"
"NP_001004403.1","422902","SLBP",422902,"NP_001004403.1"
"NP_001004405.2","423233","CAPN3",423233,"NP_001004405.2"
"NP_001004406.1","423320","CFL2",423320,"NP_001004406.1"
"NP_001004407.1","424230","GYPC",424230,"NP_001004407.1"
"NP_001004408.1","424547","VTG1",424547,"NP_001004408.1"
"NP_001004409.1","424776","TRPC1",424776,"NP_001004409.1"
"NP_001004410.1","424971","PIK3CA",424971,"NP_001004410.1"
"NP_001004412.1","425031","MME",425031,"NP_001004412.1"
"NP_001004413.2","426905","NCSTN",426905,"NP_001004413.2"
"NP_001004414.2","428264","IL10",428264,"NP_001004414.2"
"NP_001004767.1","423646","SIRT1",423646,"NP_001004767.1"
"NP_001004768.1","448832","MCAM",448832,"NP_001004768.1"
"NP_001005345.2","416362","PDLIM7",416362,"NP_001005345.2"
"NP_001005346.1","419088","TSKU",419088,"NP_001005346.1"
"NP_001005347.1","422851","EVC",422851,"NP_001005347.1"
"NP_001005427.1","374137","MEOX2",374137,"NP_001005427.1"
"NP_001005431.1","421186","FKBP5",421186,"NP_001005431.1"
"NP_001005571.1","425055","CYP8B1",425055,"NP_001005571.1"
"NP_001005618.1","419485","PLOD1",419485,"NP_001005618.1"
"NP_001005791.1","395127","AVEN",395127,"NP_001005791.1"
"NP_001005796.1","396509","SSRP1",396509,"NP_001005796.1"
"NP_001005798.1","404774","SNTB1",404774,"NP_001005798.1"
"NP_001005800.1","415328","CTD-2116N17.1",415328,"NP_001005800.1"
"NP_001005802.1","415334","SEC11A",415334,"NP_001005802.1"
"NP_001005813.1","415421","TMOD3",415421,"NP_001005813.1"
"NP_001005819.1","415461","BTBD1",415461,"NP_001005819.1"
"NP_001005821.1","415498","MRPS11",415498,"NP_001005821.1"
"NP_001005823.1","415523","SNRPA1",415523,"NP_001005823.1"
"NP_001005825.1","415540","VWA9",415540,"NP_001005825.1"
"NP_001005827.1","415544","RAB11A",415544,"NP_001005827.1"
"NP_001005830.1","415549","MAP2K1",415549,"NP_001005830.1"
"NP_001005833.1","415627","CFAP20",415627,"NP_001005833.1"
"NP_001005834.2","415637","CIAPIN1",415637,"NP_001005834.2"
"NP_001005835.1","769430","E2F4",769430,"NP_001005835.1"
"NP_001005839.1","415730","BRD7",415730,"NP_001005839.1"
"NP_001005840.1","415742","ITFG1",415742,"NP_001005840.1"
"NP_001005841.1","415744","DNAJA2",415744,"NP_001005841.1"
"NP_001005842.1","415750","VPS35",415750,"NP_001005842.1"
"NP_001005843.1","415752","UQCRFS1",415752,"NP_001005843.1"
"NP_001005848.1","395128","HES4",395128,"NP_001005848.1"
"NP_001006128.1","415783","GPI",415783,"NP_001006128.1"
"NP_001006130.1","415817","USP10",415817,"NP_001006130.1"
"NP_001006131.1","415876","DHODH",415876,"NP_001006131.1"
"NP_001006134.1","415937","USP4",415937,"NP_001006134.1"
"NP_001006135.1","415942","WDR82",415942,"NP_001006135.1"
"NP_001006136.1","415974","ACAD9",415974,"NP_001006136.1"
"NP_001006137.1","416015","C12H3ORF37",416015,"NP_001006137.1"
"NP_001006138.1","416022","RUVBL1",416022,"NP_001006138.1"
"NP_001006140.2","416044","CCDC174",416044,"NP_001006140.2"
"NP_001006141.1","416087","SUCLG2",416087,"NP_001006141.1"
"NP_001006142.1","416098","PPP4R2",416098,"NP_001006142.1"
"NP_001006143.1","416110","EDEM1",416110,"NP_001006143.1"
"NP_001006144.1","416132","HARS",416132,"NP_001006144.1"
"NP_001006145.1","416133","IK",416133,"NP_001006145.1"
"NP_001006146.1","416157","SLU7",416157,"NP_001006146.1"
"NP_001006147.1","416183","HSPA9",416183,"NP_001006147.1"
"NP_001006148.1","416219","BRD8",416219,"NP_001006148.1"
"NP_001006149.1","416250","TIMD4",416250,"NP_001006149.1"
"NP_001006150.1","416265","G3BP1",416265,"NP_001006150.1"
"NP_001006151.1","416270","RBM22",416270,"NP_001006151.1"
"NP_001006152.1","416318","PPP2CA",416318,"NP_001006152.1"
"NP_001006153.1","416319","CTD-2410N18.5",416319,"NP_001006153.1"
"NP_001006154.2","416321","C13H5ORF15",416321,"NP_001006154.2"
"NP_001006156.1","416341","GNPDA1",416341,"NP_001006156.1"
"NP_001006158.1","416433","CCZ1",416433,"NP_001006158.1"
"NP_001006160.2","416467","NUDT1",416467,"NP_001006160.2"
"NP_001006161.2","416476","CARD11",416476,"NP_001006161.2"
"NP_001006162.1","416481","WIPI2",416481,"NP_001006162.1"
"NP_001006163.1","416504","COPS3",416504,"NP_001006163.1"
"NP_001006164.1","416508","PEMT",416508,"NP_001006164.1"
"NP_001006166.1","416545","TBL3",416545,"NP_001006166.1"
"NP_001006167.2","416565","LCMT1",416565,"NP_001006167.2"
"NP_001006169.1","416597","NDE1",416597,"NP_001006169.1"
"NP_001006170.1","416598","FOPNL",416598,"NP_001006170.1"
"NP_001006171.1","416604","RP11-1035H13.3",416604,"NP_001006171.1"
"NP_001006172.1","416623","METTL9",416623,"NP_001006172.1"
"NP_001006174.1","416628","RMI2",416628,"NP_001006174.1"
"NP_001006175.1","416666","TRAP1",416666,"NP_001006175.1"
"NP_001006176.1","416670","CORO7",416670,"NP_001006176.1"
"NP_001006177.1","416715","APMAP",416715,"NP_001006177.1"
"NP_001006179.1","416724","SEC23B",416724,"NP_001006179.1"
"NP_001006180.1","416769","AL158801.1",416769,"NP_001006180.1"
"NP_001006181.1","416771","TOP3B",416771,"NP_001006181.1"
"NP_001006182.1","416777","SEPT2L",416777,"NP_001006182.1"
"NP_001006183.1","416787","RANBP1",416787,"NP_001006183.1"
"NP_001006184.1","416811","AACS",416811,"NP_001006184.1"
"NP_001006185.1","416820","DDX55",416820,"NP_001006185.1"
"NP_001006186.1","416821","SSPO",416821,"NP_001006186.1"
"NP_001006187.1","416842","ANAPC5",416842,"NP_001006187.1"
"NP_001006189.1","416853","RP11-87C12.2",416853,"NP_001006189.1"
"NP_001006190.1","416872","PPP1CC",416872,"NP_001006190.1"
"NP_001006191.2","416884","TRAFD1",416884,"NP_001006191.2"
"NP_001006192.2","416918","XBP1",416918,"NP_001006192.2"
"NP_001006193.1","416969","ACADS",416969,"NP_001006193.1"
"NP_001006195.1","417019","THOC5",417019,"NP_001006195.1"
"NP_001006197.1","417134","PMPCA",417134,"NP_001006197.1"
"NP_001006198.1","417144","WDR5",417144,"NP_001006198.1"
"NP_001006199.1","417184","FUBP3",417184,"NP_001006199.1"
"NP_001006200.1","417197","SSPO",417197,"NP_001006200.1"
"NP_001006201.1","417226","CDK9",417226,"NP_001006201.1"
"NP_001006202.1","417254","NELFB",417254,"NP_001006202.1"
"NP_001006203.1","417286","EDF1",417286,"NP_001006203.1"
"NP_001006204.1","417363","SRP68",417363,"NP_001006204.1"
"NP_001006205.1","417366","ACOX1",417366,"NP_001006205.1"
"NP_001006206.1","417382","GPS1",417382,"NP_001006206.1"
"NP_001006207.2","417405","UTP6",417405,"NP_001006207.2"
"NP_001006208.1","417410","RHOT1",417410,"NP_001006208.1"
"NP_001006210.1","417423","NOL11",417423,"NP_001006210.1"
"NP_001006211.1","417477","SBDS",417477,"NP_001006211.1"
"NP_001006212.1","417484","WBSCR16",417484,"NP_001006212.1"
"NP_001006214.1","417508","PRKRIP1",417508,"NP_001006214.1"
"NP_001006215.2","417530","LIG3",417530,"NP_001006215.2"
"NP_001006216.1","417541","CCT6A",417541,"NP_001006216.1"
"NP_001006219.1","417554","YWHAE",417554,"NP_001006219.1"
"NP_001006221.1","417563","RPA1",417563,"NP_001006221.1"
"NP_001006224.1","417628","TRIM37",417628,"NP_001006224.1"
"NP_001006225.1","417716","PSMC2",417716,"NP_001006225.1"
"NP_001006226.1","417728","PHTF2",417728,"NP_001006226.1"
"NP_001006227.1","417739","MAPK11",417739,"NP_001006227.1"
"NP_001006229.2","417773","TFEC",417773,"NP_001006229.2"
"NP_001006230.1","417784","THAP5",417784,"NP_001006230.1"
"NP_001006231.1","417811","RPAP3",417811,"NP_001006231.1"
"NP_001006232.1","417889","POC1B",417889,"NP_001006232.1"
"NP_001006233.1","417912","METAP2",417912,"NP_001006233.1"
"NP_001006234.1","417918","LTA4H",417918,"NP_001006234.1"
"NP_001006235.1","417923","TMPO",417923,"NP_001006235.1"
"NP_001006238.1","417999","L3MBTL2",417999,"NP_001006238.1"
"NP_001006239.2","418011","RPS19BP1",418011,"NP_001006239.2"
"NP_001006240.2","418014","TAB1",418014,"NP_001006240.2"
"NP_001006241.1","418016","RPL3",418016,"NP_001006241.1"
"NP_001006242.1","418019","DNAL4",418019,"NP_001006242.1"
"NP_001006243.1","418058","MCM5",418058,"NP_001006243.1"
"NP_001006245.1","418145","WASH1",418145,"NP_001006245.1"
"NP_001006246.1","418162","ATP6V1E1",418162,"NP_001006246.1"
"NP_001006247.2","418175","STRAP",418175,"NP_001006247.2"
"NP_001006248.1","418176","DERA",418176,"NP_001006248.1"
"NP_001006250.1","418261","FKBP4",418261,"NP_001006250.1"
"NP_001006251.1","418281","ING4",418281,"NP_001006251.1"
"NP_001006252.1","418365","TAF13",418365,"NP_001006252.1"
"NP_001006253.1","418398","PCNP",418398,"NP_001006253.1"
"NP_001006255.2","418413","HJURP",418413,"NP_001006255.2"
"NP_001006256.2","418470","SAMSN1",418470,"NP_001006256.2"
"NP_001006258.1","418497","C1H21ORF59",418497,"NP_001006258.1"
"NP_001006259.1","418595","PDK3",418595,"NP_001006259.1"
"NP_001006260.1","418597","EIF2S3L",418597,"NP_001006260.1"
"NP_001006263.1","418634","TRAPPC2",418634,"NP_001006263.1"
"NP_001006265.2","418735","CDC16",418735,"NP_001006265.2"
"NP_001006266.2","418745","PCID2",418745,"NP_001006266.2"
"NP_001006267.1","418765","ARGLU1",418765,"NP_001006267.1"
"NP_001006268.1","418778","UBAC2",418778,"NP_001006268.1"
"NP_001006270.1","418842","GPALPP1",418842,"NP_001006270.1"
"NP_001006271.2","418857","SUCLA2",418857,"NP_001006271.2"
"NP_001006273.1","418871","SPRYD7",418871,"NP_001006273.1"
"NP_001006274.1","418882","CKAP2",418882,"NP_001006274.1"
"NP_001006276.1","418907","RFC3",418907,"NP_001006276.1"
"NP_001006277.1","418951","N6AMT2",418951,"NP_001006277.1"
"NP_001006278.1","418983","MMP7",418983,"NP_001006278.1"
"NP_001006279.2","418984","TMEM123",418984,"NP_001006279.2"
"NP_001006280.1","419000","MED17",419000,"NP_001006280.1"
"NP_001006281.1","419039","RP11-234B24.6",419039,"NP_001006281.1"
"NP_001006284.2","419053","POLD3",419053,"NP_001006284.2"
"NP_001006285.1","419139","UQCC",419139,"NP_001006285.1"
"NP_001006286.1","419150","CHMP4B",419150,"NP_001006286.1"
"NP_001006289.1","419190","YWHAB",419190,"NP_001006289.1"
"NP_001006290.1","419194","ADA",419194,"NP_001006290.1"
"NP_001006291.1","419196","SERINC3",419196,"NP_001006291.1"
"NP_001006293.1","419308","DDX27",419308,"NP_001006293.1"
"NP_001006294.1","419312","NELFCD",419312,"NP_001006294.1"
"NP_001006296.1","419317","VAPB",419317,"NP_001006296.1"
"NP_001006297.2","419329","RTFDC1",419329,"NP_001006297.2"
"NP_001006298.1","419373","ICMT",419373,"NP_001006298.1"
"NP_001006299.2","419383","WRAP73",419383,"NP_001006299.2"
"NP_001006300.1","419397","RER1",419397,"NP_001006300.1"
"NP_001006301.1","419408","MIB2",419408,"NP_001006301.1"
"NP_001006302.1","419423","SDF4",419423,"NP_001006302.1"
"NP_001006303.1","419450","PGD",419450,"NP_001006303.1"
"NP_001006304.1","419472","PQLC2",419472,"NP_001006304.1"
"NP_001006305.2","419513","NFU1",419513,"NP_001006305.2"
"NP_001006306.1","419535","CHMP7",419535,"NP_001006306.1"
"NP_001006307.1","419549","ZNF593",419549,"NP_001006307.1"
"NP_001006308.1","419556","SNRNP40",419556,"NP_001006308.1"
"NP_001006310.2","419575","LPO",419575,"NP_001006310.2"
"NP_001006311.1","419578","NUDC",419578,"NP_001006311.1"
"NP_001006312.1","419626","ADPRHL2",419626,"NP_001006312.1"
"NP_001006313.2","419650","TMEM39B",419650,"NP_001006313.2"
"NP_001006316.2","419711","EI24",419711,"NP_001006316.2"
"NP_001006317.2","419727","APLP2",419727,"NP_001006317.2"
"NP_001006318.1","419760","RBM7",419760,"NP_001006318.1"
"NP_001006320.1","419788","TRAPPC4",419788,"NP_001006320.1"
"NP_001006321.1","419793","SSPO",419793,"NP_001006321.1"
"NP_001006322.2","419845","EIF2D",419845,"NP_001006322.2"
"NP_001006323.1","419875","SLC16A1",419875,"NP_001006323.1"
"NP_001006324.2","419887","SIKE1",419887,"NP_001006324.2"
"NP_001006327.1","419926","MED20",419926,"NP_001006327.1"
"NP_001006328.2","419940","CD79B",419940,"NP_001006328.2"
"NP_001006329.1","419948","METTL2A",419948,"NP_001006329.1"
"NP_001006330.2","419955","LIMD2",419955,"NP_001006330.2"
"NP_001006332.1","420018","BECN1",420018,"NP_001006332.1"
"NP_001006333.1","420032","NKIRAS2",420032,"NP_001006333.1"
"NP_001006334.1","420034","NT5C3B",420034,"NP_001006334.1"
"NP_001006335.2","420047","SMARCE1",420047,"NP_001006335.2"
"NP_001006337.1","420055","LSM7",420055,"NP_001006337.1"
"NP_001006338.2","420085","RNF126",420085,"NP_001006338.2"
"NP_001006339.1","420117","COPE",420117,"NP_001006339.1"
"NP_001006340.1","420131","PEX11G",420131,"NP_001006340.1"
"NP_001006341.2","420144","CHERP",420144,"NP_001006341.2"
"NP_001006342.1","420161","C28H19ORF10",420161,"NP_001006342.1"
"NP_001006345.1","420182","RPL7",420182,"NP_001006345.1"
"NP_001006346.1","420197","FABP5",420197,"NP_001006346.1"
"NP_001006347.1","420222","OTUD6B",420222,"NP_001006347.1"
"NP_001006348.1","420237","MTERF3",420237,"NP_001006348.1"
"NP_001006349.1","420272","EIF3E",420272,"NP_001006349.1"
"NP_001006350.1","420350","DERL1",420350,"NP_001006350.1"
"NP_001006351.2","420367","SSPO",420367,"NP_001006351.2"
"NP_001006352.1","420398","ARF1",420398,"NP_001006352.1"
"NP_001006354.1","420458","GTPBP4",420458,"NP_001006354.1"
"NP_001006355.1","420483","RAB18",420483,"NP_001006355.1"
"NP_001006357.2","420492","APBB1IP",420492,"NP_001006357.2"
"NP_001006358.2","420594","BZW2",420594,"NP_001006358.2"
"NP_001006359.1","420617","IGF2BP3",420617,"NP_001006359.1"
"NP_001006360.1","420618","TRA2A",420618,"NP_001006360.1"
"NP_001006361.1","420623","DFNA5",420623,"NP_001006361.1"
"NP_001006362.1","420632","HIBADH",420632,"NP_001006362.1"
"NP_001006363.1","420649","RAB5A",420649,"NP_001006363.1"
"NP_001006364.1","420669","CNOT10",420669,"NP_001006364.1"
"NP_001006366.1","420686","MRPL3",420686,"NP_001006366.1"
"NP_001006367.1","420689","ACAD11",420689,"NP_001006367.1"
"NP_001006368.1","420706","TGM4",420706,"NP_001006368.1"
"NP_001006369.1","420709","KIAA1143",420709,"NP_001006369.1"
"NP_001006371.2","420797","SLC12A7",420797,"NP_001006371.2"
"NP_001006372.1","420840","DTNBP1",420840,"NP_001006372.1"
"NP_001006373.1","420866","BLOC1S5",420866,"NP_001006373.1"
"NP_001006376.2","420889","EXOC2",420889,"NP_001006376.2"
"NP_001006377.1","420895","SERPINB6",420895,"NP_001006377.1"
"NP_001006378.2","420901","VPS4B",420901,"NP_001006378.2"
"NP_001006381.1","420955","GALNT1",420955,"NP_001006381.1"
"NP_001006382.1","420969","FH",420969,"NP_001006382.1"
"NP_001006385.1","421013","CNDP2",421013,"NP_001006385.1"
"NP_001006387.1","421119","TCEA1",421119,"NP_001006387.1"
"NP_001006388.1","421121","MRPL15",421121,"NP_001006388.1"
"NP_001006389.1","421126","TGS1",421126,"NP_001006389.1"
"NP_001006391.1","421145","YTHDF3",421145,"NP_001006391.1"
"NP_001006394.1","421237","PLK1S1",421237,"NP_001006394.1"
"NP_001006396.1","421295","WDR43",421295,"NP_001006396.1"
"NP_001006397.1","421346","IARS2",421346,"NP_001006397.1"
"NP_001006398.1","421348","EPRS",421348,"NP_001006398.1"
"NP_001006399.1","421374","INTS7",421374,"NP_001006399.1"
"NP_001006400.1","421413","MCFD2",421413,"NP_001006400.1"
"NP_001006401.1","421460","RASGRP3",421460,"NP_001006401.1"
"NP_001006402.1","421480","SLC30A6",421480,"NP_001006402.1"
"NP_001006403.2","421526","TSNAX",421526,"NP_001006403.2"
"NP_001006404.1","421531","EXOC8",421531,"NP_001006404.1"
"NP_001006405.1","421586","TCP1",421586,"NP_001006405.1"
"NP_001006406.1","421602","EIF3M",421602,"NP_001006406.1"
"NP_001006407.1","421760","CDC40",421760,"NP_001006407.1"
"NP_001006408.1","421772","SNX3",421772,"NP_001006408.1"
"NP_001006409.1","421784","ATG5",421784,"NP_001006409.1"
"NP_001006410.1","421785","PREP",421785,"NP_001006410.1"
"NP_001006412.1","421853","HMGN3",421853,"NP_001006412.1"
"NP_001006413.1","421874","LMBRD1",421874,"NP_001006413.1"
"NP_001006414.1","421895","FBXO9",421895,"NP_001006414.1"
"NP_001006415.1","421932","YWHAQ",421932,"NP_001006415.1"
"NP_001006417.1","421934","KLF11",421934,"NP_001006417.1"
"NP_001006419.1","421975","LOC421975",421975,"NP_001006419.1"
"NP_001006421.1","422043","MCM3",422043,"NP_001006421.1"
"NP_001006422.2","422055","ENPP4",422055,"NP_001006422.2"
"NP_001006424.1","422108","SLC9A3R1",422108,"NP_001006424.1"
"NP_001006425.1","422119","HN1",422119,"NP_001006425.1"
"NP_001006426.2","422120","NUP85",422120,"NP_001006426.2"
"NP_001006428.1","422143","CHMP1B",422143,"NP_001006428.1"
"NP_001006430.1","422214","LOC422214",422214,"NP_001006430.1"
"NP_001006434.1","422271","APOOL",422271,"NP_001006434.1"
"NP_001006435.1","422332","MAGT1",422332,"NP_001006435.1"
"NP_001006436.1","422346","NXT2",422346,"NP_001006436.1"
"NP_001006437.1","422368","NKAP",422368,"NP_001006437.1"
"NP_001006438.1","422423","MSMO1",422423,"NP_001006438.1"
"NP_001006440.1","422462","ABCE1",422462,"NP_001006440.1"
"NP_001006441.1","422501","PGRMC2",422501,"NP_001006441.1"
"NP_001006442.1","422525","OSTC",422525,"NP_001006442.1"
"NP_001006444.1","422556","SSPO",422556,"NP_001006444.1"
"NP_001006445.1","422558","AGA",422558,"NP_001006445.1"
"NP_001006446.1","422565","FBXO8",422565,"NP_001006446.1"
"NP_001006447.1","422594","COPS4",422594,"NP_001006447.1"
"NP_001006448.1","422621","POLR2B",422621,"NP_001006448.1"
"NP_001006449.1","422626","SRP72",422626,"NP_001006449.1"
"NP_001006450.1","422629","ERI1",422629,"NP_001006450.1"
"NP_001006451.1","422648","DCK",422648,"NP_001006451.1"
"NP_001006452.1","422676","RPL7L1",422676,"NP_001006452.1"
"NP_001006453.1","422727","ASAH1",422727,"NP_001006453.1"
"NP_001006454.1","422733","CNOT7",422733,"NP_001006454.1"
"NP_001006458.1","422865","GRPEL1",422865,"NP_001006458.1"
"NP_001006459.1","422879","GRK4",422879,"NP_001006459.1"
"NP_001006461.2","422898","LETM1",422898,"NP_001006461.2"
"NP_001006462.1","422912","IMMT",422912,"NP_001006462.1"
"NP_001006464.1","422964","TMEM258",422964,"NP_001006464.1"
"NP_001006465.1","422983","NADSYN1",422983,"NP_001006465.1"
"NP_001006466.1","423062","RRAS2",423062,"NP_001006466.1"
"NP_001006467.1","423063","COPB1",423063,"NP_001006467.1"
"NP_001006470.1","423092","TSSC4",423092,"NP_001006470.1"
"NP_001006472.1","423105","CD151",423105,"NP_001006472.1"
"NP_001006473.1","423111","RNH1",423111,"NP_001006473.1"
"NP_001006474.1","423168","API5",423168,"NP_001006474.1"
"NP_001006475.1","423262","ERH",423262,"NP_001006475.1"
"NP_001006476.2","423265","SRSF5A",423265,"NP_001006476.2"
"NP_001006477.1","423279","EIF2S1",423279,"NP_001006477.1"
"NP_001006478.1","423284","SRP14",423284,"NP_001006478.1"
"NP_001006481.1","423359","EIF2B2",423359,"NP_001006481.1"
"NP_001006482.1","423362","TMED10",423362,"NP_001006482.1"
"NP_001006483.1","423379","SPTLC2",423379,"NP_001006483.1"
"NP_001006484.2","423407","TTC7B",423407,"NP_001006484.2"
"NP_001006485.1","423443","VRK1",423443,"NP_001006485.1"
"NP_001006486.1","423445","SETD3",423445,"NP_001006486.1"
"NP_001006488.1","423479","EIF5",423479,"NP_001006488.1"
"NP_001006489.1","423485","XRCC3",423485,"NP_001006489.1"
"NP_001006490.1","423501","NUDT14",423501,"NP_001006490.1"
"NP_001006491.1","423542","PSMA3",423542,"NP_001006491.1"
"NP_001006492.1","423543","ACTR10",423543,"NP_001006492.1"
"NP_001006493.1","423567","POLE2",423567,"NP_001006493.1"
"NP_001006494.1","423586","PSMC6",423586,"NP_001006494.1"
"NP_001006496.1","423673","TUBGCP2",423673,"NP_001006496.1"
"NP_001006498.1","423697","SUPV3L1",423697,"NP_001006498.1"
"NP_001006499.1","423699","TSPAN15",423699,"NP_001006499.1"
"NP_001006500.1","423727","POLR3A",423727,"NP_001006500.1"
