bird_id,clean_id,sex,stage,prolactin_ng_mL,number,comment,,,,,
o165.w122.x,o165w122,female,inc.d3,91.77,105,,,,,,
x.g70,g70,male,hatch,90.94,249,,,,,,
x.r48.y139,r48y139,female,inc.d17,89.04,279,,,,,,
g53.y84,g53y84,male,hatch,87.14,65,,,,,,
blk21.x,blk21,female,hatch,86.72,6,,,,,,
y146.r32.x,y146r32,female,inc.prolong,86.71,315,,,,,,
r194.x,r194,female,prolong,86.44,138,,,,,,
y7.g58,y7g58,female,hatch,85.76,324,,,,,,
x.blk20,blk20,female,prolong,85.62,216,,,,,,
o114.blu9,o114blu9,male,inc.prolong,85.17,102,,,,,,
o44.blu26.x,o44blu26,male,hatch,84.44,114,,,,,,
s.pu.pk,spupk,female,prolong,84.42,211,,,,,,
x.r181,r181,male,n5,82.73,273,,,,,,
g22.blu118,g22blu118,female,extend,82.03,59,,,,,,
o39.y77.x,o39y77,male,hatch,81.49,112,,,,,,
y135.blu107.x,y135blu107,female,inc.d17,81.04,311,,,,,,
x.o61,o61,female,extend.hatch,80.96,267,,,,,,
blu84.x,blu84,male,extend.hatch,80.69,40,,,,,,
x.y145.r55,y145r55,female,inc.prolong,78.75,295,,,,,,
r41.w99.x,r41w99,male,hatch,77.01,145,,,,,,
x.o70,o70,female,n5,76.74,269,,,,,,
y4.x,y4,male,m.inc.d17,76.73,320,,,,,,
x.o175.g21,o175g21,female,n5,76.54,260,,,,,,
x.y79,y79,male,prolong,74.77,299,,,,,,
x.r178,r178,male,hatch,74.31,271,,,,,,
x.blu57,blu57,male,prolong,73.62,231,,,,,,
x.y64,y64,female,extend,72.76,298,,,,,,
x.blu117.w89,blu117w89,male,inc.d17,72.73,224,,,,,,
y126.w92.x,y126w92,female,inc.d17,72.34,304,,,,,,
y15.x,y15,female,hatch,71.09,318,,,,,,
blu121.w91.x,blu121w91,male,inc.d17,68.15,25,,,,,,
x.o164.w123,o164w123,male,n5,68.09,258,,,,,,
x.blu73,blu73,male,extend,66.90,234,,,,,,
x.o160.w102,o160w102,male,hatch,65.24,256,,,,,,
r90.x,r90,male,inc.prolong,64.08,157,,,,,,
x.y132.w76,y132w76,male,inc.d17,63.52,292,,,,,,
o172.w115.x,o172w115,female,hatch,63.41,107,,,,,,
x.g43,g43,female,n5,62.48,244,,,,,,
x.o159.w90,o159w90,female,inc.d17,62.37,255,,,,,,
g38.x,g38,male,inc.prolong,61.35,62,,,,,,
o152.o120.w42,o152o120w42,male,n5,61.03,103,,,,,,
blu113.w124.x,blu113w124,male,inc.d17,60.09,21,,,,,,
x.g49,g49,female,n5,59.95,245,,,,,,
g3.g119.w20,g3g119w20,male,extend,59.70,63,,,,,,
blk4.x,blk4,female,n9,59.31,7,,,,,,
x.g4.w50,g4w50,female,n9,58.86,246,,,,,,
x.o37.blu50,o37blu50,female,hatch,58.68,263,,,,,,
o169.r28.x,o169r28,female,m.inc.d17,58.22,106,,,,,,
blu104.w120.x,blu104w120,male,hatch,56.98,17,,,,,,
x.blu30,blu30,male,n5,56.58,228,,,,,,
x.y9,y9,female,n9,55.28,302,,,,,,
x.w178,w178,female,n9,54.16,286,,,,,,
x.blk16,blk16,male,n9,53.65,215,,,,,,
x.r50.w97,r50w97,female,n5,50.76,280,,,,,,
blu41.y100.x,blu41y100,male,n5,50.70,32,,,,,,
blu36.w16,blu36w16,female,n9,50.03,28,,,,,,
x.o68,o68,male,n5,48.13,268,,,,,,
x.blu102.w105,blu102w105,female,inc.d3,47.96,220,,,,,,
r81.x,r81,male,inc.prolong,47.51,153,,,,,,
x.o171.w45,o171w45,female,m.hatch,45.20,259,,,,,,
l.s.o.blk,lsoblk,male,extend,45.07,97,,,,,,
x.blu23.w14,blu23w14,male,n9,45.02,226,,,,,,
y97.x,y97,female,n9,44.81,328,,,,,,
x.g50,g50,female,inc.prolong,44.23,247,,,,,,
x.y138.w176,y138w176,female,n9,43.35,293,,,,,,
x.g37,g37,female,n5,42.89,243,,,,,,
x.blu109.w121,blu109w121,female,n5,42.67,222,,,,,,
blu81.r88,blu81r88,male,n9,42.55,39,,,,,,
blu103.x,blu103,female,hatch,42.47,16,,,,,,
blk12.x,blk12,male,n5,42.45,3,,,,,,
y133.w77.r58,y133w77r58,male,inc.d17,42.12,310,,,,,,
o36.r62.x,o36r62,female,m.inc.d9,39.83,110,,,,,,
s002.x,s002,female,m.inc.d8,39.30,178,,,,,,
y94.g133.x,y94g133,female,n5,39.07,326,,,,,,
o35.r51.x,o35r51,female,inc.d17,38.03,109,,,,,,
o45.g128.x,o45g128,female,m.inc.d9,36.79,115,,,,,,
x.blk23,blk23,male,m.hatch,36.24,217,,,,,,
x.y5,y5,female,m.inc.d8,35.96,297,,,,,,
x.blu106.o153,blu106o153,male,inc.d9,35.69,221,,,,,,
x.blu69,blu69,male,extend,35.15,232,,,,,,
y140.w119.x,y140w119,female,inc.d9,35.13,314,,,,,,
x.o117,o117,male,m.inc.d9,34.39,254,,,,,,
x.g9.o166,g9o166,female,inc.d9,33.86,250,,,,,,
x.g14.w199,g14w199,male,inc.d17,33.64,241,,,,,,
o57.g59,o57g59,male,inc.d9,32.44,119,,,,,,
y148.w81.g145,y148w81g145,male,m.inc.d17,31.81,316,,,,,,
o.s.w.r,oswr,male,lay,31.76,125,,,,,,
x.blu43.g132,blu43g132,female,n9,31.37,230,,,,,,
y131.w185.x,y131w185,male,n9,30.91,309,,,,,,
pk.s.d.g,pksdg,male,prolong,30.85,131,,,,,,
blu47.y96.x,blu47y96,female,inc.d9,30.29,34,,,,,,
r83.g45,r83g45,female,bldg,29.80,154,,,,,,
y128.g23.x,y128g23,female,inc.d9,29.57,305,,,,,,
