"gene","lfc","padj","logpadj","direction"
"RNF208",0.284848017503649,0.0516464590625053,1.28695944882646,"bldg"
"FAM76A",0.284705321769134,0.00782923554494001,2.10628064085675,"bldg"
"SGCE",0.284365256051282,0.0303324357715745,1.51809271333988,"bldg"
"CDC42EP3",0.284327246444467,0.0466742467100942,1.33092268253345,"bldg"
"ACTA2",0.284121846764488,0.0711975140979869,1.14753516973919,"bldg"
"BAG5",0.283534178812999,0.017094243907109,1.76715010365547,"bldg"
"SSH2",0.283235023157232,0.0961827785611498,1.0169026810328,"bldg"
"ABHD3",0.283113895091122,0.00565900598941703,2.2472598464129,"bldg"
"SUN2",0.282555247113627,0.0201946036750056,1.69476466556639,"bldg"
"FNDC5",0.282362371081354,0.0825036163668723,1.08352701467728,"bldg"
"GPR161",0.282151108569186,0.0231618314971494,1.63522710221331,"bldg"
"PHAX",0.282075272130694,0.0293408115735245,1.5325278776424,"bldg"
"CYB5A",0.2820076325538,0.0570021841906942,1.24410850285747,"bldg"
"GAK",0.281936139596476,0.0350095194365196,1.45581385060315,"bldg"
"C14H8ORF33",0.281544174283368,0.0181122904094399,1.7420266270308,"bldg"
"FAM122B",0.281312587772752,5.4525296212851e-05,4.26340196640479,"bldg"
"ZDHHC6",0.281166743677125,0.00375700722359647,2.42515796991796,"bldg"
"RC3H2",0.281117010298136,0.0824489225156737,1.08381501556288,"bldg"
"HSPH1",0.280845148683431,0.000567494876873354,3.24603805476158,"bldg"
"FLRT3",0.280727143794653,0.075975688625028,1.1193253548914,"bldg"
"LYSMD3",0.280595790775473,0.0334737970312643,1.47529502154736,"bldg"
"NPEPL1",0.280422226471444,0.00272658794677593,2.56438048947414,"bldg"
"FBXW5",0.280315603897926,0.0124343757238843,1.90537601389046,"bldg"
"MSH6",0.280248326012747,0.000336242597553181,3.4733472679626,"bldg"
"TTLL11",0.280225165613597,0.010074769871197,1.99676486526732,"bldg"
"C5H15ORF41",0.279978487574103,0.00337114236949787,2.47222290604275,"bldg"
"RBM19",0.279917281233638,0.0148665402951212,1.82779008766883,"bldg"
"HP1BP3",0.279811353809421,0.000257329567934979,3.58951030919102,"bldg"
"PSMD12",0.279685331835751,0.0103435763776845,1.98532927434203,"bldg"
"MESDC2",0.279533514944386,0.0225300814812133,1.64723723762471,"bldg"
"C4H4ORF27",0.279338241935923,0.0344534752595411,1.46276696505041,"bldg"
"HIVEP1",0.279200245258745,0.0622185244133057,1.20608029291806,"bldg"
"PLA2R1",0.279169211660998,0.0740593306195715,1.13042021761118,"bldg"
"FGF13",0.278909473527324,0.00516199321488361,2.28718257064464,"bldg"
"HIRA",0.278672495125861,0.000596198992338601,3.22460876232243,"bldg"
"ST3GAL4",0.278563489447533,0.000336242597553181,3.4733472679626,"bldg"
"INPP4A",0.278561554192758,0.00585045327461165,2.23281048485174,"bldg"
"COG5",0.278559718085911,0.00411019019572677,2.38613808103307,"bldg"
"HTATSF1",0.278513570453884,0.000250038695404631,3.60199277572687,"bldg"
"CRKL",0.278463085527956,0.00267317215784501,2.57297307087516,"bldg"
