"","gene","bldg_hatch","bldg_inc.d17","control_bldg","control_early","control_extend","control_hatch","control_inc.d17","control_inc.d3","control_inc.d9","control_lay","control_m.inc.d17","control_m.inc.d3","control_m.inc.d9","control_m.n2","control_n5","control_n9","control_prolong","hatch_early","inc.d17_early","inc.d9_inc.d17","inc.d17_hatch","inc.d3_inc.d9","bldg_early","hatch_m.n2","bldg_extend","hatch_n5","bldg_lay","bldg_n5","inc.d17_m.inc.d17","inc.d17_prolong","prolong_early","bldg_inc.d3","bldg_inc.d9","bldg_m.inc.d3","bldg_prolong","inc.d17_extend","lay_inc.d3","bldg_m.inc.d17","bldg_m.n2","inc.d9_prolong","prolong_extend","early_extend","hatch_extend","hatch_prolong","inc.d9_early","n5_early","n5_prolong","inc.d9_extend","inc.d3_m.inc.d3","bldg_m.inc.d9","bldg_n9"
"21","MC5R",NA,NA,NA,"MP(+)",NA,NA,NA,NA,"FG(-)",NA,NA,NA,NA,NA,NA,NA,NA,"FP(+); MP(+)","FP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MP(+)",NA,NA,NA,NA,NA
"22","NPFFR1",NA,NA,"FH(-); FP(-); MP(-)","FG(-); FH(-); FP(-)","FH(-); FP(-); MP(-)","FH(-); MP(-)","FH(-); FP(-); MP(-)","FG(-); FH(-); FP(-); MP(-)","FG(-); FH(-); FP(-); MP(-)","FH(-); FP(-); MP(-)","FG(-); FH(-); FP(-); MP(-)","FG(-); FH(-); MG(-); MP(-)","FH(-)","FG(-); FH(-); FP(-); MP(-)","FH(-); MP(-)","FH(-); MP(-)","FH(-); MG(-); MP(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","NPVF",NA,"FP(+)","FP(-)","FH(-); FP(-)","FH(-); FP(-)","FP(-)","FP(-)","FH(-); FP(-)","FH(-); FP(-)","FP(-)","FH(-)","FH(-); FP(-)","FH(-); FP(-)","FH(-)","FH(-); FP(-)","FH(-); FP(-)","FH(-); FP(-)","FH(-); MH(-)","MH(-)",NA,NA,NA,"FH(-)","FH(-)",NA,NA,NA,NA,"FH(-)","FH(-)",NA,NA,NA,"FH(-)","FH(-); FP(+)","MH(-)",NA,"FH(-); FP(+)","FP(+)",NA,NA,NA,"FH(-)","FH(-)","MH(-)","MH(-)",NA,NA,"FH(-)",NA,NA
"24","NPY","FG(-)","FG(-); FP(-)","FP(-); MP(-)","FP(-); MP(+)",NA,"FP(-); MP(-)","FP(-)","MP(-)","FP(-)","MG(-)","FP(-)","FP(-); MP(-)",NA,NA,"FP(-); MG(-)",NA,"MP(-)","MP(+)",NA,NA,NA,NA,"FG(-); MP(+)","MP(+)","FG(-)",NA,NA,"FG(-)",NA,"MP(-)","MP(+)","FG(-)",NA,NA,"FG(-)",NA,NA,NA,NA,"MP(-)",NA,"MP(-)",NA,NA,NA,"MP(+)",NA,NA,"FP(-)","MP(+)","FG(-)"
"25","NR3C2",NA,NA,"FH(+)","FH(+)","FH(+)","FH(+)","FH(+)","FH(+)","FH(+)","FG(+); FH(+)","FH(+); MP(+)","FH(+); MP(+)","FH(+)","FH(+)","FH(+)","FH(+)","FH(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","OXT",NA,NA,"FP(-); MP(-)","FP(-)","FP(-); MP(-)","FP(-); MP(-)","FP(-)","FP(-); MP(-)","FP(-)","FP(-)","FP(-)","FP(-); MP(-)","FP(-)","FP(-); MP(-)","FP(-); MP(-)","FP(-); MP(-)","FP(-)","MP(+)",NA,NA,NA,NA,"MP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MP(-)",NA,NA,NA,"MP(+)",NA,NA,NA,NA,NA
"27","POMC",NA,NA,"MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","MG(-); MP(-)","FH(-); MP(-)","FH(-); MG(-); MP(-)","FG(-); FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FH(-)",NA,NA,NA,NA,NA,NA,NA
"28","PRL","FP(+); MP(+)","FP(+); MP(+)","FH(-); FP(-); MG(-); MP(-)","FH(-); FP(-); MP(-)","FG(+); FH(-); FP(+); MP(+)","FP(+); MG(-); MP(+)","FP(+); MG(-); MP(+)","FH(-); FP(-); MG(-); MP(-)","FH(-); FP(-); MG(-)","FG(+); FH(-); FP(-); MP(-)","FH(-); MG(-); MP(+)","FG(+); FH(-); FP(-); MP(-)","FH(-); FP(-); MG(-); MP(-)","FH(-); FP(+); MP(+)","MP(+)","MP(+)","FH(-); FP(+); MG(-); MP(+)","FP(-); MP(-)","FP(-); MP(-)","FP(+); MP(+)",NA,NA,NA,"MP(-)","FP(+); MP(+)",NA,NA,"FP(+); MP(+)","FP(-)",NA,"FP(-); MP(-)",NA,NA,NA,"FP(+); MP(+)",NA,NA,"FP(+); MP(+)","FP(+); MP(+)","FP(+); MP(+)",NA,"FP(+); MP(+)",NA,NA,NA,"FP(-); MP(-)",NA,"FP(+); MP(+)",NA,NA,"FP(+); MP(+)"
"29","PRLH",NA,NA,"FH(-); FP(-)","FH(-)","FH(-); FP(-)","FH(-); FP(-)","FH(-); FP(-)","FH(-); FP(-)","FH(-); FP(-)","FH(-); FP(-)","FH(-)","FH(-); FP(-)","FH(-)","FH(-)","FH(-); FP(-)",NA,"FH(-); FP(-)",NA,NA,"FP(+)",NA,NA,NA,NA,NA,NA,"FP(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","PRLHR",NA,NA,"FG(-); FP(-)","FG(-)","FG(-)","FH(-); MP(-)",NA,"FG(-)","FG(-)",NA,"FH(-)","FG(-); FH(-)",NA,"FG(-); FH(-)",NA,"FG(-)","FH(-); MP(-)","MP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG(-); MP(+)",NA,NA,NA,NA,NA,NA,NA,NA,"MG(+)","MG(-)",NA,NA,NA,NA,NA,"MG(+)",NA,NA,NA,NA
"31","SERPINA4",NA,NA,"MP(-)","FH(+)","FH(+); MG(+); MP(-)","FH(+); MP(-)","MP(-)","FH(+); MP(-)","FH(+); MP(-)","MP(-)","FH(+)","FH(+)","FH(+)","FH(+)","FH(+)","FG(-); FH(+)","FH(+); MG(+); MP(-)","MH(+)","FP(+); MH(+)",NA,NA,NA,NA,"FP(+)",NA,NA,NA,NA,"FP(+)","MG(+)","MG(-)",NA,NA,"FH(+)","FH(+)","MG(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","VIP",NA,NA,NA,"MP(+)",NA,NA,NA,NA,"FH(-); FP(-); MP(+)",NA,"FP(-); MP(+)","FP(-)","FH(-); MP(+)","MP(+)",NA,"MP(+)",NA,"MP(+)","MP(+)",NA,NA,NA,"MP(+)","FP(+)",NA,NA,NA,NA,NA,NA,"MP(+)",NA,NA,NA,NA,NA,NA,NA,NA,"FP(+)",NA,"MP(-)",NA,NA,"MP(+)","MP(+)",NA,"FP(+)",NA,NA,NA
"33","VIPR1","FP(+); MP(+)","FP(+); MP(+)","FP(-); MP(-)",NA,NA,NA,NA,"FG(-); FP(-); MP(-)","FP(-); MP(-)","FP(-); MP(-)","FG(-); FH(+)","FH(+)","FP(-); MP(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP(+)",NA,"FP(+); MP(+)",NA,NA,"FP(+); MP(+)",NA,NA,NA,NA,NA,NA,"FP(+)",NA,NA,"FP(+); MP(+)","FP(+); MP(+)",NA,NA,NA,NA,NA,NA,NA,NA,"FP(+); MP(+)",NA,NA,"FP(+); MP(+)"
