"net$unmergedColors","entrezid","row.names","Name","geneid"
"yellow","XP_015150825.1",417372,"LOC417372",417372
"yellow","XP_015153342.1",419662,"LOC419662",419662
"yellow","XP_015140217.1",421856,"LOC421856",421856
"yellow","XP_420148.2",422147,"LOC422147",422147
"yellow","XP_015133924.1",422224,"LOC422224",422224
"yellow","XP_015145574.1",424201,"LOC424201",424201
"yellow","XP_015147232.1",424998,"LOC424998",424998
"yellow","XP_004945255.1",427665,"LOC427665",427665
"yellow","XP_001234358.4",771758,"LOC771758",771758
"yellow","XP_015146763.1",771811,"LOC771811",771811
"yellow","XP_015146228.1",424477,"LPPR5",424477
"yellow","NP_001186474.1",423649,"LRRTM3",423649
"yellow","XP_004947696.1",419539,"LRRTM4",419539
"yellow","NP_001280172.1",415423,"LYSMD2",415423
"yellow","XP_004938245.1",770247,"MAB21L3",770247
"yellow","NP_990356.1",395881,"MAFA",395881
"yellow","NP_990088.1",395519,"MAFF",395519
"yellow","XP_015148407.1",107048996,"MANF",107048996
"yellow","XP_418589.2",420487,"MASTL",420487
"yellow","NP_001006400.1",421413,"MCFD2",421413
"yellow","NP_001006243.1",418058,"MCM5",418058
"yellow","NP_001280098.1",421314,"MCM8",421314
"yellow","XP_015133525.1",395589,"MEIS1",395589
"yellow","XP_015133527.1",395589,"MEIS1",395589
"yellow","XP_015142766.1",395588,"MEIS2",395588
"yellow","NP_001264773.1",424094,"METTL21A",424094
"yellow","XP_417964.4",419831,"MFSD4",419831
"yellow","XP_015144522.1",423965,"MGMT",423965
"yellow","XP_015155464.1",107055352,"MIDN",107055352
"yellow","XP_004941823.1",423331,"MIPOL1",423331
"yellow","NP_001038142.1",693254,"MIS12",693254
"yellow","NP_001244242.1",422399,"MND1",422399
"yellow","NP_001001461.1",373964,"MSTN",373964
"yellow","XP_004936054.1",422729,"MTUS1",422729
"yellow","XP_015138223.1",396158,"MYBL1",396158
"yellow","XP_421902.2",424046,"NABP1",424046
"yellow","XP_004948064.1",419737,"NCAPD3",419737
"yellow","XP_015152945.1",425304,"NCAPH",425304
"yellow","XP_423939.4",426276,"NCAPH2",426276
"yellow","XP_015131840.1",422686,"NDST4",422686
"yellow","NP_989819.1",395148,"NEBL",395148
"yellow","XP_414072.1",415705,"NECAB2",415705
"yellow","XP_015137918.1",421018,"NETO1",421018
"yellow","XP_015144133.1",423875,"NEURL1",423875
"yellow","NP_001264418.1",415863,"NIP7",415863
"yellow","XP_015138189.1",421143,"NKAIN3",421143
"yellow","XP_426167.1",428610,"NMBR",428610
"yellow","XP_001233764.2",770430,"NPM3",770430
"yellow","XP_015137891.1",420996,"NR4A3",420996
"yellow","XP_414884.1",416584,"NSMCE1",416584
"yellow","XP_015136754.1",395080,"NT5C3A",395080
"yellow","NP_990750.1",396389,"NTN1",396389
"yellow","XP_015142068.1",423071,"NUCB2",423071
"yellow","XP_003641250.2",422666,"NUDT6",422666
"yellow","XP_015133499.1",418937,"NUP58",418937
"yellow","NP_001026364.1",423213,"NUSAP1",423213
"yellow","NP_990247.1",395746,"OAZ1",395746
"yellow","XP_015131472.1",420862,"OFCC1",420862
"yellow","NP_990098.1",395535,"OLFM1",395535
"yellow","XP_015158185.1",107057621,"OLFM2",107057621
"yellow","XP_015146506.1",424640,"ORC1",424640
"yellow","NP_001006442.1",422525,"OSTC",422525
"yellow","NP_990557.2",396151,"OVST",396151
"yellow","NP_001185639.2",374091,"P4HB",374091
"yellow","XP_003643103.1",427274,"PAM",427274
"yellow","XP_426430.4",428873,"PAPLN",428873
"yellow","XP_015132571.1",424845,"PASK",424845
"yellow","XP_015141175.1",422797,"PCDH7",422797
"yellow","NP_001104599.1",497222,"PCDHA12",497222
"yellow","NP_989501.1",373984,"PCNA",373984
"yellow","NP_001265077.1",771220,"PCP4",771220
"yellow","XP_003643108.1",769230,"PCSK1",769230
"yellow","XP_004935609.1",421574,"PDE10A",421574
"yellow","XP_015145059.1",424133,"PDE11A",424133
"yellow","XP_015133076.1",769469,"PDE4D",769469
"yellow","XP_004937386.1",427645,"PDE8B",427645
"yellow","XP_004936055.1",769077,"PDGFRL",769077
"yellow","XP_004936056.1",769077,"PDGFRL",769077
"yellow","XP_015131335.1",420785,"PDIA4",420785
"yellow","XP_419952.1",421940,"PDIA6",421940
"yellow","XP_015135396.1",771243,"PECAM1",771243
"yellow","NP_001026727.1",428969,"PGAM1",428969
"yellow","XP_015138638.1",107052797,"PHLDA1",107052797
"yellow","XP_003640390.1",768655,"PIM3",768655
"yellow","XP_015139068.1",427687,"PLCB1",427687
"yellow","NP_001012564.1",419064,"PLEKHB1",419064
"yellow","XP_004935669.1",421632,"PLEKHG1",421632
"yellow","XP_422425.4",424586,"PLK3",424586
"yellow","NP_990678.1",396291,"PLS1",396291
"yellow","XP_015133719.1",422222,"PLS3",422222
"yellow","XP_015141699.1",417989,"PMM1",417989
"yellow","NP_990792.1",396447,"PPIB",396447
"yellow","XP_418851.3",420753,"PPP1R17",420753
"yellow","XP_001234000.1",418601,"PRDX4",418601
"yellow","NP_001029992.1",424867,"PROCR",424867
"yellow","XP_015148176.1",415869,"PSMD7",415869
"yellow","XP_015151216.1",417540,"PSPH",417540
"yellow","XP_015148422.1",374208,"PTPRG",374208
"yellow","NP_001035503.1",417634,"PTRH2",417634
"yellow","NP_001006566.1",426335,"QDPR",426335
"yellow","XP_419527.3",421479,"QPCT",421479
"yellow","XP_419807.2",421781,"QRSL1",421781
"yellow","XP_417994.1",419867,"RAP1A",419867
"yellow","XP_015148276.1",101750777,"RASSF1",101750777
"yellow","XP_015154411.1",419844,"RASSF5",419844
"yellow","XP_015154413.1",419844,"RASSF5",419844
"yellow","XP_004941244.1",422653,"RASSF6",422653
"yellow","XP_004935981.1",422057,"RCAN2",422057
"yellow","XP_420062.3",422057,"RCAN2",422057
"yellow","NP_990521.2",396107,"RET",396107
"yellow","XP_015150373.1",100859719,"RFC5",100859719
"yellow","XP_004944206.1",415708,"RIPK3",415708
"yellow","XP_004939693.1",771221,"RNF182",771221
"yellow","XP_001233776.1",770441,"RNF32",770441
"yellow","XP_003642385.1",100859394,"RP11-318A15.7",100859394
"yellow","XP_004942132.1",423738,"RP11-574K11.31",423738
"yellow","XP_015151037.1",769048,"RP13-1032I1.10",769048
"yellow","XP_415749.3",417500,"RPAIN",417500
"yellow","XP_015151844.1",419177,"RPN2",419177
"yellow","NP_001007824.1",395181,"RPSA",395181
"yellow","XP_419413.1",421353,"RRP15",421353
