"sex","tissue","comparison","direction","gene","lfc","padj","logpadj"
"female","gonad","eggs_chicks","chicks","NME2",0.866931588262451,0.0930351879341626,1.03135276074399
"female","gonad","eggs_chicks","chicks","C6ORF137",0.866703059510479,0.0126623649027545,1.89748517517964
"female","gonad","eggs_chicks","chicks","LOC107051165",0.856441126818024,0.00751983655580644,2.12379159872787
"female","gonad","eggs_chicks","chicks","SHANK3",0.853639283101008,0.0727847297497256,1.137959726196
"female","gonad","eggs_chicks","chicks","TMEM125",0.852749219294333,0.00755977232528024,2.12149128377966
"female","gonad","eggs_chicks","chicks","IL20RA",0.849705709219685,0.0467291864986785,1.33041177947665
"female","gonad","eggs_chicks","chicks","NES",0.848552016770755,0.042255325957168,1.37411854380227
"female","gonad","eggs_chicks","chicks","MXD3",0.847780071710705,0.0169721551455178,1.77026300692343
"female","gonad","eggs_chicks","chicks","TMEM216",0.847431975384626,0.00800813484879095,2.09646862239278
"female","gonad","eggs_chicks","chicks","FLVCR1",0.844555291840798,0.00407736293183295,2.3896206296621
"female","gonad","eggs_chicks","chicks","LOC107051288",0.83772211412393,0.0929728256325414,1.03164396975126
"female","gonad","eggs_chicks","chicks","AGRN",0.837253156624322,0.00317945313740752,2.49764757178598
"female","gonad","eggs_chicks","chicks","DEPDC1B",0.825523276542794,0.00757857133947843,2.12041265688242
"female","gonad","eggs_chicks","chicks","LOC101748706",0.824908605880519,0.00459694485941475,2.33753070560264
"female","gonad","eggs_chicks","chicks","GDF7",0.820373711223894,0.0501635323645338,1.29961188939403
"female","gonad","eggs_chicks","chicks","MKI67",0.818114539349391,0.00630155833829405,2.20055203879506
"female","gonad","eggs_chicks","chicks","ASL2",0.816260697143048,0.0498052856112227,1.30272456507207
"female","gonad","eggs_chicks","chicks","LRRC23",0.81460072056909,0.0873849737285174,1.05856323999523
"female","gonad","eggs_chicks","chicks","PACSIN1",0.814456110280877,0.0233232938254942,1.63221011646785
"female","gonad","eggs_chicks","chicks","ZBTB7C",0.812460301280008,0.0236398774019149,1.62635478006701
"female","gonad","eggs_chicks","chicks","LOC426821",0.811479019334705,0.00292235277856092,2.53426735837625
"female","gonad","eggs_chicks","chicks","SCN2B",0.810534269153083,0.073351689070433,1.13458988120007
"female","gonad","eggs_chicks","chicks","ITPR3",0.809680691684794,0.012599016936949,1.89966334024072
"female","gonad","eggs_chicks","chicks","LOC107050679",0.809377077610486,0.0867398829991099,1.06178116799398
"female","gonad","eggs_chicks","chicks","PHC2",0.80827839837553,0.0832514450993181,1.07960821916443
"female","gonad","eggs_chicks","chicks","SIAH2",0.807514581925511,0.00431385169427474,2.36513478956849
"female","gonad","eggs_chicks","chicks","SEMA3B",0.807286844390748,0.000700816925230451,3.15439541819068
"female","gonad","eggs_chicks","chicks","E2F7",0.807272736260999,0.0309360748520139,1.50953479012761
"female","gonad","eggs_chicks","chicks","TNFRSF25",0.806311882935108,0.0990137681359719,1.00430441136476
"female","gonad","eggs_chicks","chicks","FAM110C",0.806099804678765,0.0434782757445129,1.36172768743514
"female","gonad","eggs_chicks","chicks","SORL1",0.799945506893759,0.0402174377230447,1.39558560201849
"female","gonad","eggs_chicks","chicks","FZD9",0.788669239614582,0.0740371380518741,1.13055037749749
"female","gonad","eggs_chicks","chicks","CELSR2",0.787220141622609,0.00292235277856092,2.53426735837625
"female","gonad","eggs_chicks","chicks","STARD10",0.78625403955863,0.028363345599328,1.54724254324812
"female","gonad","eggs_chicks","chicks","LOC107049885",0.781044797677343,0.00534881559098213,2.27174237484745
"female","gonad","eggs_chicks","chicks","DNAJC3",0.777569214393601,0.0197523838824106,1.70438048259452
"female","gonad","eggs_chicks","chicks","AFMID",0.77540801851297,0.00124530013091959,2.90472596624402
"female","gonad","eggs_chicks","chicks","EPB41L4A",0.773382800717193,0.0288575023341885,1.53974126054053
"female","gonad","eggs_chicks","chicks","HSD11B1L",0.76971117849277,0.00976395939333011,2.01037403540902
"female","gonad","eggs_chicks","chicks","LOC101749287",0.769429775985766,0.0333440681106312,1.47698141559923
"female","gonad","eggs_chicks","chicks","METTL7A",0.767803678498615,0.0660052292981404,1.18042165589205
"female","gonad","eggs_chicks","chicks","A2ML3",0.767301129281746,0.0456789669866168,1.34028372606442
"female","gonad","eggs_chicks","chicks","CNKSR1",0.766829018330376,0.0984974454863658,1.00657503270606
"female","gonad","eggs_chicks","chicks","TBC1D16",0.765735658756382,0.0476484297339144,1.32195140707462
"female","gonad","eggs_chicks","chicks","FAM78B",0.765579945352646,0.0664392000880147,1.17757560499025
"female","gonad","eggs_chicks","chicks","C9ORF58",0.765390904462667,0.0323153097400006,1.4905916770389
"female","gonad","eggs_chicks","chicks","CDH3",0.761868370795108,0.00174968151150521,2.75704099724732
"female","gonad","eggs_chicks","chicks","SC5D",0.753540405593639,0.000136472673969687,3.86495429904243
"female","gonad","eggs_chicks","chicks","FKBP11",0.753342940925723,0.0174381197968121,1.75850034313563
"female","gonad","eggs_chicks","chicks","MPPED1",0.753124000389393,0.0689356373395771,1.16155620481696
"female","gonad","eggs_chicks","chicks","LOC100859759",0.749763884426611,0.0660052292981404,1.18042165589205
"female","gonad","eggs_chicks","chicks","ELK4",0.745605245813727,0.0154672030882536,1.81058821203793
"female","gonad","eggs_chicks","chicks","LOC422448",0.743900825312298,0.0969803668588372,1.01331617736148
"female","gonad","eggs_chicks","chicks","FAM181B",0.743008971205953,0.041093606035015,1.38622574697387
"female","gonad","eggs_chicks","chicks","LOC107051380",0.74298443280336,0.00326231632545344,2.48647393056173
"female","gonad","eggs_chicks","chicks","SDC3",0.742303424007261,0.011131109870061,1.95346153050698
"female","gonad","eggs_chicks","chicks","TN",0.739543674183392,0.0549187729459462,1.26027917479941
"female","gonad","eggs_chicks","chicks","SREBF2",0.739340678263679,0.000265647220898329,3.57569472315659
"female","gonad","eggs_chicks","chicks","LOC107050305",0.737776605388974,0.003975627865901,2.40059427401049
"female","gonad","eggs_chicks","chicks","TET3",0.729214388488154,0.0591623789054783,1.22795437144407
"female","gonad","eggs_chicks","chicks","ST6GAL2",0.72816021085147,0.0324401405107794,1.48891727335965
"female","gonad","eggs_chicks","chicks","C2CD4C",0.723532692328383,0.0503225504223797,1.29823735630887
"female","gonad","eggs_chicks","chicks","LMNB2",0.719477109005294,0.0118585356691407,1.92596893576728
"female","gonad","eggs_chicks","chicks","KRT7",0.71872172963837,0.0187911052803173,1.72604767423554
"female","gonad","eggs_chicks","chicks","CENPK",0.716781437385686,0.0365006615203221,1.43769926452922
"female","gonad","eggs_chicks","chicks","LOC107051408",0.716026480888128,0.00701266910149985,2.15411665315642
"female","gonad","eggs_chicks","chicks","LOC107050995",0.715761284505521,0.0306328636477001,1.51381240220545
"female","gonad","eggs_chicks","chicks","SLC33A1",0.71107739876146,0.0198398813524068,1.70246092936677
"female","gonad","eggs_chicks","chicks","ITGB4",0.705396667623801,0.0190824476332842,1.71936592075074
"female","gonad","eggs_chicks","chicks","BF1",0.704021170832349,0.0190145525926903,1.72091388896456
"female","gonad","eggs_chicks","chicks","DAGLA",0.700352124273604,0.028363345599328,1.54724254324812
"female","gonad","eggs_chicks","chicks","LOC107050804",0.700307233836652,0.00459694485941475,2.33753070560264
"female","gonad","eggs_chicks","chicks","APLNR",0.696900826095147,0.0886105499143517,1.0525145682165
"female","gonad","eggs_chicks","chicks","LOC107050717",0.695404029762548,0.00436871340985221,2.35964644432731
