"gene","lfc","padj","logpadj","direction","tissue"
"TMEM158",1.65466024616278,1.16303153443424e-07,6.93440850965237,"bldg","pituitary"
"PANX3",1.64053562256105,0.00541839985509025,2.26612894901647,"bldg","pituitary"
"MVB12A",1.63914724668377,3.25870414506793e-06,5.48695506696564,"bldg","pituitary"
"SVEP1",1.63581052832597,0.00785302876201423,2.10496281192483,"bldg","pituitary"
"SMTNL1",1.62231910557654,1.26500375316928e-09,8.89790818596778,"bldg","pituitary"
"LOC107050982",1.61191849520571,4.35035105239034e-08,7.36147569615699,"bldg","pituitary"
"ARSI",1.6071400519738,0.015704953166103,1.80396335437744,"bldg","pituitary"
"ASB2",1.60099051428108,2.27825436721717e-05,4.6423977885486,"bldg","pituitary"
"LOC107057361",1.60072549936999,0.0816513583188287,1.08803658612064,"bldg","pituitary"
"TRIM66",1.5968448870162,0.045825811613427,1.33888983457935,"bldg","pituitary"
"TRIM66",1.5968448870162,0.045825811613427,1.33888983457935,"bldg","pituitary"
"NLRC5",1.59679008519407,0.0490351531655428,1.30949246380545,"bldg","pituitary"
"SASH3",1.59624017001739,0.0201721043389013,1.69524879414706,"bldg","pituitary"
"MEX3A",1.58775968431223,0.0573166916310531,1.24171888540386,"bldg","pituitary"
"LOC100857622",1.57805125776984,5.229962517657e-13,12.2815014236438,"bldg","pituitary"
"LOC107050995",1.56839683680014,2.40832395134576e-08,7.61828509514715,"bldg","pituitary"
"FAM212A",1.56836898107034,0.060562626497541,1.21779529849058,"bldg","pituitary"
"LOC107053186",1.56298326927099,2.31535333432345e-06,5.63538272411141,"bldg","pituitary"
"LOC100859351",1.55834930920219,5.23014476256368e-06,5.28148629034639,"bldg","pituitary"
"RENBP",1.55438511322771,0.00921134639649001,2.03567688556541,"bldg","pituitary"
"OLFML3",1.55047262996353,0.000228734720228624,3.64066790771849,"bldg","pituitary"
"MLXIPL",1.54564912502744,0.0317843714423581,1.49778637261844,"bldg","pituitary"
"MLXIPL",1.54564912502744,0.0317843714423581,1.49778637261844,"bldg","pituitary"
"LOC101750533",1.53998500419032,6.85735395115054e-07,6.16384343328739,"bldg","pituitary"
"PTGER2",1.53937651963157,0.0927684020985256,1.0325999239002,"bldg","pituitary"
"CDK2AP2",1.53918187364033,1.76125068809765e-11,10.7541788242094,"bldg","pituitary"
"PDGFRB",1.53218914321253,3.71412903693544e-05,4.43014301199755,"bldg","pituitary"
"SOX11",1.53089134728291,2.42324743096126e-08,7.61560223901362,"bldg","pituitary"
"LOC107051524",1.53041493542197,3.64350041300682e-06,5.43848117690999,"bldg","pituitary"
"LOC101749247",1.52980830304745,7.68993864174917e-07,6.11407712543343,"bldg","pituitary"
"ASXL2",1.52650080963236,4.48979279077736e-05,4.34777370173577,"bldg","pituitary"
"ASXL2",1.52650080963236,4.48979279077736e-05,4.34777370173577,"bldg","pituitary"
"MFSD5",1.52053359588598,8.23661955881288e-15,14.0842509931791,"bldg","pituitary"
"PLEKHH3",1.51474615031791,1.88771819942142e-10,9.72406283714105,"bldg","pituitary"
"LOC101748192",1.51319829797931,0.00425199819136353,2.37140692888087,"bldg","pituitary"
"ALPI",1.50999361628225,0.0817920733537648,1.08728878270428,"bldg","pituitary"
"DMBT1",1.49026480013151,0.0010649051583301,2.97268906926564,"bldg","pituitary"
"DMBT1",1.49026480013151,0.0010649051583301,2.97268906926564,"bldg","pituitary"
"TRIM7.2",1.48898354120639,2.29539266118439e-16,15.6391430112165,"bldg","pituitary"
"L1CAM",1.47974056130424,6.51953562830472e-09,8.18578333697468,"bldg","pituitary"
"WNT9A",1.47246762891105,0.0137150302324818,1.86280323072912,"bldg","pituitary"
"P2RY6",1.46984539447367,0.0172786622567721,1.76248988436821,"bldg","pituitary"
"LOC107056011",1.46926225600118,7.82758999652752e-07,6.10637193044748,"bldg","pituitary"
"LOC107049412",1.46672366442691,0.0154201174040929,1.81191231968613,"bldg","pituitary"
"LOC107051165",1.46562780148215,1.51791278939151e-05,4.81875317980685,"bldg","pituitary"
"C12ORF10",1.46546050867991,2.95970570412161e-13,12.5287514705053,"bldg","pituitary"
"RBM14",1.46393950087884,6.39024889267808e-09,8.19448222625293,"bldg","pituitary"
"PCDHA12",1.45965536154813,1.99748980328702e-06,5.69951542897892,"bldg","pituitary"
"LOC422147",1.45918056660508,0.0346382804575396,1.46044367572911,"bldg","pituitary"
"STAT2",1.45878419780785,3.76889845131736e-08,7.42378556396367,"bldg","pituitary"
"LOC107051489",1.45057771878926,0.0823962021191962,1.08409280573842,"bldg","pituitary"
"LOC101747947",1.44870032356695,1.08731365434998e-16,15.9636451581177,"bldg","pituitary"
"LOC107051561",1.44227450847966,0.0830063216943603,1.08088883084769,"bldg","pituitary"
"AMER1",1.43973288224128,1.17827300670274e-08,7.92875407154584,"bldg","pituitary"
"C18H17ORF75",1.43816079352779,0.000499040878231494,3.30186387829798,"bldg","pituitary"
"DOHH",1.43545309269186,1.95507424903366e-06,5.7088367444915,"bldg","pituitary"
"ICOS",1.43539062981126,0.0659786288833354,1.1805967138678,"bldg","pituitary"
"TET3",1.43239877736701,2.00031464280781e-06,5.69890168589225,"bldg","pituitary"
"ARHGAP44",1.42818346273573,1.75745392117861e-06,5.75511605295975,"bldg","pituitary"
"C3AR1",1.42717377740295,0.0340595809409561,1.46776069977183,"bldg","pituitary"
"RASAL3",1.42592919590324,1.83915072684306e-19,18.7353826768773,"bldg","pituitary"
"LOC107049099",1.42427173445989,0.000190760135899057,3.71951237684317,"bldg","pituitary"
"LOC101749142",1.42230168512283,7.43709597280748e-10,9.12859661407635,"bldg","pituitary"
"C26H6ORF132",1.41877790982246,0.000386913518907304,3.41238609559726,"bldg","pituitary"
"LOC107049263",1.41596175676845,0.044218700354915,1.35439402604911,"bldg","pituitary"
"SERPING1",1.41394782470649,2.79372233189603e-06,5.55381676061191,"bldg","pituitary"
"MRI1",1.41081858162475,1.099479264382e-05,4.95881295679832,"bldg","pituitary"
"DLGAP3",1.40966139072624,7.85504224088191e-06,5.10485147517746,"bldg","pituitary"
"AVPR2",1.40696774594932,9.09459172448561e-05,4.04121679256343,"bldg","pituitary"
"XKR6",1.40508515082866,2.63521007509341e-05,4.5791847577504,"bldg","pituitary"
"HIC1",1.40056598438842,0.000610487493810085,3.21432322840198,"bldg","pituitary"
"INHBB",1.39960647486292,0.000176915739360149,3.75223352823674,"bldg","pituitary"
"SPC24",1.39849487059865,2.72255310449336e-05,4.56502364040102,"bldg","pituitary"
"LOC107050337",1.39824189833229,0.0513732040059291,1.28926334767448,"bldg","pituitary"
"PHOSPHO1",1.3914267412939,0.0152222865241892,1.81752010773274,"bldg","pituitary"
"PHC2",1.3875905697472,0.0494098724297228,1.30618626740463,"bldg","pituitary"
"CAPG",1.38370639393679,0.00210787188388418,2.67615578900646,"bldg","pituitary"
"RPUSD3",1.38119075752384,7.31914033533299e-07,6.13553992571018,"bldg","pituitary"
"CCDC56",1.38035503540053,3.43203148974946e-06,5.46444873604429,"bldg","pituitary"
