"gene","counts","sex","tissue","treatment","samples"
"AR",8.58936567264484,"female","pituitary","control","w191.r1_female_pituitary_control"
"AR",9.56152894097701,"female","pituitary","prolong","x.blk20_female_pituitary_prolong"
"AR",10.1848538362038,"female","pituitary","inc.d9","x.blu101.w43_female_pituitary_inc.d9"
"AR",9.24227393060768,"female","pituitary","inc.d3","x.blu102.w105_female_pituitary_inc.d3"
"AR",9.7519579164865,"female","pituitary","n5","x.blu109.w121_female_pituitary_n5"
"AR",8.80156495917261,"female","pituitary","inc.d17","x.blu116.w107_female_pituitary_inc.d17.NYNO"
"AR",9.94343235991233,"female","pituitary","inc.d9","x.blu122.r66_female_pituitary_inc.d9"
"AR",10.420727038457,"female","pituitary","m.inc.d9","x.blu25_female_pituitary_m.inc.d9"
"AR",10.320943189091,"female","pituitary","n9","x.blu43.g132_female_pituitary_n9"
"AR",9.15562802346456,"female","pituitary","lay","x.blu6.y80_female_pituitary_lay"
"AR",9.70920052297697,"female","pituitary","m.inc.d17","x.blu94_female_pituitary_m.inc.d17"
"AR",9.97824170527144,"female","pituitary","m.n2","x.blu96_female_pituitary_m.n2"
"AR",10.5360299247436,"female","pituitary","early","x.g26_female_pituitary_m.inc.d8"
"AR",9.49139616207028,"female","pituitary","n5","x.g37_female_pituitary_n5"
"AR",9.63292088229919,"female","pituitary","n9","x.g4.w50_female_pituitary_n9"
"AR",9.91084590067406,"female","pituitary","n5","x.g43_female_pituitary_n5"
"AR",9.86620640548716,"female","pituitary","n5","x.g49_female_pituitary_n5.NYNO"
"AR",9.76037429326853,"female","pituitary","prolong","x.g50_female_pituitary_inc.prolong"
"AR",9.19713428623315,"female","pituitary","inc.d9","x.g9.o166_female_pituitary_inc.d9.NYNO"
"AR",8.64204986596217,"female","pituitary","inc.d17","x.o159.w90_female_pituitary_inc.d17"
"AR",9.81559247287513,"female","pituitary","m.n2","x.o171.w45_female_pituitary_m.hatch"
"AR",10.1305047333493,"female","pituitary","n5","x.o175.g21_female_pituitary_n5"
"AR",9.43467893397314,"female","pituitary","hatch","x.o37.blu50_female_pituitary_hatch"
"AR",9.66536831428524,"female","pituitary","m.n2","x.o61_female_pituitary_extend.hatch"
"AR",9.69663921856318,"female","pituitary","n5","x.o70_female_pituitary_n5"
"AR",9.86719680332389,"female","pituitary","m.inc.d3","x.r180_female_pituitary_m.inc.d3"
"AR",9.11043678040889,"female","pituitary","inc.d3","x.r33.w183_female_pituitary_inc.d3"
"AR",10.257913374626,"female","pituitary","bldg","x.r39.g10_female_pituitary_bldg"
"AR",9.3531011939815,"female","pituitary","hatch","x.r44.w95_female_pituitary_hatch"
"AR",7.70110885951567,"female","pituitary","inc.d17","x.r48.y139_female_pituitary_inc.d17.NYNO"
"AR",10.073769145719,"female","pituitary","n5","x.r50.w97_female_pituitary_n5"
"AR",9.90771922879977,"female","pituitary","m.n2","x.r74.o29_female_pituitary_m.hatch"
"AR",10.0999498236137,"female","pituitary","m.inc.d9","x.r76_female_pituitary_m.inc.d9"
"AR",10.6260052701801,"female","pituitary","early","x.s188_female_pituitary_m.inc.d8"
"AR",9.89665588427109,"female","pituitary","n9","x.w178_female_pituitary_n9"
"AR",9.67944751607012,"female","pituitary","lay","x.w51_female_pituitary_lay"
"AR",9.93115205618048,"female","pituitary","n9","x.w6_female_pituitary_n9"
"AR",9.39327453341673,"female","pituitary","inc.d9","x.y109_female_pituitary_inc.d9"
"AR",9.60926557272386,"female","pituitary","m.inc.d17","x.y119.w11_female_pituitary_m.inc.d17"
"AR",10.8212141653531,"female","pituitary","n9","x.y138.w176_female_pituitary_n9"
"AR",9.43599879575897,"female","pituitary","prolong","x.y145.r55_female_pituitary_inc.prolong"
"AR",9.65344556665724,"female","pituitary","early","x.y5_female_pituitary_m.inc.d8"
"AR",9.33033939052855,"female","pituitary","extend","x.y64_female_pituitary_extend"
"AR",9.49170372905033,"female","pituitary","hatch","x.y90_female_pituitary_hatch"
"AR",10.1617175896968,"female","pituitary","inc.d9","x.y93.g126_female_pituitary_inc.d9"
