id,studytype,treatment,num,num.treatment,sex,date,starttime,decaptime,moltbin,t,cort,p4,prl,e2,gon,gonad,molt,stage,maniptype
y126/w92-x,characterization,inc17,5,5.i17,f,7/28/16,10:41:00,0:04:00,1,.,1.731925747,0.141931437,72.34,0.147264259,MF,3-4mm hierarchy. small oviduct,p10 left molt,late,.
x-blu116,characterization,inc17,5,5.i17,f,7/27/16,9:42:00,0:04:00,1,.,2.967750473,0.465733895,76.69,0.245619257,MF,"follicles have hierarchy, 3-4mm in size",secondary molt on right wing only,late,.
x-o159/w90,characterization,inc17,5,5.i17,f,8/2/16,9:32:00,0:01:00,0,.,1.383050847,0.279364353,62.37,0.056838331,MF,hierarchy in follicles (~3mm=largest); yolky,none,late,.
y136-x,characterization,inc17,5,5.i17,f,9/19/16,0:35:00,0:02:10,.,.,1.154447212,0.137212313,14.47,0.147318751,MF,"hierarchy, lg oviduct",na,late,.
x-r48/y139,characterization,inc17,5,5.i17,f,8/8/16,11:30:00,0:03:00,0,.,3.259350304,1.659202433,89.04,0.148279778,SF,hierarchy. 1 larger follicle (2-3mm),none,late,.
o35/r51-x,characterization,inc17,5,5.i17,f,9/8/16,10:58:00,0:04:00,0,.,1.478160864,0.14079615,38.03,0.626673063,SF,multiple yolky follicles (2-3mm),none,late,.
g142/r40-x,characterization,inc17,5,5.i17,f,11/29/16,10:00:00,0:02:00,1,.,1.411796135,0.192549725,113,0.14434064,SF,"oviduct large, hierarchy 2-3mm",right P7,late,.
o52-blu53,characterization,inc17,5,5.i17,f,10/18/16,9:51:00,0:03:00,1,.,1.743171282,1.133964107,19.03,0.297524183,R,"small, R",p8?,late,.
x-y132/w76,characterization,inc17,5,5.i17,m,8/8/16,11:30:00,0:04:00,1,2.991220004,4.456049275,0.316650818,63.52,.,L,big testes,p10-both sides,late,.
blu113/w124-x,characterization,inc17,5,5.i17,m,7/27/16,9:42:00,0:07:00,1,1.386502248,6.628547064,0.702709012,60.09,.,L,large gonads,tail molt,late,.
blu121/w91-x,characterization,inc17,5,5.i17,m,8/2/16,9:32:00,0:04:00,0,0.297541947,1.673698729,0.702709012,68.15,.,L,large testes,none,late,.
x-blu117/w89,characterization,inc17,5,5.i17,m,7/28/16,10:41:00,0:02:00,1,0.224753307,1.639412976,0.643503386,72.73,.,L,large testes,alula molt,late,.
x-r29/w96,characterization,inc17,5,5.i17,m,8/2/16,9:48:00,0:02:00,0,0.46049279,1.133394927,1.43271235,14.95,.,L,"large, cream colored",none,late,.
g130/y81-x,characterization,inc17,5,5.i17,m,10/4/16,10:57:00,0:07:00,.,1.428555963,1.947229528,0.166722525,100.91,.,L,lg,.,late,.
g143/blu32-x,characterization,inc17,5,5.i17,m,9/19/16,0:35:00,0:02:32,.,0.359637229,1.056881854,0.196342912,16.67,.,L,lg,.,late,.
r176-blu54,characterization,inc17,5,5.i17,m,10/18/16,9:51:00,0:03:00,1,1.931291258,1.489278643,1.27616356,19.94,.,L,lg,body,late,.
y133/w77-r58,characterization,inc17,5,5.i17,m,9/22/16,10:19:50,0:02:46,1,0.108402024,1.279641929,0.261858495,42.12,.,L,lg,body,late,.
blk17-x,characterization,inc17,5,5.i17,m,11/29/16,10:00:00,0:03:00,1,2.160743394,1.85817094,1.327718049,97.43,.,L,v lg,p9,late,.
x-g14/w199,characterization,inc17,5,5.i17,m,9/8/16,10:58:00,0:03:00,.,3.902384561,2.244518977,0.702709012,33.64,.,L,very large,.,late,.
x-r33/w183,characterization,inc3,3,3.i3,f,8/25/16,11:04:00,0:03:00,1,.,1.251140115,0.140400237,20.73,0.430640583,MF,"1 large >5mm, yolky follicles, many small","body, no other molt",early,.
g6/w197-x,characterization,inc3,3,3.i3,f,1/18/17,10:37:00,0:04:00,1,.,5.045182614,0.374467726,27.51,0.151206405,MF,"3-4mm yolky follicles, hierarchy","body, secondary- 1 feather (asym)",early,.
o165/w122-x,characterization,inc3,3,3.i3,f,7/27/16,9:42:00,0:05:00,0,.,6.588524518,1.786873047,91.77,0.145801338,SF,3mm yolky follicles; strange flattened appearance to some of follicles- these have no apparent yolk.,no,early,.
blu39/o26-x,characterization,inc3,3,3.i3,f,2/2/17,9:32:00,0:03:00,1,.,1.116201384,0.328844832,12.92,0.148602211,G,"granulosa no follicle, no hierarchy.",body,early,.
