id,studytype,treatment,num,num.treatment,sex,date,starttime,decaptime,moltbin,t,cort,p4,prl,e2,gon,gonad,molt,stage,maniptype
x-y138/w176,characterization,n9,8,8.n9,f,10/4/16,10:25:00,0:03:00,.,.,0.824428331,0.495083426,43.35,0.690467479,MF,"5-7mm yolky follicles, hierarchy",.,late,.
x-y9,characterization,n9,8,8.n9,f,3/2/17,9:59:00,0:02:00,1,.,2.638465395,0.384761097,55.28,0.322960209,MF,"5mm yolky foll., hierarchy, med oviduct",P11,late,.
x-g4/w50,characterization,n9,8,8.n9,f,11/15/16,9:36:00,0:02:10,.,.,1.342036007,0.155365355,58.86,1.069644604,LF,"follicles, largest 1cm",.,late,.
blu36-w16,characterization,n9,8,8.n9,f,11/15/16,11:03:20,0:01:23,.,.,0.989090059,0.205399526,50.03,1.115639537,SF,hierarchy,.,late,.
y97-x,characterization,n9,8,8.n9,f,3/7/17,10:02:00,0:03:00,1,.,0.964546366,0.266476541,44.81,0.16872651,SF,"hierarchy, 1-2mm foll.","light body, heavy tail and p2",late,.
w178-x,characterization,n9,8,8.n9,f,11/2/16,11:07:00,0:03:00,0,.,1.649155837,0.414476486,54.16,0.330415811,LF,large hierarchy,no,late,.
blk4-x,characterization,n9,8,8.n9,f,2/6/17,10:27:30,0:04:30,0,.,0.518721199,0.41906466,59.31,0.439255657,LF,"lg oviduct, 1 7mm yolky foll. hierarchy, another 2 ~5mm follicle",no,late,.
r95-blu99,characterization,n9,8,8.n9,f,2/22/17,9:50:00,0:04:00,0,.,2.258741156,1.760396654,16.24,0.314926723,R,regressed,none,late,.
blu81-r88,characterization,n9,8,8.n9,m,2/22/17,9:50:00,0:04:00,1,0.345463113,0.994294936,1.593674717,42.55,.,L,large,body,late,.
y129-x,characterization,n9,8,8.n9,m,11/15/16,9:36:00,0:02:33,.,4.218193517,2.341259742,1.090920068,21.62,.,L,large,.,late,.
r/y-s/blk,characterization,n9,8,8.n9,m,11/2/16,11:07:00,0:03:00,1,2.367698806,2.159105618,1.888466383,24.28,.,L,large testes,"p9, p1, tail",late,.
blk/d-g/s,characterization,n9,8,8.n9,m,3/2/17,9:41:00,0:05:00,1,4.321452604,1.305571239,0.950347547,39.98,.,L,lg,"primary, body",late,.
R195-X,characterization,n9,8,8.n9,m,3/2/17,9:59:00,0:02:00,1,2.000253236,1.731016866,0.268609666,43.24,.,L,lg,body,late,.
s/l-o/r,characterization,n9,8,8.n9,m,6/17/17,9:17:00,0:03:00,.,2.366128497,1.874067709,0.118150178,39.59,.,L,lg,.,late,.
x-blk16,characterization,n9,8,8.n9,m,2/6/17,10:27:30,0:04:30,1,1.789542462,1.195025159,0.278695349,53.65,.,L,lg,P1 on L side,late,.
x-o2,characterization,n9,8,8.n9,m,3/7/17,10:02:00,0:05:00,1,2.327829533,4.581648762,0.950347547,10.36,.,L,lg,light body,late,.
y131/w185-x,characterization,n9,8,8.n9,m,10/4/16,10:25:00,0:03:00,.,3.1817226,1.616936803,1.28654068,30.91,.,L,lg,.,late,.
x-blu23/w14,characterization,n9,8,8.n9,m,11/15/16,11:03:20,0:01:45,.,0.36001096,0.825547481,1.077723333,45.02,.,M,medium,.,late,.
l/s-pk/r,manipulation,prolong,6.5,6.5.pl,f,3/13/17,10:39:00,0:02:00,0,.,1.267707993,0.467346698,72.59,0.07546615,SF,"1-2mm foll., hierarchy, sm oviduct",none,late,period
x-g50,manipulation,prolong,6.5,6.5.pl,f,2/13/17,10:11:00,0:04:00,0,.,2.411689537,0.293253549,44.23,0.040930954,SF,"1-2mm yolky foll. hierarchy, oviduct sm to med",none,late,period
r194-x,manipulation,prolong,6.5,6.5.pl,f,3/9/17,9:42:00,0:02:00,1,.,1.046094949,0.144376398,86.44,0.035825652,SF,"1-2mm yolky foll. hierarchy, small to medium oviduct",light body,late,period
x-blk20,manipulation,prolong,6.5,6.5.pl,f,.,9:33:00,0:01:00,1,.,1.655056316,0.290582273,85.62,0.067524895,SF,"1-2mm yolky follicles, hierarchy",p3,late,period
blk/s-pu/d,manipulation,prolong,6.5,6.5.pl,f,5/2/17,10:19:00,0:02:00,1,.,0.942507258,0.296382103,43.81,0.055450954,SF,"2-3mm hierarchy, yolky foll","p2 on L, body",late,period
s-pu/pk,manipulation,prolong,6.5,6.5.pl,f,.,9:41:00,0:04:30,1,.,2.706985428,0.661518722,84.42,0.079712875,SF,"2-3mm yolky foll, hierarchy","light body, p11",late,period
blu115-x,manipulation,prolong,6.5,6.5.pl,f,2/17/17,9:21:35,0:01:55,0,.,1.032535651,0.111697186,58.54,0.122583764,SF,"2mm yolky foll, hierarchy, sm. oviduct",no,late,period
x-y145/r55,manipulation,prolong,6.5,6.5.pl,f,2/10/17,10:00:00,0:04:00,1,.,3.017080621,0.243033776,78.75,0.09647916,SF,hierarchy,p3,late,period
y146/r32-x,manipulation,prolong,6.5,6.5.pl,f,2/10/17,10:00:00,0:02:00,.,.,1.08873012,0.115276421,86.71,0.040647131,R,r,.,late,period
l/s-o/w,manipulation,prolong,6.5,6.5.pl,f,5/2/17,9:32:00,0:03:00,1,.,7.328963029,2.049999851,68.54,0.060627418,SF,small,body,late,period
x-y79,manipulation,prolong,6.5,6.5.pl,m,3/13/17,10:39:00,0:05:00,1,0.375351808,3.498404941,0.103783643,74.77,.,L,large,"body, p1, p2, p11, multiple secondaries",late,period
blk/s-o/g,manipulation,prolong,6.5,6.5.pl,m,5/2/17,10:19:00,0:01:40,1,1.09734505,1.748194431,1.973270864,35.27,.,L,lg,body,late,period
g/y-o/s,manipulation,prolong,6.5,6.5.pl,m,.,9:41:00,0:03:40,1,4.563717932,1.857900676,0.36461598,3.78,.,L,lg,tail,late,period
g38-x,manipulation,prolong,6.5,6.5.pl,m,2/13/17,10:11:00,0:02:00,0,1.228304102,0.656453064,2.169413102,61.35,.,L,lg,none,late,period
l/s-blk/r,manipulation,prolong,6.5,6.5.pl,m,5/2/17,9:32:00,0:03:00,1,2.845579898,2.017334828,0.88943032,4.66,.,L,lg,body,late,period
o114-blu9,manipulation,prolong,6.5,6.5.pl,m,2/10/17,10:00:00,0:03:00,1,3.113357007,1.983780428,0.242451806,85.17,.,L,lg,body,late,period
pk/s-d/g,manipulation,prolong,6.5,6.5.pl,m,.,9:33:00,0:01:00,1,1.9362491,0.907536912,0.992539502,93.7,.,L,lg,"light body, p1, secondary",late,period
r90-x,manipulation,prolong,6.5,6.5.pl,m,2/10/17,10:00:00,0:03:00,1,1.21665159,0.943998309,0.277037866,64.08,.,L,lg,"body, p1",late,period
x-blu57,manipulation,prolong,6.5,6.5.pl,m,3/9/17,9:42:00,0:05:00,1,1.62406011,7.342908328,0.265541544,73.62,.,L,lg,light body,late,period
r81-x,manipulation,prolong,6.5,6.5.pl,m,2/17/17,9:21:35,0:02:50,0,0.277145041,1.989585049,1.616218569,47.51,.,M,medium,no,late,period
x-y116,manipulation,stress,9,9.stress,f,3/10/16,9:55:00,0:32:00,.,.,11.15,0.610895518,.,.,LF,"1 XL,2  big,2 med, bunch small foll",.,.,.
x-w7,manipulation,stress,9,9.stress,f,3/10/16,9:55:00,0:31:00,.,.,21.18,0.647942896,.,.,LF,"2 big, 5 med, bunch small foll",.,.,.
x-r23,manipulation,stress,9,9.stress,f,5/27/16,10:17:00,.,.,.,31.19,0.9538423,.,.,MF,"2 medium follicles, rest [are] small",.,.,.
x-w24/w49,manipulation,stress,9,9.stress,f,6/22/16,10:40:00,0:43:00,1,.,4.07,1.261190759,.,.,LF,big yolky follicles,secondary molt,.,.
x-g113,manipulation,stress,9,9.stress,f,5/27/16,10:27:00,.,.,.,14.22,0.520018994,.,.,SF,bunch of small follicles,.,.,.
g101-x,manipulation,stress,9,9.stress,f,9/9/16,10:48:00,0:34:00,1,.,5.1,0.528463144,.,.,MF,many small follicles (5-6mm),body,.,.
x-y106,manipulation,stress,9,9.stress,f,6/22/16,10:40:00,0:34:00,1,.,13.24,0.351752056,.,.,SF,many small follicles (no hierarchy),"primary molt, 1 feather",.,.
blu7-x,manipulation,stress,9,9.stress,f,6/22/16,10:55:00,0:39:00,1,.,15.39,0.615403056,.,.,SF,"small yellow follicles, no hierarchy",primary molt,.,.
y104-w190,manipulation,stress,9,9.stress,f,9/12/16,10:54:00,0:34:00,.,.,11.63,0.985091277,.,.,MF,"yolky follicles, lg oviduct",.,.,.
x-w31,manipulation,stress,9,9.stress,m,5/27/16,10:27:00,.,.,.,15.54,1.086912851,.,.,L,"3 large, 7 med, rest [are] small foll.",.,.,.
blu123/w38-x,manipulation,stress,9,9.stress,m,3/11/16,9:42:00,0:33:00,.,.,2.58,0.176181839,.,.,L,Big gonads,.,.,.
o116-x,manipulation,stress,9,9.stress,m,3/11/16,11:09:00,.,.,.,5.46,0.192750293,.,.,L,Big gonads,.,.,.
o123/w29-x,manipulation,stress,9,9.stress,m,3/11/16,9:33:00,0:29:00,.,.,24.32,0.493751567,.,.,L,Big gonads,.,.,.
x-blu8/w30,manipulation,stress,9,9.stress,m,3/11/16,10:25:00,0:31:00,.,.,22.86,0.607490531,.,.,L,Big gonads,.,.,.
x-o105/w27,manipulation,stress,9,9.stress,m,3/11/16,9:42:00,0:31:00,.,.,3.03,0.122179443,.,.,L,Big gonads,.,.,.
y101-x,manipulation,stress,9,9.stress,m,3/11/16,11:09:00,.,.,.,23.81,0.618258534,.,.,L,Big gonads,.,.,.
y111-x,manipulation,stress,9,9.stress,m,3/11/16,10:25:00,0:29:00,.,.,17.36,0.341312228,.,.,L,Big gonads,.,.,.
r2-x,manipulation,stress,9,9.stress,m,3/10/16,9:39:00,0:32:00,.,.,5.64,0.243044559,.,.,L,big testes,.,.,.
o122/g2-x,manipulation,stress,9,9.stress,m,5/27/16,11:07:00,.,.,.,9.25,0.227594876,.,.,L,large,.,.,.
y110-x,manipulation,stress,9,9.stress,m,5/27/16,11:07:00,.,.,.,18.71,0.749588993,.,.,L,large,.,.,.
g105-x,manipulation,stress,9,9.stress,m,5/27/16,10:17:00,.,.,.,25.68,0.665109486,.,.,M,medium,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
