"","group","gene","results","n"
"237","FP","ETFA","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"238","FP","FBXO42","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"239","FP","GATA2","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(-)",3
"240","FP","GCSH","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"241","FP","GLRX3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"242","FP","GMPPB","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"243","FP","GRAMD1B","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"244","FP","GRID2IP","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(-)",3
"245","FP","GTF2IRD1","Bldg2Lay(+); Inc9toInc17(-); Hatch2N5(+)",3
"246","FP","HERPUD1","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"247","FP","HIPK3","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"248","FP","HSD17B12","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"249","FP","HYOU1","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"250","FP","IFI30","Lay2Inc3(-); Inc9toInc17(+); Hatch2N5(-)",3
"251","FP","JAK1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"252","FP","KANK1","Bldg2Lay(-); Lay2Inc3(+); Hatch2N5(+)",3
"253","FP","KDELR3","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"254","FP","KDM4C","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"255","FP","KMT2A","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"256","FP","LGALS1","Bldg2Lay(-); Lay2Inc3(+); Hatch2N5(+)",3
"257","FP","LOC100859104","Bldg2Lay(-); Lay2Inc3(+); Hatch2N5(-)",3
"258","FP","LOC101748353","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"259","FP","LOC101748741","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"260","FP","LOC101750635","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"261","FP","LOC418811","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"262","FP","LOC771811","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+)",3
"263","FP","LRP4","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"264","FP","LSM1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"265","FP","MAP2K6","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"266","FP","MAPKBP1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"267","FP","MARC2","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"268","FP","MBD5","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"269","FP","MCFD2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"270","FP","MDH1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"271","FP","MDH2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"272","FP","MED1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"273","FP","MED13","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"274","FP","MEF2D","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"275","FP","MLEC","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"276","FP","MLL3","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"277","FP","MPC2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"278","FP","MRPL13","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"279","FP","MRPL23","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"280","FP","MRPL33","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"281","FP","MRPL48","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"282","FP","MRPS26","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"283","FP","MRPS5","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"284","FP","MSANTD4","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"285","FP","MSMO1","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"286","FP","MYO1D","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"287","FP","NACC2","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"288","FP","NAP1L1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+)",3
"289","FP","NCOA1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"290","FP","NCOR1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"291","FP","NDUFA10","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"292","FP","NDUFB9","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"293","FP","NDUFC2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"294","FP","NEO1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"295","FP","NIP7","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"296","FP","NOP16","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"297","FP","NUP153","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(+)",3
"298","FP","NUP37","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"299","FP","PAPD5","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(+)",3
"300","FP","PARK7","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"301","FP","PCNA","Bldg2Lay(+); Inc9toInc17(+); Hatch2N5(-)",3
"302","FP","PDHA1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"303","FP","PDIA3","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+)",3
"304","FP","PEX10","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"305","FP","PHB","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"306","FP","PHF12","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"307","FP","PIGY","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"308","FP","PIK3R3","Bldg2Lay(-); Inc9toInc17(-); Hatch2N5(+)",3
"309","FP","PLEKHG4","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"310","FP","PLP1","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(-)",3
"311","FP","POLR2L","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"312","FP","POMP","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"313","FP","PPA1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"314","FP","PRDX4","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"315","FP","PRELID1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"316","FP","PROCA1","Bldg2Lay(+); Lay2Inc3(-); Inc3toInc9(-)",3
