"sample","sex","treatment","PRL"
"x.r33.w183_female_pituitary_inc.d3","female","inc.d3",17.7058131354181
"x.r39.g10_female_pituitary_bldg","female","bldg",16.6087281334253
"x.r44.w95_female_pituitary_hatch","female","hatch",20.895568451878
"x.r48.y139_female_pituitary_inc.d17.NYNO","female","inc.d17",20.8770594608158
"x.r50.w97_female_pituitary_n5","female","n5",18.7713556499489
"x.r64.g140_male_pituitary_inc.d3","male","inc.d3",16.6131293080103
"x.r67.blu35_male_pituitary_bldg.NYNO","male","bldg",15.9719142281292
"x.w178_female_pituitary_n9","female","n9",19.4096970673067
"x.w192.o157_male_pituitary_inc.d9","male","inc.d9",16.9558138771873
"x.w51_female_pituitary_lay","female","lay",17.832164821115
"x.w6_female_pituitary_n9","female","n9",18.1742329693294
"x.y.s.ATLAS_male_pituitary_control","male","control",18.1567810557942
"x.y109_female_pituitary_inc.d9","female","inc.d9",17.8603473744186
"x.y132.w76_male_pituitary_inc.d17","male","inc.d17",19.7940810260276
"x.y138.w176_female_pituitary_n9","female","n9",19.2709752643627
"x.y141.w116_male_pituitary_inc.d9","male","inc.d9",17.5318714429749
"x.y90_female_pituitary_hatch","female","hatch",20.5674746135209
"x.y93.g126_female_pituitary_inc.d9","female","inc.d9",17.373541512234
"x.y9_female_pituitary_n9","female","n9",18.8554347145681
"y.s156.o.r_female_pituitary_lay","female","lay",17.3306838907257
"y126.w92.x_female_pituitary_inc.d17","female","inc.d17",20.5426608744665
"y128.g23.x_female_pituitary_inc.d9","female","inc.d9",17.1926555747412
"y129.x_male_pituitary_n9","male","n9",18.8451693627464
"y13.x_female_pituitary_inc.d3","female","inc.d3",16.4315652621449
"y130.o170.x_female_pituitary_inc.d17","female","inc.d17",20.295092344879
"y131.w185.x_male_pituitary_n9","male","n9",19.4467685434125
"y133.w77.r58_male_pituitary_inc.d17","male","inc.d17",20.2161274826918
"y135.blu107.x_female_pituitary_inc.d17.NYNO","female","inc.d17",20.9122644473542
"y136.x_female_pituitary_inc.d17","female","inc.d17",18.0042385679493
"y140.w119.x_female_pituitary_inc.d9","female","inc.d9",17.8019027055265
"y149.r52.x_male_pituitary_inc.d3","male","inc.d3",16.2009466841606
"y15.x_female_pituitary_hatch","female","hatch",20.1293270919779
"y6.o54_female_pituitary_n5","female","n5",19.6265828521488
"y7.g58_female_pituitary_hatch","female","hatch",20.6196921030505
"y94.g133.x_female_pituitary_n5","female","n5",20.0580765023836
"y95.g131.x_male_pituitary_inc.d9","male","inc.d9",17.00910180663
"y97.x_female_pituitary_n9","female","n9",18.7956737450082
"y98.o50.x_male_pituitary_inc.d3","male","inc.d3",17.6355134396272
