"net$colors","gene"
"turquoise","AK2"
"turquoise","AK3"
"turquoise","AK4"
"turquoise","AK5"
"green","AK6"
"turquoise","AK7"
"turquoise","AK8"
"turquoise","AKAP1"
"turquoise","AKAP10"
"turquoise","AKAP11"
"turquoise","AKAP12"
"turquoise","AKAP13"
"turquoise","AKAP17A"
"turquoise","AKAP2"
"brown","AKAP5"
"turquoise","AKAP6"
"turquoise","AKAP7"
"turquoise","AKAP7L"
"turquoise","AKAP8"
"turquoise","AKAP8L"
"turquoise","AKAP9"
"turquoise","AKD1"
"turquoise","AKIP1"
"turquoise","AKIRIN2"
"turquoise","AKNA"
"green","AKNAD1"
"turquoise","AKR1A1"
"turquoise","AKR1B1"
"turquoise","AKR1D1"
"turquoise","AKR7A2"
"turquoise","AKT1"
"turquoise","AKT2"
"turquoise","AKT3"
"turquoise","AKTIP"
"turquoise","AL021546.6"
"turquoise","AL158801.1"
"turquoise","AL928654.7"
"turquoise","ALAD"
"turquoise","ALAS1"
"turquoise","ALB"
"turquoise","ALCAM"
"turquoise","ALDH18A1"
"turquoise","ALDH1A1"
"turquoise","ALDH1A2"
"turquoise","ALDH1L2"
"turquoise","ALDH3A2"
"turquoise","ALDH4A1"
"turquoise","ALDH5A1"
"turquoise","ALDH6A1"
"turquoise","ALDH7A1"
"yellow","ALDH8A1"
"turquoise","ALDH9A1"
"turquoise","ALDOB"
"turquoise","ALDOC"
"turquoise","ALG1"
"turquoise","ALG10"
"turquoise","ALG11"
"turquoise","ALG12"
"turquoise","ALG13"
"turquoise","ALG14"
"turquoise","ALG2"
"turquoise","ALG3"
"turquoise","ALG5"
"turquoise","ALG6"
"turquoise","ALG8"
"grey","ALK"
"turquoise","ALKBH1"
"turquoise","ALKBH2"
"turquoise","ALKBH3"
"turquoise","ALKBH4"
"turquoise","ALKBH5"
"turquoise","ALKBH8"
"turquoise","ALMS1"
"blue","ALOX5"
"blue","ALOX5AP"
"turquoise","ALPI"
"turquoise","ALPK1"
"turquoise","ALPK2"
"turquoise","ALPK3"
"turquoise","ALPL"
"grey","ALPP"
"turquoise","ALS2"
"turquoise","ALS2CL"
"turquoise","ALX1"
"turquoise","ALYREF"
"turquoise","AMACR"
"grey","AMBP"
"turquoise","AMBRA1"
"turquoise","AMD1"
"grey","AMDHD1"
"turquoise","AMER1"
"turquoise","AMER3"
"turquoise","AMFR"
"turquoise","AMH"
"turquoise","AMHR2"
"turquoise","AMIGO2"
"turquoise","AMMECR1"
"turquoise","AMMECR1L"
"grey","AMN"
"turquoise","AMN1"
"turquoise","AMOT"
"turquoise","AMOTL1"
"turquoise","AMPD1"
"turquoise","AMPD3"
"turquoise","AMPH"
"turquoise","AMT"
"turquoise","AMY1A"
"turquoise","AMZ1"
"turquoise","ANAPC1"
"turquoise","ANAPC10"
"turquoise","ANAPC13"
"turquoise","ANAPC15"
"turquoise","ANAPC16"
"turquoise","ANAPC2"
"turquoise","ANAPC4"
"turquoise","ANAPC5"
"turquoise","ANGEL1"
"turquoise","ANGEL2"
"turquoise","ANGPT1"
"turquoise","ANGPT2"
"turquoise","ANGPT4"
"brown","ANGPTL1"
"turquoise","ANGPTL2"
"turquoise","ANGPTL3"
"turquoise","ANGPTL4"
"turquoise","ANGPTL5"
"yellow","ANGPTL7"
"tan","ANK1"
"turquoise","ANK2"
"turquoise","ANK3"
"turquoise","ANKDD1A"
"grey","ANKDD1B"
"turquoise","ANKEF1"
"turquoise","ANKFN1"
"turquoise","ANKFY1"
"turquoise","ANKH"
"turquoise","ANKHD1"
"turquoise","ANKIB1"
"grey","ANKK1"
"red","ANKLE1"
"turquoise","ANKLE2"
"turquoise","ANKMY1"
"turquoise","ANKMY2"
"turquoise","ANKRA2"
"turquoise","ANKRD1"
"turquoise","ANKRD10"
"turquoise","ANKRD11"
"turquoise","ANKRD12"
"turquoise","ANKRD13A"
"turquoise","ANKRD13B"
"turquoise","ANKRD13C"
"turquoise","ANKRD13D"
"turquoise","ANKRD16"
"turquoise","ANKRD17"
"turquoise","ANKRD2"
"turquoise","ANKRD22"
"turquoise","ANKRD24"
"turquoise","ANKRD26"
"turquoise","ANKRD27"
"green","ANKRD28"
"turquoise","ANKRD29"
"turquoise","ANKRD31"
"turquoise","ANKRD32"
"turquoise","ANKRD33B"
"turquoise","ANKRD34B"
"turquoise","ANKRD39"
"turquoise","ANKRD40"
"turquoise","ANKRD42"
"turquoise","ANKRD44"
"turquoise","ANKRD46"
"turquoise","ANKRD47"
"turquoise","ANKRD49"
"turquoise","ANKRD50"
"turquoise","ANKRD52"
"turquoise","ANKRD54"
"salmon","ANKRD55"
"turquoise","ANKRD6"
"turquoise","ANKRD9"
"turquoise","ANKS1A"
"turquoise","ANKS1B"
"turquoise","ANKS3"
"grey","ANKS4B"
"turquoise","ANKS6"
"turquoise","ANKZF1"
"pink","ANLN"
"turquoise","ANO1"
"turquoise","ANO10"
"turquoise","ANO3"
"greenyellow","ANO4"
"grey","ANO5"
"turquoise","ANO6"
"turquoise","ANO8"
"turquoise","ANO9"
"turquoise","ANOS1"
"turquoise","ANP32A"
"turquoise","ANP32B"
"turquoise","ANP32E"
"turquoise","ANPEP"
"turquoise","ANTXR1"
"turquoise","ANTXR2"
"turquoise","ANTXRL"
"grey","ANXA1"
"grey","ANXA10"
"turquoise","ANXA11"
"grey","ANXA13"
"turquoise","ANXA2"
"turquoise","ANXA4"
"turquoise","ANXA5"
"turquoise","ANXA6"
"turquoise","ANXA7"
"grey","ANXA8"
"turquoise","AOAH"
"turquoise","AOC1"
"turquoise","AOC3"
"turquoise","AOX1"
"turquoise","AOX2"
"turquoise","AP000295.9"
"turquoise","AP000304.12"
"turquoise","AP000350.10"
"turquoise","AP1AR"
"turquoise","AP1B1"
"turquoise","AP1G1"
"turquoise","AP1M1"
"turquoise","AP1S3"
"turquoise","AP2A2"
"turquoise","AP2B1"
"turquoise","AP2M1"
"turquoise","AP3B1"
"turquoise","AP3B2"
"turquoise","AP3D1"
"turquoise","AP3M1"
"turquoise","AP3M2"
"turquoise","AP3S1"
"turquoise","AP3S2"
"turquoise","AP4B1"
"turquoise","AP4E1"
"turquoise","AP4S1"
"turquoise","AP5M1"
"turquoise","AP5Z1"
"turquoise","APAF1"
"turquoise","APBA1"
"brown","APBA2"
"turquoise","APBA3"
"turquoise","APBB1"
"turquoise","APBB1IP"
"turquoise","APBB2"
"turquoise","APBB3"
"turquoise","APC2"
"turquoise","APCDD1"
"turquoise","APCDD1L"
"turquoise","APEH"
"brown","APELA"
"turquoise","APH1A"
"turquoise","API5"
"turquoise","APIP"
"turquoise","APITD1"
"turquoise","APLF"
"turquoise","APLNR"
"turquoise","APLP2"
"turquoise","APMAP"
"pink","APOA1"
"turquoise","APOA1BP"
"yellow","APOBEC2"
"turquoise","APOBEC4"
"pink","APOD"
"pink","APOH"
"turquoise","APOLD1"
"turquoise","APOO"
"turquoise","APOOL"
"turquoise","APOPT1"
"turquoise","APOV1"
"turquoise","APP"
"turquoise","APPBP2"
"turquoise","APPL1"
"turquoise","APPL2"
"turquoise","APRT"
"turquoise","APTX"
"turquoise","AQP11"
"turquoise","AQP12"
"turquoise","AQP2"
"tan","AQP3"
"pink","AQP4"
"grey","AQP8"
"turquoise","AQP9"
"turquoise","AQR"
"turquoise","AR"
"turquoise","ARAP2"
"turquoise","ARAP3"
"turquoise","ARCN1"
"turquoise","AREG"
"turquoise","AREL1"
"turquoise","ARF1"
"turquoise","ARF4"
"turquoise","ARF6"
"turquoise","ARFGAP1"
"turquoise","ARFGAP2"
"turquoise","ARFGAP3"
"turquoise","ARFGEF1"
"turquoise","ARFGEF2"
"turquoise","ARFGEF3"
"turquoise","ARFIP1"
"turquoise","ARFIP2"
"turquoise","ARFRP1"
"turquoise","ARG2"
"turquoise","ARGLU1"
"turquoise","ARHGAP1"
"turquoise","ARHGAP10"
"turquoise","ARHGAP11A"
"turquoise","ARHGAP12"
"blue","ARHGAP15"
"turquoise","ARHGAP17"
"turquoise","ARHGAP18"
"red","ARHGAP19"
"brown","ARHGAP20"
"turquoise","ARHGAP21"
"brown","ARHGAP22"
"turquoise","ARHGAP24"
"blue","ARHGAP25"
"turquoise","ARHGAP26"
"turquoise","ARHGAP27"
"turquoise","ARHGAP28"
"turquoise","ARHGAP29"
"turquoise","ARHGAP32"
"turquoise","ARHGAP36"
"turquoise","ARHGAP39"
"turquoise","ARHGAP40"
"turquoise","ARHGAP42"
"turquoise","ARHGAP44"
"turquoise","ARHGAP5"
"turquoise","ARHGAP6"
"turquoise","ARHGAP8"
"turquoise","ARHGDIB"
"turquoise","ARHGDIG"
"turquoise","ARHGEF1"
"turquoise","ARHGEF10"
"turquoise","ARHGEF10L"
"turquoise","ARHGEF12"
"turquoise","ARHGEF16"
"turquoise","ARHGEF17"
"turquoise","ARHGEF18"
"turquoise","ARHGEF19"
"turquoise","ARHGEF26"
"turquoise","ARHGEF3"
"turquoise","ARHGEF33"
"turquoise","ARHGEF37"
"grey","ARHGEF38"
"turquoise","ARHGEF39"
"green","ARHGEF4"
"turquoise","ARHGEF6"
"turquoise","ARHGEF7"
"turquoise","ARHGEF9"
"turquoise","ARID1A"
"turquoise","ARID1B"
"turquoise","ARID2"
"turquoise","ARID3A"
"turquoise","ARID3B"
"turquoise","ARID4A"
"turquoise","ARID4B"
"turquoise","ARID5B"
"turquoise","ARIH1"
"turquoise","ARIH2"
"turquoise","ARL1"
"turquoise","ARL11"
"grey","ARL13A"
"turquoise","ARL13B"
"turquoise","ARL14EP"
"turquoise","ARL15"
"turquoise","ARL16"
"grey","ARL2"
"turquoise","ARL2BP"
"turquoise","ARL3"
"turquoise","ARL4A"
"turquoise","ARL4C"
"turquoise","ARL5A"
"turquoise","ARL5B"
"turquoise","ARL6"
"turquoise","ARL6IP4"
"turquoise","ARL6IP5"
"turquoise","ARL8A"
"turquoise","ARL9"
"turquoise","ARMC1"
"turquoise","ARMC10"
"turquoise","ARMC2"
"turquoise","ARMC3"
"turquoise","ARMC4"
"turquoise","ARMC6"
"turquoise","ARMC7"
"turquoise","ARMC8"
"turquoise","ARMC9"
"turquoise","ARNT"
"turquoise","ARNT2"
"turquoise","ARNTL"
"turquoise","ARNTL2"
"turquoise","ARPC1A"
"blue","ARPC1B"
"turquoise","ARPC2"
"turquoise","ARPC3"
"turquoise","ARPC4"
"turquoise","ARPC5"
"turquoise","ARPC5L"
"turquoise","ARPP19"
"turquoise","ARPP21"
"turquoise","ARR3"
"turquoise","ARRDC1"
"tan","ARRDC2"
"turquoise","ARRDC3"
"turquoise","ARRDC4"
"turquoise","ARSA"
"turquoise","ARSB"
"grey","ARSD"
"brown","ARSE"
"turquoise","ARSH"
"turquoise","ARSI"
"turquoise","ARSK"
"turquoise","ARTN"
"turquoise","ARV1"
"turquoise","ARVCF"
"greenyellow","ARX"
"turquoise","AS3MT"
"turquoise","ASAH1"
"grey","ASAH2"
"turquoise","ASAP1"
"turquoise","ASAP2"
"turquoise","ASB1"
"turquoise","ASB10"
"turquoise","ASB11"
"turquoise","ASB13"
"magenta","ASB14"
"yellow","ASB15"
"blue","ASB2"
"turquoise","ASB3"
"grey","ASB4"
"turquoise","ASB5"
"turquoise","ASB6"
"turquoise","ASB7"
"turquoise","ASB8"
"turquoise","ASB9"
"turquoise","ASCC1"
"turquoise","ASCC2"
"turquoise","ASCC3"
"turquoise","ASCL1"
"grey","ASCL4"
"turquoise","ASF1A"
"turquoise","ASH1L"
"turquoise","ASH2L"
"turquoise","ASIC4"
"blue","ASIC5"
"turquoise","ASIP"
"turquoise","ASL2"
"turquoise","ASMT"
"turquoise","ASMTL"
"turquoise","ASNA1"
"turquoise","ASNSD1"
"pink","ASPA"
"turquoise","ASPG"
"turquoise","ASPH"
"turquoise","ASPHD2"
"red","ASPM"
"tan","ASPN"
"turquoise","ASPSCR1"
"turquoise","ASRGL1"
"turquoise","ASS1"
"turquoise","ASTE1"
"turquoise","ASTL"
"turquoise","ASTN1"
"turquoise","ASTN2"
"turquoise","ASUN"
"turquoise","ASXL1"
"turquoise","ASXL2"
"turquoise","ASXL3"
"purple","ASZ1"
"turquoise","ATAD1"
"turquoise","ATAD2B"
"turquoise","ATAD3A"
"turquoise","ATAD5"
"turquoise","ATAT1"
"turquoise","ATCAY"
"turquoise","ATE1"
"turquoise","ATF1"
"turquoise","ATF2"
"brown","ATF3"
"turquoise","ATF4"
"turquoise","ATF6"
"turquoise","ATF7"
"turquoise","ATF7IP"
"turquoise","ATG12"
"turquoise","ATG13"
"turquoise","ATG16L1"
"turquoise","ATG2B"
"turquoise","ATG3"
"turquoise","ATG4A"
"turquoise","ATG4B"
"turquoise","ATG4C"
"turquoise","ATG5"
"turquoise","ATG7"
"turquoise","ATG9A"
"turquoise","ATHL1"
"turquoise","ATIC"
"turquoise","ATL1"
"turquoise","ATL2"
"turquoise","ATM"
"turquoise","ATMIN"
"turquoise","ATN1"
"grey","ATOH1"
"grey","ATOH7"
"blue","ATOH8"
"turquoise","ATOX1"
"turquoise","ATP10A"
"turquoise","ATP10B"
"turquoise","ATP10D"
"turquoise","ATP11A"
"turquoise","ATP11C"
"grey","ATP12A"
"turquoise","ATP13A1"
"turquoise","ATP13A2"
"magenta","ATP13A3"
"turquoise","ATP13A4"
"turquoise","ATP1A1"
"turquoise","ATP1A3"
"turquoise","ATP1B1"
"turquoise","ATP1B3"
"yellow","ATP1B4"
"yellow","ATP2A1"
"yellow","ATP2A2"
"turquoise","ATP2A3"
"turquoise","ATP2B1"
"turquoise","ATP2B2"
"turquoise","ATP2B4"
"turquoise","ATP2C1"
"turquoise","ATP2C2"
"turquoise","ATP4B"
"turquoise","ATP5A1"
"turquoise","ATP5B"
"turquoise","ATP5C1"
"turquoise","ATP5D"
"turquoise","ATP5E"
"turquoise","ATP5F1"
"turquoise","ATP5G1"
"turquoise","ATP5G2"
"turquoise","ATP5G3"
"turquoise","ATP5H"
"turquoise","ATP5I"
"turquoise","ATP5J"
"turquoise","ATP5J2"
"turquoise","ATP5L"
"yellow","ATP5S"
"turquoise","ATP5SL"
"turquoise","ATP6"
"turquoise","ATP6AP1"
"turquoise","ATP6AP2"
"turquoise","ATP6V0A1"
"grey","ATP6V0A2"
"turquoise","ATP6V0A4"
"turquoise","ATP6V0B"
"turquoise","ATP6V0C"
"turquoise","ATP6V0D1"
"grey","ATP6V0D2"
"turquoise","ATP6V0E1"
"turquoise","ATP6V0E2"
"turquoise","ATP6V1A"
"turquoise","ATP6V1B2"
"turquoise","ATP6V1C1"
"turquoise","ATP6V1C2"
"turquoise","ATP6V1D"
"turquoise","ATP6V1E1"
"turquoise","ATP6V1G1"
"turquoise","ATP6V1G3"
"turquoise","ATP6V1H"
"turquoise","ATP7B"
"turquoise","ATP8A1"
"grey","ATP8A2"
"turquoise","ATP8B1"
"turquoise","ATP8B2"
"turquoise","ATP8B3"
"turquoise","ATP9A"
"turquoise","ATP9B"
"turquoise","ATPAF1"
"turquoise","ATPAF2"
"turquoise","ATR"
"turquoise","ATRAID"
"turquoise","ATRIP"
"turquoise","ATRN"
"turquoise","ATRNL1"
"turquoise","ATRX"
"turquoise","ATXN1"
"turquoise","ATXN10"
"turquoise","ATXN1L"
"turquoise","ATXN2"
"turquoise","ATXN3"
"turquoise","ATXN7"
"turquoise","ATXN7L1"
"turquoise","ATXN7L3"
"turquoise","AUH"
"turquoise","AUP1"
"red","AURKA"
"turquoise","AURKAIP1"
"turquoise","AUTS2"
"grey","AvBD10"
"grey","AvBD11"
"grey","AvBD12"
"grey","AvBD2"
"pink","AvBD5"
"grey","AvBD7"
"grey","AvBD9"
"blue","AVD"
"midnightblue","AVDL"
"turquoise","AVEN"
"turquoise","AVL9"
"greenyellow","AVP"
"turquoise","AVPR1A"
"turquoise","AVPR1B"
"turquoise","AVPR2"
"turquoise","AXDND1"
