"","group","results","genes"
"60","FP","Bldg2Lay(+); Inc9toInc17(+); Hatch2N5(-)","PCNA"
"61","FP","Bldg2Lay(+); Lay2Inc3(-)","ARL15; BLVRA; CABLES1; CDS2; CNTN5; COQ10B; CYB5A; DUSP16; EFCAB4B; ESR1; FAM189A1; FAM65C; GTF2A1; IKZF5; ITPR2; LOC100859848; LOC107050516; MADD; MT4; NAA50; NFKBIE; NT5DC3; OSBPL10; PHACTR3; SLC30A4; SLC6A1; SP3; STX2; UBASH3B; USP32; ZBTB16; ZBTB33; ZNF706"
"62","FP","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(-)","CNTN4; PLP1"
"63","FP","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(+)","CEP85L; DISP2; DOC2B; NUP153; PAPD5; SMTNL2; TAF4; TOX"
"64","FP","Bldg2Lay(+); Lay2Inc3(-); Inc3toInc9(-)","PROCA1"
"65","FP","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(-)","ASTN1; GATA2; GRID2IP; SLC10A4; TBX20; ZFYVE28"
"66","FP","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)","H6PD; ZCCHC14"
"67","FP","Hatch2N5(-); In17toHatch(+)","SERPINB10"
"68","FP","Hatch2N5(+); N5toN9(-)","LOC101750367"
"69","FP","Hatch2N5(+); N5toN9(+)","NSMF"
"70","FP","Inc3toInc9(-); Lay2Inc3(+)","DYL1"
"71","FP","Inc9toInc17(-); Hatch2N5(+)","ABCG4; ACACA; ACTN4; ADCY5; AGAP3; AHDC1; AJAP1; AMFR; ANKS1A; ANKS3; APC2; ARHGAP1; ARHGAP26; ARHGAP39; ARHGEF17; ARID1A; ARID1B; ARID3B; ARVCF; ATF7; ATF7IP; ATHL1; ATXN1L; BAHD1; BCL11A; BCL9; BSN; BTBD7; C10H15ORF59; C26H6ORF132; C3ORF70; CACNA1H; CACNA1I; CAPN15; CASKIN1; CASZ1; CBFA2T2; CELSR2; CELSR3; CEP104; CHD4; CHD6; CRB2; CTNNA1; CUX2; CZH18ORF25; DAAM1; DAGLA; DCAF10; DGKZ; DHX57; DHX8; DNMT3A; DOT1L; EHBP1; ENC1; EPHA3; EPHB2; EPS8L2; ETV3; FAIM2; FAM102A; FAM13A; FARP1; FBXL14; FCHSD2; FOXP4L; GALNT16; GLIS2; GRIP2; GTF2H4; HCN4; HIP1; HNRNPM; IGDCC4; IGSF3; INA; IQSEC3; IVD; KANK4; KCNA2; KCNB1; KDM1A; KIAA0753; KIAA1147; KIAA1671; KIAA2022; LAMB1; LARGE; LHX6; LOC100857269; LOC101748568; LOC101748851; LOC101749223; LOC101749352; LOC101750600; LOC101751874; LOC107049097; LOC107050650; LOC107050785; LOC107051567; LOC107053055; LOC416924; LOC423110; LOC425431; LPHN3; LSAMP; LZTR1; MAML3; MC5R; MGAT3; MLL2; MN1; MXD1; MYH1D; MYO18A; NAV1; NEDD4; NEU3; NEURL1B; NFIA; NKX2-2; NOTCH2; NR3C1; NRF1; PACS1; PBX1; PCDH19; PDZD7; PHF2; PIANP; PKD1; PLD1; PLEKHO1; PLXNB2; PLXND1; POU6F1; PPAP2B; PPP6R2; PRDM11; PRKAA2; PRKCB; PROC; PTCH1; PTPN14; PTPRD; RAB32; RAB36; RAB3GAP1; RAI1; RAP1GAP; RAPGEF6; RAPGEFL1; RASGRF1; RBM15; RGMA; RHBDL3; RNF130; RNF145; RNF216; RNF24; RNPEPL1; ROGDI; RP11-106M3.5; SBF2; SCMH1; SCRIB; SDK2; SETD2; SEZ6; SGSM2; SKIDA1; SLC35D1; SLC36A1; SMARCC1; SMARCD1; SMC1B; SMG5; SMG7; SOGA1; SPRED2; SRCIN1; SRGAP3; SRRM4; SRSF3; SS18; SSTR2; STK36; SUGP1; TCERG1; TCF20; TCF3; TCF7L2; TESK1; TET3; TFIP11; TLN2; TMEM140; TMEM237; TMEM246; TMPRSS3; TNRC18; TOB2; TPRN; TRAK2; TTC28; UBTF; ULK1; VPS53; WASF2; WBP11; WNK2; WWC1; XRN2; ZBTB40; ZFHX3; ZFYVE9; ZHX3; ZNF319; ZNF469; ZNF516; ZNF608; ZNF618; ZNF687; ZSWIM8"
"72","FP","Inc9toInc17(-); In17toHatch(+)","C5H11ORF9"
"73","FP","Inc9toInc17(+); Hatch2N5(-)","ABCC8; ABCC9; ABCE1; ACTR1A; ACTR2; ACTR6; ACYP2; ADARB2; ADSL; ADSS; ALDH18A1; ALDH6A1; ALG1; ALG5; ALG8; ANAPC10; ANKRD12; AP1AR; AP3S1; APITD1; APP; ARFGAP3; ARHGAP19; ARL6IP5; ARL8A; ATF4; ATM; ATP1B3; ATP6AP2; ATP6V0D1; ATP6V1D; AURKA; AZIN1; B3GALT2; BCAP29; BCCIP; BCKDHB; BET1; BICC1; BIRC5; BLMH; BNIP3L; BOLA3; BRCA1; BTF3L4; BUB1; BUB1B; C14H16ORF88; C17H9ORF78; C1D; C1H12ORF23; C1H12ORF5; C1H12ORF66; C1QBP; C2H6ORF62; C2H7ORF63; C2ORF47; C6ORF57; C8H1ORF27; CALN1; CAMLG; CANX; CAPZA1; CARS; CASK; CBLN2; CBS; CCDC167; CCNA2; CCNB3; CCNC; CCT2; CCT4; CD164; CDC20; CDC25A; CDC45; CDC6; CDCA3; CDCA7; CDK1; CDK5RAP3; CDK6; CDKN3; CDT1; CEBPG; CENPI; CENPK; CENPM; CENPN; CEP55; CEP95; CETN1; CGRRF1; CHAF1B; CHCHD2; CHCHD4; CHTF8; CKAP2; CKAP4; CKS1B; CKS2; CLPTM1L; CMAS; CMPK1; CNIH1; CNOT11; CNPPD1; COMMD1; COPS4; COPS5; COPS8; CPE; CPEB2; CREB3L1; CREM; CRTAP; CTBP1; CTPS1; CTSL2; DAD1; DCK; DDOST; DDRGK1; DDX1; DDX24; DEPDC1; DEPDC1B; DERL1; DGUOK; DHODH; DIAPH3; DLGAP5; DNAJC1; DOK5; DPAGT1; DPM1; DPY30; DR1; DRG1; DSTN; DTNBP1; DUS2; DUSP10; DUSP3; DUT; DYNC1LI1; E2F1; EBAG9; ECT2; EDEM1; EDF1; EIF1AY; EIF2AK1; EIF2AK3; EIF2S1; EIF3F; EIF4E; EIF4H; EIF5; ELAVL2; ELAVL4; EMC7; EME1; ENTPD6; ENTPD7; EPS8; ERGIC1; ERLEC1; ERO1L; ERO1LB; ERP29; ERP44; ESRP1; ETF1; EXT2; F13A1; FAM114A1; FAM13C; FAM18B1; FAM19A1; FAM213A; FAM46A; FAM46D; FAM98A; FANCC; FBXO3; FBXO33; FBXW2; FFAR4; FGF6; FKBP7; FOSL2; GABARAPL1; GABRE; GAL3ST2; GALE; GARS; GCC2; GDI2; GLG1; GMNN; GNB1; GNL3; GNPNAT1; GNPTG; GOLGA2; GOLT1B; GORASP2; GPI; GPN3; GPR123; GPR180; GPX4; GRB10; GXYLT2; HAT1; HBS1L; HDLBP; HELLS; HMGB2; HMGB3; HMGN5; HMMR; HMOX1; HNRNPAB; HOMER2; HOOK3; HSPA14; IARS; IDH3A; IER3IP1; IFRD1; IMPA1; INCENP; INPP5A; ITGB1BP3; ITM2B; IWS1; JKAMP; KARS; KCTD14; KIAA0101; KIAA1524; KIF11; KIF15; KIF20A; KIF4A; KLHDC3; KNSTRN; KNTC1; KPNA2; LAMP2; LAP3; LAPTM4B; LBH; LDHA; LEPROTL1; LMBR1; LMNB1; LOC100858130; LOC101750767; LOC101751823; LOC107048987; LOC107049088; LOC107049885; LOC107051182; LOC107054798; LOC107056124; LOC107057175; LOC419662; LOC420849; LOC422249; LOC423793; LOC424201; LOC427665; LOC428479; LPPR5; LRPPRC; LRRC57; LRRC59; LRRTM4; LYSMD2; LYSMD3; MAD2L1; MAD2L1BP; MAEA; MB21D2; MCM10; MCM2; MCM5; MCTS1; MED31; MESDC2; MEST; METAP1D; METTL21A; METTL9; MFSD2A; MFSD4; MIA3; MIPEP; MITD1; MKI67; MLN; MMADHC; MND1; MRPL1; MRPS31; MTERF3; MTFR1; MTHFD2; MTMR1; MXD3; MYBBP1A; MYBL1; MYC; NAP1L4; NARFL; NASP; NCAPH; NCAPH2; NCL; NCLN; NDC80; NDUFB5; NDUFV2; NECAP1; NMD3; NOP14; NOP58; NPM3; NSUN2; NT5C3A; NUCB2; NUDCD2; NUDT5; NUDT6; NUF2; NUS1; OCIAD1; OLA1; OLFM1; OSBPL11; PAK1IP1; PAM; PAPSS1; PARVA; PBK; PCSK1; PDE10A; PDIA4; PDK4; PGAM1; PGRMC2; PHF5A; PIGB; PIM3; PIN4; PITRM1; PLCB2; PLK1; PLS1; PLS3; POLB; POU3F3; PPA2; PPIC; PPP1CB; PRDX3; PRL; PRMT3; PROCR; PSMB1; PSMC3; PSMD6; PSPH; PTRH2; PTTG1; PWP2; QDPR; QPCT; QRSL1; RAB1A; RAB2A; RAB30; RACGAP1; RAN; RANBP1; RASSF1; RASSF5; RB1; RCN1; REST; RFC3; RFC5; RHOBTB3; RIOK1; RIPK3; RNF11; RP11-1035H13.3; RP11-156P1.2; RP11-196G11.1; RP11-292K15.2; RP11-407N17.3; RPF2; RPN1; RPN2; RPS6KA6; RRM2; RSL1D1; RTN4; RTN4IP1; RUVBL1; SCFD1; SDF4; SEC23B; SEC63; SEL1L; SELT; SEP15; SERINC1; SERP1; SERPINB6; SETD3; SFXN1; SGOL1; SGSM3; SHCBP1; SHPRH; SKA1; SKA3; SLBP; SLC16A1; SLC17A5; SLC17A9; SLC1A4; SLC23A2; SLC25A20; SLC25A3; SLC30A7; SLC35B3; SLC35E3; SLC41A3; SLC7A3; SLC7A5; SLCO5A1; SLMO2; SMC2; SMG8; SMIM18; SNRPA1; SNX14; SPATA5; SPC25; SPRY1; SRP54; SRP68; SRPR; SRPRB; SRSF10; SRSF5A; SSPO; SSR4; STC1; STMN1; STRAP; STT3B; STX12; TACC3; TALDO1; TAX1BP1; TBC1D30; TBCA; TCP1; TFPI2; THAP5; THOC7; TK1; TM2D3; TM9SF3; TMED7; TMEM100; TMEM167A; TMEM18; TMEM180; TMEM196; TMEM241; TMEM50A; TMEM52B; TMEM57; TMEM59; TMEM69; TMOD3; TMPO; TMSB10; TMSB4X; TOMM20; TOMM5; TRAM1; TRIM35; TRIP11; TSHB; TSTA3; TTC27; TXNDC11; TXNDC17; TXNL1; U2AF1; UBA5; UBE2A; UBE2C; UBE2D2; UBE2N; UBR7; UBXN4; UCHL1; UCHL5; UCK2; UFL1; UFM1; UGGT1; UQCRC2; USE1; USMG5; USO1; USP1; USP16; USP35; UTP23; VCP; VDAC1; VDAC2; VPS50; VWA9; WDR4; WDR43; WDR77; WFS1; WIPI1; WRB; ZMYND19; ZNF830"
"74","FP","Inc9toInc17(+); Hatch2N5(-); In17toHatch(+)","SCG3"
"75","FP","Lay2Inc3(-); Hatch2N5(-)","BIRC2; LOC107055436"
"76","FP","Lay2Inc3(-); Hatch2N5(+)","ALMS1; ANKHD1; BRD3; C10ORF12; C2CD3; CADPS; CBL; CHD9; CRIM1; CRY2; DNM1; ELAVL1; FDX1; GDAP1; GPATCH8; HECTD4; HIPK2; IFFO2; KANSL1; KCNH8; KIAA0430; KIF13A; LOC107049328; LOC395991; MAPT; MFSD6; MPRIP; MTA1; NCOA6; NF1; PPM1H; PRDM2; RASAL2; RBL2; RP11-2C24.9; SCAF4; SEMA6A; SORL1; TAOK3; TRRAP; UBTD2; USP31; WASF3; WHSC1; ZC3H7B"
"77","FP","Lay2Inc3(-); In17toHatch(+)","ANP32E"
"78","FP","Lay2Inc3(-); Inc9toInc17(-)","ACER2; ADRBK2; ARHGAP17; CNNM2; CYLD; DEAF1; DIP2B; EHHADH; EPAS1; EYA3; FAM177A1; FAM222B; FOXI1; HIPK1; KIAA1919; LOC107049744; LOC107050074; LOC107050804; LOC107050947; LOC107051165; LOC107051178; LOC107051408; LOC107051473; LOC429809; LONP2; MAST3; MDM4; MED13L; MIER1; MSL2; MTMR3; MYO3AL; NAT8L; NFASC; NPEPPS; NUP88; PRICKLE2; PXN; RBFOX2; RPRD2; RRAGC; SLC8A1; UBXN6; WDR82; WWTR1; ZNF568"
"79","FP","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)","AFF1; AFF4; ANTXR1; ARHGAP32; ARHGEF18; ASCC3; ASH1L; BCORL1; BPTF; C20H20ORF112; CACNA1C; CCDC71; CDK12; CHERP; CRTC1; DAGLB; EP300; EPB41; FBXO42; GRAMD1B; HIPK3; JAK1; KDM4C; KMT2A; LOC101748353; LOC101748741; LOC101750635; LRP4; MAP2K6; MAPKBP1; MBD5; MED1; MED13; MEF2D; MLL3; MYO1D; NACC2; NCOA1; NCOR1; NEO1; PHF12; PLEKHG4; RERE; RNF169; SIK3; SKI; SOBP; SPEN; SUFU; TANC2; UPF1; VANGL1; WHSC1L1; WNK1; ZBED1; ZBTB10; ZC3H6; ZMIZ1; ZNF652; ZXDC"
"80","FP","Lay2Inc3(-); Inc9toInc17(+)","SRD5A1; TOP2A; TRAPPC11"
"81","FP","Lay2Inc3(-); Inc9toInc17(+); Hatch2N5(-)","ANLN; IFI30"
"82","FP","Lay2Inc3(+); Hatch2N5(-)","AC024592.12; AP000304.12; ATP5G1; C26H6ORF125; CFAP20; CNPY2; COPZ1; COQ9; COX5A; COX7C; DNTTIP1; DPH6; EMC8; ENO1; GAPDH; HIGD2A; HTRA3; IMP3; KRTCAP2; LAMTOR2; LOC107050492; LOC107051991; ME1; MOCS3; MRPL16; MRPL21; MRPL39; NDUFA8; NDUFS3; NDUFS4; OSER1; PBDC1; PDCL3; PHB2; POLR3D; PSMA4; PSMB7; PSMC6; REXO2; RPL10A; RPL22L1; RPL3; RPL34; RPL37; RPL39; RPL5; RPL6; RPL7L1; RPS27L; RPS29; S100A11; SELM; STK16; TBL2; UMPS; UQCRFS1; WSB2; YARS; YWHAQ"
"83","FP","Lay2Inc3(+); Hatch2N5(+)","LOC429032"
"84","FP","Lay2Inc3(+); Inc9toInc17(-)","ARHGDIG; CLEC3B; MLST8; NOG; TFPT; WRNIP1"
"85","FP","Lay2Inc3(+); Inc9toInc17(+)","ADH5; AHCY; AIMP1; ATP5J; BUB3; BUD31; C14ORF2; CHRNB4; EDEM2; EFR3A; ENY2; FCF1; FKBP4; GADL1; HMGN1; LOC107057057; LOC424401; LRRC70; LSM3; LZTFL1; MED30; MRPS33; NDUFB10; PACRG; PDCD5; PGM2; POLR3F; POU3F2; PRADC1; PSMC1; PSMC2; RGCC; RP11-234B24.6; RPL14; RPL22; RPL31; RPL7; RPL9; RPLP0; RPS24; RPS7; SOD1; TXNL4B; UMOD; UQCR10"
