"study","treatment","sex","bird_id","prolactin","corticosterone","testosterone","moltbin","estradiol","progesterone"
"characterization","n9","female","x.g4.w50",58.863456,1.342036007,NA,NA,1.069644604,0.155365355
"characterization","n9","male","y129.x",21.62016,2.341259742,4.218193517,NA,NA,NA
"manipulation","m.inc.d9","female","x.blu43.g132",31.36816,0.511131213,NA,1,0.258202584,NA
"manipulation","m.inc.d9","male","r37.w100.x",12.7872,0.853196466,6.729852941,1,NA,NA
"characterization","n9","female","blu36.w16",50.02944,0.989090059,NA,NA,1.115639537,0.205399526
"characterization","n9","male","x.blu23.w14",45.020608,0.825547481,0.36001096,NA,NA,NA
"characterization","inc.d3","male","o48.r197.x",11.453792,1.308417597,0.34718024,1,NA,0.269608408
"characterization","inc.d3","female","g6.w197.x",27.507392,5.045182614,NA,1,0.151206405,0.374467726
"characterization","inc.d9","male","g19.w36.x",16.404192,1.674053838,1.164142765,NA,NA,NA
"characterization","inc.d9","female","x.blu101.w43",27.246912,0.918075128,NA,1,0.151302059,0.14489406
"characterization","n5","female","x.o70",76.74208,1.171444323,NA,1,0.154736151,NA
"characterization","n5","male","blu41.y100.x",50.69904,1.732483399,0.171029121,0,NA,0.559911219
"manipulation","m.inc.d9","female","blu63.g62",8.9072,1.52958352,NA,1,0.037898531,0.512078752
"manipulation","m.inc.d9","male","x.o117",34.391264,1.487306758,2.253461016,1,NA,0.276261362
"manipulation","m.inc.d9","female","x.blu25",10.90304,0.890657241,NA,1,0.118084488,NA
"characterization","n5","female","x.g43",62.48096,1.369367746,NA,0,0.147480224,NA
"characterization","n5","male","D.S.Y.Blk",46.99392,2.887716392,0.220951103,1,NA,NA
"characterization","inc.d3","female","y13.x",6.01184,0.8606765,NA,1,0.46125277,NA
"characterization","inc.d3","male","g146.blu51",6.026688,0.977416979,1.436548482,1,NA,0.333972333
"characterization","inc.d3","male","blu111.w113.x",25.574752,3.235237222,0.211438579,1,NA,0.37694131
"characterization","inc.d3","female","x.blu102.w105",47.96032,3.364881218,NA,1,0.158034053,0.588762473
"characterization","n5","female","x.y94.g133",39.0656,5.338635201,NA,1,NA,NA
"characterization","n5","male","blk12.x",42.4472,3.396335989,0.24652882,1,NA,0.967244611
"characterization","hatch","female","y7.g58",85.755872,NA,NA,NA,NA,NA
"characterization","hatch","male","o44.blu26.x",84.437888,0.957200051,0.110136219,1,NA,NA
"characterization","inc.d3","male","x.blu42.o28",14.849056,0.895380854,1.013991734,1,NA,NA
"characterization","inc.d3","female","blu39.o26.x",12.921664,1.116201384,NA,1,0.148602211,0.328844832
"manipulation","m.inc.d17","female","y85.r71.x",5.843808,1.814376609,NA,0,0.118294298,0.1077252
"manipulation","m.inc.d17","male","y4.x",76.725664,0.991499187,0.720569961,0,NA,0.136236686
"manipulation","m.inc.d9","female","y12.x",19.856416,0.825702546,NA,1,0.048126625,NA
"manipulation","m.inc.d9","male","x.y63",6.67264,0.889660463,0.310071378,1,NA,0.384668734
"characterization","n9","female","blk4.x",59.31456,0.518721199,NA,0,0.439255657,0.41906466
"characterization","n9","male","x.blk16",53.652768,1.195025159,1.789542462,1,NA,0.278695349
"manipulation","m.inc.d9","female","o45.g128.x",36.791488,1.11697112,NA,1,0.12905326,0.933174607
"manipulation","m.inc.d9","male","r85.g39",8.450368,0.943824812,4.689293656,NA,NA,0.259804815
"characterization","bldg","male","x.g104.w82",5.54,1.539611415,1.32876079,NA,NA,NA
"characterization","bldg","female","r83.g45",29.7952,1.889350896,NA,1,0.932986992,0.559878442
"manipulation","prolong","female","y146.r32.x",86.713664,1.08873012,NA,NA,0.040647131,0.115276421
"manipulation","prolong","male","o114.blu9",85.174144,1.983780428,3.113357007,1,NA,0.242451806
"manipulation","prolong","female","x.y145.r55",78.750016,3.017080621,NA,1,0.09647916,0.243033776
"manipulation","prolong","male","r90.x",64.076448,0.943998309,1.21665159,1,NA,0.277037866
"characterization","n5","male","x.r181",82.727456,7.385439645,0.398857709,0,NA,0.605107093
"manipulation","m.inc.d9","female","x.r76",14.305184,1.803462297,NA,0,0.166962734,NA
"manipulation","m.inc.d9","male","y.w.blk",3.4768,0.909620675,2.764239827,1,NA,NA
