"gene","padj","logpadj","lfc","tissue","direction"
"ANKRD10",0.0867296744013898,1.06183228402528,-0.273045497722792,"pituitary","female"
"FYN",0.000339054864846929,3.46973001987267,-0.273559285806598,"pituitary","female"
"LOC422372",0.0730428885129995,1.13642206076877,-0.273708454800394,"pituitary","female"
"GLB1",0.0965680734813411,1.01516643261842,-0.273811441547174,"pituitary","female"
"GLS",0.0586702887530451,1.23158177434468,-0.274401286496781,"pituitary","female"
"NUDCD1",0.00816488614279596,2.08804986700817,-0.274818714839485,"pituitary","female"
"SAMD8",0.00763713476869405,2.11706954555247,-0.275386665076736,"pituitary","female"
"HIAT1",0.0143558127670201,1.84297221450571,-0.275833422098522,"pituitary","female"
"SORL1",0.0386755815683833,1.41256314705223,-0.275888047210222,"pituitary","female"
"LSG1",0.00249095922912061,2.60363338073842,-0.275968475942153,"pituitary","female"
"TMEM33",0.0046741644529196,2.33029601172576,-0.276062465100782,"pituitary","female"
"ELOVL5",0.0203459421862093,1.69152219390128,-0.276087589745472,"pituitary","female"
"POLR3H",0.0999250403572131,1.00032566766719,-0.276677147901862,"pituitary","female"
"HEG1",0.0830506226023063,1.08065710744218,-0.276719152453312,"pituitary","female"
"ANKIB1",5.78244843040195e-05,4.23788823170766,-0.277272854703413,"pituitary","female"
"UBIAD1",0.00229588749970642,2.63904939652395,-0.277679855249596,"pituitary","female"
"ZNF518B",0.0117151766641846,1.93125115788204,-0.277704832617593,"pituitary","female"
"PRIMPOL",0.0271686413150104,1.56593207980617,-0.279562730966521,"pituitary","female"
"TMEM209",0.0151988624677839,1.81818891484807,-0.280049000009628,"pituitary","female"
"FAM105B",0.00570783734197609,2.24352841160658,-0.280544893828317,"pituitary","female"
"PLEKHG1",0.0870604915693626,1.06017888501622,-0.280568255048545,"pituitary","female"
"DERA",0.0667387441042499,1.17562197019735,-0.280688623346414,"pituitary","female"
"IFT80",0.0214285313730336,1.66900759276796,-0.281262315206598,"pituitary","female"
"MLLT1",0.00341631358307805,2.46644227230683,-0.281402174249419,"pituitary","female"
"EIF1",0.0311100519468092,1.50709926371631,-0.281468431577919,"pituitary","female"
"KCTD5",0.00234087789548455,2.63062123931504,-0.281699370936781,"pituitary","female"
"SNAP91",0.0531707878984705,1.27432690415032,-0.282219724942335,"pituitary","female"
"ELP2",0.0558288585072492,1.25314125176753,-0.282301235501039,"pituitary","female"
"DUSP16",0.0516058845109665,1.28730077385863,-0.282495578703647,"pituitary","female"
"TYW1",0.0940759362473475,1.02652145087115,-0.282527925967475,"pituitary","female"
"RP11-561B11.2",0.00914332819191626,2.03889569132472,-0.282694450421915,"pituitary","female"
"RP11-371E8.4",0.0313897275945821,1.5032124531653,-0.282985293388866,"pituitary","female"
"RASSF8",0.0676898299025817,1.16947657723769,-0.283025403681827,"pituitary","female"
"RAB12",0.0213254809142025,1.6711011662083,-0.283159886383035,"pituitary","female"
"CMPK1",0.0395493062043716,1.40286113073156,-0.283262441794245,"pituitary","female"
"MRS2",0.00721893872367544,2.14152664458125,-0.283269571074728,"pituitary","female"
"ZFAND6",0.0135079654995633,1.86941005725845,-0.283571750929517,"pituitary","female"
"LOC107056797",0.0732335593448001,1.13528985748898,-0.283665877187697,"pituitary","female"
"ALG6",0.0638468599627622,1.194860456809,-0.2837904767989,"pituitary","female"
"SYN2",0.0477730645398828,1.32081689876119,-0.284699098708456,"pituitary","female"
"SPG21",0.00538821557002999,2.26855503748474,-0.28484787902588,"pituitary","female"
"NUFIP1",0.0112884206544581,1.94736681529676,-0.285905551876813,"pituitary","female"
"RIN2",0.00463440486293461,2.33400602879854,-0.28614228750329,"pituitary","female"
"FBXO8",0.0325367473660946,1.48762586478459,-0.286164478150648,"pituitary","female"
"NCEH1",0.0797783994171844,1.09811468112793,-0.286373788592643,"pituitary","female"
"AL021546.6",0.0379225473954243,1.42110249721431,-0.286479605311297,"pituitary","female"
"HSD17B12",0.00301715327216941,2.52040262699219,-0.28652346701224,"pituitary","female"
"ZMAT3",0.00237969505230869,2.62347869234889,-0.286869846956591,"pituitary","female"
"GTPBP4",0.00410727076071915,2.38644666651322,-0.287144052634697,"pituitary","female"
"PCMTD2",0.000144309008484503,3.84070655724335,-0.288016807852767,"pituitary","female"
"ABCD2",0.000919489384884485,3.03645328014282,-0.288612346254238,"pituitary","female"
"BEND2",0.00842835719197071,2.07425706736689,-0.288771805898453,"pituitary","female"
"AP2A2",0.00162890045395801,2.78810545566554,-0.289096521882847,"pituitary","female"
"CPPED1",0.0330050060731492,1.4814201829992,-0.28995345004473,"pituitary","female"
"FBRSL1",0.0429688202801608,1.36684656981737,-0.290285107547483,"pituitary","female"
"BDH1",0.0189327200742948,1.72278698622677,-0.290344958382102,"pituitary","female"
"PIGN",0.0271815833803575,1.56572524836427,-0.290394961130892,"pituitary","female"
"FAM8A1",0.0120482582076967,1.91907573362543,-0.290926195033466,"pituitary","female"
"FBXL21",0.00727359970414371,2.13825060362021,-0.292187104917433,"pituitary","female"
"CDKN1B",0.00682769564480337,2.16572584648063,-0.292294542767495,"pituitary","female"
"SZRD1",0.0278715057897201,1.55483956740077,-0.293583772396586,"pituitary","female"
"UBE3C",0.00012219282138217,3.91295430739696,-0.29396422762776,"pituitary","female"
"KLHL36",0.00672726958094571,2.17216116854563,-0.295852629273151,"pituitary","female"
"ZC3H11A",0.000478565366798449,3.3200587339561,-0.295962256718371,"pituitary","female"
"RAP2C",0.00653638238143827,2.18466254930137,-0.296365877104367,"pituitary","female"
"CNTN6",0.00639564134734086,2.19411589846521,-0.296579778076639,"pituitary","female"
"WRB",0.0101678712672054,1.99276996090962,-0.297323813325533,"pituitary","female"
"SLMO1",0.00381731898779652,2.41824154745162,-0.297557038550635,"pituitary","female"
"MOSPD2",0.011989657281196,1.92119323083048,-0.29820041474401,"pituitary","female"
"IQUB",0.0979980741241491,1.00878245905723,-0.298217816469206,"pituitary","female"
"AP1AR",0.00586854496097919,2.23146956378634,-0.29841732475759,"pituitary","female"
"GCC2",0.0112842988003988,1.94752542254802,-0.298999926915032,"pituitary","female"
"N4BP2L1",0.0956983927469769,1.019095356131,-0.299675214005204,"pituitary","female"
"ST5",0.00607541154871063,2.21642429760122,-0.299784198518667,"pituitary","female"
"HECTD2",0.0441210063053462,1.35535459079497,-0.300774290336369,"pituitary","female"
"PDK3",0.000249702061032058,3.60257787298243,-0.301176269568379,"pituitary","female"
"LOC416530",0.0964059081092326,1.0158963501157,-0.301782496293607,"pituitary","female"
"SLC30A7",0.0026457912646609,2.57744442174406,-0.301802747063381,"pituitary","female"
"PIK3IP1",0.0353739191224353,1.45131682147002,-0.301965663965746,"pituitary","female"
"OSGIN2",0.0474262813821236,1.32398092633983,-0.30229535524189,"pituitary","female"
"AGPAT5",0.000847074416411476,3.07207843474933,-0.302346656363792,"pituitary","female"
"MKKS",0.0127013948630075,1.89614858234778,-0.302567440839875,"pituitary","female"
"RAB9A",0.0042537738953437,2.37122559826363,-0.303445041866145,"pituitary","female"
"DEGS1",0.0105270180877584,1.97769463084978,-0.30395561386595,"pituitary","female"
"FUNDC1",0.0179459170473151,1.74603434405058,-0.305040188619147,"pituitary","female"
"TPRN",0.0119317698664427,1.92329513166749,-0.305146911596449,"pituitary","female"
"CCNC",0.00781770535587361,2.10692070186611,-0.305314835330019,"pituitary","female"
"CCDC85C",0.0568802588654567,1.24503843577366,-0.305353934154704,"pituitary","female"
"BHLHA15",0.0104722423142734,1.97996031732301,-0.306487529965511,"pituitary","female"
"SPRYD7",0.0181234370692756,1.7417594358718,-0.307751062222565,"pituitary","female"
"SMAP1",0.0735334223275391,1.13351522100802,-0.308274015008295,"pituitary","female"
"C2H7ORF36",0.0718524833842312,1.14355821707144,-0.30886891319238,"pituitary","female"
"C16ORF72",6.74045546405447e-06,5.17131075645542,-0.308920799015266,"pituitary","female"
"HZGJ",0.00496981237836037,2.30366000655456,-0.309864092784877,"pituitary","female"
"GRIK4",0.0425554519715358,1.37104479258351,-0.310906994211255,"pituitary","female"
"FAM35A",0.036181694017087,1.4415111034505,-0.311116936239308,"pituitary","female"
"POR",0.0246685037823393,1.60785719095532,-0.311963602025435,"pituitary","female"
"COTL1",0.0172384799120656,1.7635010328795,-0.312643301141805,"pituitary","female"
"GLMN",0.0315988126673855,1.50032923578952,-0.312912449587241,"pituitary","female"
"CHCHD7",0.0378331528871675,1.42212746456394,-0.312922357044563,"pituitary","female"
"RPS15",0.0639175897544395,1.19437961004079,-0.31384972868077,"pituitary","female"
"UFM1",0.0458881229996397,1.33829970625327,-0.313997479187693,"pituitary","female"
"ADCK2",0.0195138337396182,1.70965739957534,-0.314262593783472,"pituitary","female"
"FAM204A",0.0780202468661864,1.10779267985795,-0.315392616912213,"pituitary","female"
"TRAPPC6B",0.0395493062043716,1.40286113073156,-0.315596010839674,"pituitary","female"
"COL4A5",0.00770576653005782,2.11318415341328,-0.31594705875138,"pituitary","female"
"COPS8",0.0134910475773907,1.86995432613121,-0.316316787167453,"pituitary","female"
"EVL",0.0616614054862473,1.20998658035611,-0.316492074526742,"pituitary","female"
"UBL3",0.00486019608311266,2.31334620890726,-0.316504028667335,"pituitary","female"
"POT1",0.0251065606695447,1.60021277691443,-0.318143437513817,"pituitary","female"
"TBC1D8B",0.0676916480993662,1.16946491193691,-0.318682894579466,"pituitary","female"
"SAYSD1",0.00750702454217062,2.12453216432386,-0.319361468665854,"pituitary","female"
"ENDOG",0.0677587568580658,1.1690345704258,-0.31951366316052,"pituitary","female"
"PRCP",0.00266795210303058,2.57382197144823,-0.319876437642382,"pituitary","female"
"DAPK2",0.00438240701018207,2.3582872903838,-0.320108834791646,"pituitary","female"
"NEDD1",0.0425554519715358,1.37104479258351,-0.320215662754591,"pituitary","female"
"PREPL",0.0256080529400483,1.59162344103719,-0.32025612194584,"pituitary","female"
"SEPT6",5.12268274012297e-05,4.29050254017685,-0.320330752583334,"pituitary","female"
"MAGI2",0.0265593197400627,1.57578305268205,-0.320588486431157,"pituitary","female"
"CAMTA1",0.000372637742288293,3.42871316007471,-0.320633875083374,"pituitary","female"
"METTL9",0.0222037337865753,1.65357398831705,-0.320987325435718,"pituitary","female"
"NSMCE2",0.0461721485391773,1.33561991585392,-0.321431300239031,"pituitary","female"
"PHACTR2",0.0341091829451165,1.46712868360278,-0.321512218128871,"pituitary","female"
"NOC3L",0.00161844758857231,2.79090136012448,-0.321600152413632,"pituitary","female"
"KIF1A",0.00638410564881877,2.19489993457723,-0.321703704465695,"pituitary","female"
"CHKA",0.0105009699393662,1.97877058475295,-0.321751653014396,"pituitary","female"
"FIG4",0.000316428907494519,3.49972384820886,-0.322028932766002,"pituitary","female"
"SMAD2",0.00058304795165899,3.23429572605657,-0.322061641402805,"pituitary","female"
"ECHDC1",0.0748949120750806,1.12554768474073,-0.322100182891764,"pituitary","female"
"LOC771734",0.0575628933531727,1.23985738471916,-0.322869628231902,"pituitary","female"
"CMAS",0.00319761486018896,2.49517384645827,-0.322885262713938,"pituitary","female"
"OSTM1",0.000408405026724594,3.38890892117544,-0.322893710069708,"pituitary","female"
"DNAJB9",0.0519255189453797,1.28461915441754,-0.323824931539243,"pituitary","female"
"RP11-20I23.1",0.00594104575788026,2.22613710267829,-0.324013017441857,"pituitary","female"
"SLC25A20",0.00177049196452832,2.75190603996994,-0.325041206732003,"pituitary","female"
"CAMLG",0.00047886767380332,3.31978447922945,-0.325100326850308,"pituitary","female"
"MMGT1",6.88014478192305e-06,5.16240242261788,-0.325166950704578,"pituitary","female"
"MMS22L",0.0235972162748767,1.62713922702001,-0.325738476107046,"pituitary","female"
"TMEM242",0.00405244194531836,2.39228319807315,-0.326198229594391,"pituitary","female"
"ANKRD46",0.00822143548513182,2.08505234683431,-0.326631094619392,"pituitary","female"
"EPDR1",0.00888207420019255,2.05148560308313,-0.326899467264598,"pituitary","female"
"KLHL7",0.0137114052078943,1.86291803443284,-0.327122274316491,"pituitary","female"
"LOC395647",0.0574106921200004,1.24100721742283,-0.327191724102651,"pituitary","female"
"MED9",0.0212184585384262,1.67328616956624,-0.327434725163231,"pituitary","female"
