"study","treatment","sex","bird_id","hormone","plasma_conc"
"manipulation","extend","male","l.s.o.blk","prolactin",45.07
"characterization","n9","male","x.blu23.w14","prolactin",45.02
"characterization","n9","female","y97.x","prolactin",44.81
"manipulation","prolong","female","x.g50","prolactin",44.23
"characterization","n9","female","x.y138.w176","prolactin",43.35
"characterization","n5","female","x.g37","prolactin",42.89
"characterization","n5","female","x.blu109.w121","prolactin",42.67
"characterization","n9","male","blu81.r88","prolactin",42.55
"characterization","hatch","female","blu103.x","prolactin",42.47
"characterization","n5","male","blk12.x","prolactin",42.45
"characterization","inc.d17","male","y133.w77.r58","prolactin",42.12
"manipulation","m.inc.d9","female","o36.r62.x","prolactin",39.83
"manipulation","m.inc.d8","female","s002.x","prolactin",39.3
"characterization","n5","female","y94.g133.x","prolactin",39.07
"characterization","inc.d17","female","o35.r51.x","prolactin",38.03
"manipulation","m.inc.d9","female","o45.g128.x","prolactin",36.79
"manipulation","m.n2","male","x.blk23","prolactin",36.24
"manipulation","m.inc.d8","female","x.y5","prolactin",35.96
"characterization","inc.d9","male","x.blu106.o153","prolactin",35.69
"manipulation","extend","male","x.blu69","prolactin",35.15
"characterization","inc.d9","female","y140.w119.x","prolactin",35.13
"manipulation","m.inc.d9","male","x.o117","prolactin",34.39
"characterization","inc.d9","female","x.g9.o166","prolactin",33.86
"characterization","inc.d17","male","x.g14.w199","prolactin",33.64
"characterization","inc.d9","male","o57.g59","prolactin",32.44
"manipulation","m.inc.d17","male","y148.w81.g145","prolactin",31.81
"characterization","lay","male","o.s.w.r","prolactin",31.76
"characterization","n9","female","x.blu43.g132","prolactin",31.37
"characterization","n9","male","y131.w185.x","prolactin",30.91
"manipulation","prolong","male","pk.s.d.g","prolactin",30.85
"characterization","inc.d9","female","blu47.y96.x","prolactin",30.29
"characterization","bldg","female","r83.g45","prolactin",29.8
"characterization","inc.d9","female","y128.g23.x","prolactin",29.57
"characterization","inc.d3","female","o173.w179.x","prolactin",29.28
"characterization","hatch","male","g114.w83.x","prolactin",29.05
"characterization","inc.d9","female","o73.x","prolactin",28.94
"characterization","inc.d3","male","g20.w106.x","prolactin",28.93
"manipulation","m.n2","male","x.o4","prolactin",28.88
"characterization","n5","male","blu37.r65.x","prolactin",27.69
"characterization","inc.d3","female","g6.w197.x","prolactin",27.51
"manipulation","m.inc.d8","female","x.g26","prolactin",27.47
"characterization","inc.d9","female","x.blu101.w43","prolactin",27.25
"characterization","inc.d9","male","o49.x","prolactin",27.21
"characterization","inc.d3","female","o156.w80.x","prolactin",26.29
"characterization","inc.d3","male","blu111.w113.x","prolactin",25.57
"manipulation","m.inc.d17","female","x.blu94","prolactin",25.37
"characterization","lay","male","r190.o43.x","prolactin",24.22
"manipulation","m.n2","female","l.s.w.d","prolactin",23.31
"characterization","n9","male","y129.x","prolactin",21.62
"manipulation","m.inc.d3","female","blu56.o53","prolactin",21.31
"manipulation","m.n2","female","x.r74.o29","prolactin",21.04
"characterization","inc.d3","female","x.r33.w183","prolactin",20.73
"manipulation","m.inc.d8","female","blu80.r97","prolactin",20.54
"characterization","bldg","female","blu38.g135.x","prolactin",20.37
"characterization","n9","female","x.w6","prolactin",19.98
"characterization","inc.d17","male","r176.blu54","prolactin",19.94
"characterization","inc.d9","male","x.o47.y82","prolactin",19.91
"manipulation","m.inc.d9","female","y12.x","prolactin",19.86
"manipulation","m.inc.d8","male","r4.x","prolactin",19.8
"manipulation","m.inc.d8","female","blu119.w84.x","prolactin",19.66
"characterization","inc.d17","female","o52.blu53","prolactin",19.03
"characterization","inc.d9","female","x.blu122.r66","prolactin",18.08
"characterization","inc.d9","female","r30.w112.r46","prolactin",17.55
"manipulation","m.inc.d3","female","x.r180","prolactin",17.15
"characterization","inc.d9","female","x.y109","prolactin",16.8
"characterization","inc.d3","female","r73.g127.x","prolactin",16.75
"characterization","inc.d17","male","g143.blu32.x","prolactin",16.67
"manipulation","m.inc.d17","male","x.o40.r70","prolactin",16.62
"characterization","n5","female","y6.o54","prolactin",16.46
"characterization","n9","female","r95.blu99","prolactin",16.24
"characterization","inc.d3","male","y98.o50.x","prolactin",15.56
"characterization","inc.d9","male","x.y141.w116","prolactin",15.29
"manipulation","m.n2","female","blk0.x","prolactin",15.26
"manipulation","m.inc.d17","male","o59.blu64","prolactin",15.22
"characterization","inc.d9","male","x.g13.w109","prolactin",14.97
"characterization","inc.d17","male","x.r29.w96","prolactin",14.95
"characterization","inc.d3","male","x.blu42.o28","prolactin",14.85
"manipulation","m.n2","female","y98.g54","prolactin",14.79
