"","gene","direction.x","direction.y"
"536","EFHD2","female",NA
"537","EFNA5","male",NA
"538","EGFL6","female",NA
"539","EGFL7","female","lo"
"540","EGFLAM","male","lo"
"541","EHD3","female",NA
"542","EIF3D","female","hi"
"543","EIF4G2","male","hi"
"544","EIF5","female","hi"
"545","ELMO3","female",NA
"546","ELMOD1","female",NA
"547","ELN","male",NA
"548","ELOVL1","female",NA
"549","ELOVL7","male",NA
"550","EMB","male","hi"
"551","EMCN","female",NA
"552","EMID1","female",NA
"553","EMILIN3","male",NA
"554","EMP2","male","lo"
"555","EMX2","male","lo"
"556","ENAH","female","hi"
"557","ENO2","female","hi"
"558","ENOPH1","female",NA
"559","ENPP2","male",NA
"560","ENPP4","male",NA
"561","ENS-3","female",NA
"562","ENTPD4","male","hi"
"563","EPAS1","female",NA
"564","EPB41L4A","male",NA
"565","EPG5","male",NA
"566","EPHA4","male",NA
"567","EPHB1","female",NA
"568","EPHB2","female",NA
"569","EPHX4","female","hi"
"570","EPS15","male",NA
"571","ERAP1","male",NA
"572","ERBB2IP","male","lo"
"573","ERC2","male",NA
"574","ERCC6L2","male",NA
"575","ERCC8","male",NA
"576","ERICH5","male",NA
"577","ERLIN2","female",NA
"578","ERMN","male",NA
"579","ERMP1","male",NA
"580","ESAM","female","lo"
"581","ESM1","male","lo"
"582","ESRP1","female","hi"
"583","ETFA","female","hi"
"584","ETNPPL","male",NA
"585","ETS1","female","lo"
"586","ETV5","female",NA
"587","EVL","female",NA
"588","EXOC5","male",NA
"589","EXOSC10","female",NA
"590","EXPH5","female",NA
"591","EXT2","female","hi"
"592","F10","male","lo"
"593","F2R","male",NA
"594","F2RL2","male",NA
"595","F8","female",NA
"596","FAAH","female",NA
"597","FABP5","male",NA
"598","FADS2","female",NA
"599","FADS6","female","lo"
"600","FAM101A","male","lo"
"601","FAM102A","female",NA
"602","FAM102B","male",NA
"603","FAM103A1","male",NA
"604","FAM104A","female",NA
"605","FAM105A","male","lo"
"606","FAM107B","male","lo"
"607","FAM110C","male","lo"
"608","FAM114A1","female","hi"
"609","FAM120A","female",NA
"610","FAM122A","male","hi"
"611","FAM131B","male",NA
"612","FAM132A","female",NA
"613","FAM13B","male",NA
"614","FAM161B","male",NA
"615","FAM169A","male",NA
"616","FAM172A","male","hi"
"617","FAM174A","male",NA
"618","FAM174B","male","lo"
"619","FAM181A","male","lo"
"620","FAM181B","female",NA
"621","FAM195A","female",NA
"622","FAM198B","male",NA
"623","FAM20A","male",NA
"624","FAM210B","male",NA
"625","FAM38A","female",NA
"626","FAM43A","female","lo"
"627","FAM63B","male",NA
"628","FAM84B","female",NA
"629","FAM89A","male",NA
"630","FAN1","female","hi"
"631","FANCC","male",NA
"632","FARP1","female","lo"
"633","FAXC","male","hi"
"634","FAXDC2","female",NA
"635","FBLN1","male","lo"
