"","group","results","genes","n"
"11","FH","hatch_m.n2(-); inc.d17_m.inc.d17(-)","ADPRHL1; C7ORF72; CALB2; CBLN2; CRYGS; FOXA1; GBX2; GPR17; HAPLN2; HAPLN4; IRX3; IRX5; LHCGR; LOC101751638; LOC107050548; LOC107054855; NIPAL4; NR5A1; OTX2; PAPPA; PMCH; RBPMS2; SHOX; SOX14; TNNC1",25
"12","MH","hatch_m.n2(+); inc.d17_m.inc.d17(+)","AKAP5; BET3L; BRS3; CCDC60; ESRP2; FGF3; IAPP; LOC100858306; LOC101748456; LOC420300; LOC422929; PDE1A; PI15; PPP1R1B; PRSS56; SATB2; SLC7A9; TMED11; TMEM61",19
"13","MH","hatch_m.n2(-); inc.d17_m.inc.d17(-)","CALCA; CLIC6; CRYBB2; DIO3; FSHB; FXYD2; IRX3; NPVF; OTX2; RBPMS2; RLN1; SHOX; SHOX2; SLCO1C1; STEAP1; TF; TMEM27",17
"14","MP","early_inc.d9(+); hatch_early(-)","ANXA5; ATP2B4; C10H15ORF60; KYNU; LOC101747531; LOC101748559; LOC107055658; MOV10L1; RHCG; SLC12A4; TECRL; TRIM55; UNKL",13
"15","MH","hatch_prolong(-); inc.d17_prolong(-)","APOBEC2; CALCA; FXYD2; GBX2; HCRT; LOC101750514; LOC107054855; NPVF; NR5A1; PITX2; RBPMS2; SHOX2; TREM-B2",13
"16","FG","hatch_prolong(-); inc.d17_prolong(-)","C11ORF34; C23H1ORF63; CDCA2; DPP9; HSP25; IFI6; LOC772158; NOXO1; RPL29; SLC12A4; SPTSSB",11
"17","FH","hatch_m.n2(-); inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-)","APOBEC2; CALCA; DIO3; FXYD2; IRX2; LHX9; NPVF; PITX2; SHOX2; TCF7L2",10
"18","FP","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d9_m.inc.d9(+)","ABCA4; ALK; ASPA; CYTH4; GREB1; LPAR1; SHH; TH; TMEM114",9
"19","MP","hatch_m.n2(-); inc.d17_m.inc.d17(-)","AGR2; C17ORF89; CDC45; CENPK; F13A1; MFSD2A; POU3F3",7
"20","FP","hatch_m.n2(-); inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-)","ANGPTL4; DLK1; ECEL1; LOC100859314; NHP2; SLC12A4",6
"21","MH","early_inc.d9(-); hatch_early(+)","IGJ; IGLL1; LOC420300; PPP1R1B; SATB2; SH3RF2",6
"22","FG","hatch_m.n2(+); inc.d17_m.inc.d17(+)","B4GALNT4; GMNC; LOC101749287; PPAT; PSD2",5
"23","MP","hatch_m.n2(+); inc.d3_m.inc.d3(+)","ALK; ASIC4; LOC429032; LPAR1; TRPV6",5
"24","FH","inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","ANXA5; ATP2B4; LOC100857380; LOC107055658",4
"25","FP","inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-)","CAMKV; LOC420160; OSTN; SLC25A34",4
"26","MP","hatch_m.n2(+); inc.d9_m.inc.d9(+)","CNTN2; GRIN1; NPDC1; PTHLH",4
"27","FP","hatch_prolong(+); inc.d17_prolong(+)","FAP; MYH1C; NEB; RELN",4
"28","MG","hatch_prolong(-); inc.d17_prolong(-)","ISX; LOC420992; MSANTD1; YJEFN3",4
"29","FG","hatch_m.n2(-); inc.d17_m.inc.d17(-)","CCL20; LOC417459; OLFM4",3
"30","FH","hatch_m.n2(-); inc.d17_m.inc.d17(-); inc.d9_m.inc.d9(+)","GDPD2; PAX7; RLN1",3
"31","FH","hatch_m.n2(-); inc.d3_m.inc.d3(-)","ALDH1A1; GRASP; INCENP",3
"32","FH","hatch_m.n2(-); inc.d9_m.inc.d9(+)","BAIAP2L2; PDE6H; RGR",3
"33","FH","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","EGR1; LOC107049603; LOC420300",3
"34","FP","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","CNTFR; LGALS1; SEBOX",3
"35","FP","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+); inc.d9_m.inc.d9(+)","SARM1; SSTR3; VTN",3
"36","FP","hatch_m.n2(+); inc.d3_m.inc.d3(-)","CARTPT; CCK; OTOF",3
"37","MP","hatch_m.n2(-); inc.d9_m.inc.d9(+)","LOC101748788; PHGDH; SLC13A3",3
"38","FP","early_inc.d9(+); hatch_early(-)","ANXA5; AVD; SLC9A3",3
"39","FG","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","NRG2; PI15",2
"40","FP","hatch_m.n2(-); inc.d17_m.inc.d17(-); inc.d9_m.inc.d9(-)","FAM132A; PDK4",2
"41","FP","hatch_m.n2(-); inc.d3_m.inc.d3(-)","C17ORF89; KIAA1614",2
"42","FP","hatch_m.n2(+); inc.d3_m.inc.d3(+)","AQP2; TRPV3",2
"43","FP","hatch_m.n2(+); inc.d9_m.inc.d9(+)","CDKN1A; CEBPA",2
"44","MH","hatch_m.n2(-); inc.d17_m.inc.d17(+)","MYOZ1; TPH1",2
"45","MP","hatch_m.n2(+); inc.d17_m.inc.d17(+)","CAPN13; LOC107051128",2
"46","MP","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d9_m.inc.d9(+)","ABCA4; NETO2",2
"47","FP","early_inc.d9(-); hatch_early(+)","NINJ2; PDE6H",2
"48","MH","hatch_prolong(+); inc.d17_prolong(+)","ESRP2; LOC422929",2
"49","FG","hatch_m.n2(-); inc.d3_m.inc.d3(-)","TCERG1L",1
"50","FG","hatch_m.n2(-); inc.d9_m.inc.d9(-)","TNFSF10",1
"51","FG","hatch_m.n2(+); inc.d3_m.inc.d3(+)","LOC107053414",1
"52","FG","hatch_m.n2(+); inc.d9_m.inc.d9(+)","PHGDH",1
"53","FG","inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-)","MGP",1
"54","FG","inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(-); inc.d9_m.inc.d9(+)","COL10A1",1
"55","FG","inc.d17_m.inc.d17(+); inc.d3_m.inc.d3(+)","MYO7A",1
"56","FH","hatch_m.n2(-); inc.d17_m.inc.d17(+)","OASL",1
"57","FH","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d9_m.inc.d9(+)","LOC772158",1
"58","FH","hatch_m.n2(+); inc.d3_m.inc.d3(+)","HSP25",1
"59","FP","hatch_m.n2(-); inc.d17_m.inc.d17(+)","IFI6",1
"60","FP","hatch_m.n2(-); inc.d9_m.inc.d9(-)","APCDD1L",1
"61","FP","hatch_m.n2(+); inc.d3_m.inc.d3(-); inc.d9_m.inc.d9(+)","VIP",1
"62","FP","hatch_m.n2(+); inc.d3_m.inc.d3(+); inc.d9_m.inc.d9(+)","KIF12",1
"63","FP","inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-); inc.d9_m.inc.d9(+)","PHGDH",1
"64","FP","inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(+)","SPP1",1
"65","MH","hatch_m.n2(+); inc.d17_m.inc.d17(-)","RAB6A",1
"66","MP","hatch_m.n2(+); inc.d17_m.inc.d17(-)","AGT",1
"67","MP","hatch_m.n2(+); inc.d17_m.inc.d17(-); inc.d9_m.inc.d9(+)","SLC6A11",1
"68","MP","hatch_m.n2(+); inc.d3_m.inc.d3(+); inc.d9_m.inc.d9(+)","KRT14",1
"69","FP","hatch_prolong(-); inc.d17_prolong(-)","MLN",1
