"bird_id","sex","tissue","treatment","gene","counts"
"r190.o43.x","male","hypothalamus","lay","PRL",10.267766337657
"r195.x","male","hypothalamus","n9","PRL",11.2319383094781
"r37.w100.x","male","hypothalamus","n9","PRL",10.4170675417577
"r41.w99.x","male","hypothalamus","hatch","PRL",10.4168763191064
"r45.x","male","hypothalamus","inc.d9","PRL",10.4153941368346
"r72.y83.x","male","hypothalamus","hatch","PRL",10.8285475556641
"s.pu148.blk.r","male","hypothalamus","bldg","PRL",10.3975811769812
"s065.l.d.o","male","hypothalamus","bldg","PRL",10.3059571445871
"s066.l.d.r","male","hypothalamus","bldg","PRL",10.1406617401954
"s150.w.g.blk","male","hypothalamus","lay","PRL",10.1488493571509
"s187.l.o.r","male","hypothalamus","n9","PRL",10.3363645162861
"s243.blk.pk.r","male","hypothalamus","lay","PRL",10.5805768702113
"w34.x","male","hypothalamus","inc.d9","PRL",10.161477636278
"x.blk.blk.ATLAS","male","hypothalamus","control","PRL",11.5128527778353
"x.blk16","male","hypothalamus","n9","PRL",11.4217815951048
"x.blu106.o153","male","hypothalamus","inc.d9","PRL",10.3662019269574
"x.blu117.w89","male","hypothalamus","inc.d17","PRL",11.4515018287862
"x.blu23.w14","male","hypothalamus","n9","PRL",11.0028491053409
"x.blu30","male","hypothalamus","n5","PRL",10.7276969571045
"x.blu42.o28","male","hypothalamus","inc.d3","PRL",10.6872417612396
"x.g.ATLAS","male","hypothalamus","control","PRL",11.8570141997213
"x.g.g.ATLAS","male","hypothalamus","control","PRL",10.0014457216599
"x.g13.w109","male","hypothalamus","inc.d9","PRL",10.4200976353532
"x.g14.w199","male","hypothalamus","inc.d17","PRL",11.6302386806467
"x.g147.blu28","male","hypothalamus","inc.d3","PRL",10.1341078487452
"x.g70","male","hypothalamus","hatch","PRL",10.8202621515601
"x.o160.w102","male","hypothalamus","hatch","PRL",10.753263874089
"x.o163.w101","male","hypothalamus","inc.d3","PRL",10.4954549097919
"x.o164.w123","male","hypothalamus","n5","PRL",10.577810033948
"x.o2","male","hypothalamus","n9","PRL",10.3267502049944
"x.o30.g134","male","hypothalamus","bldg","PRL",11.7520005458286
"x.o47.y82","male","hypothalamus","inc.d9","PRL",10.369231708018
"x.o68","male","hypothalamus","n5","PRL",10.5334712940912
"x.r178","male","hypothalamus","hatch","PRL",11.1550263581521
"x.r181","male","hypothalamus","n5","PRL",10.4003568752024
"x.r29.w96","male","hypothalamus","inc.d17","PRL",10.0739937580735
"x.r64.g140","male","hypothalamus","inc.d3","PRL",10.2942016844635
"x.r67.blu35","male","hypothalamus","bldg","PRL",10.7912596875712
"x.w192.o157","male","hypothalamus","inc.d9","PRL",10.4144480348269
"x.y132.w76","male","hypothalamus","inc.d17","PRL",11.374473961204
"x.y141.w116","male","hypothalamus","inc.d9","PRL",10.5690419205168
"y129.x","male","hypothalamus","n9","PRL",10.567721756029
"y131.w185.x","male","hypothalamus","n9","PRL",10.5120409573719
"y133.w77.r58","male","hypothalamus","inc.d17","PRL",10.5498940083631
"y149.r52.x","male","hypothalamus","inc.d3","PRL",10.3484936513282
"y95.g131.x","male","hypothalamus","inc.d9","PRL",10.4008111306968
"y98.o50.x","male","hypothalamus","inc.d3","PRL",10.7609684649006
"L.G118","female","pituitary","control","PRL",17.8828576631502
"R.G106","female","pituitary","control","PRL",16.9790018536956
"R.R20","female","pituitary","control","PRL",18.5871209213237
"R.R9","female","pituitary","control","PRL",16.8225084966783
"R.W44","female","pituitary","control","PRL",18.6443262955216
"blk.s061.pu.y","female","pituitary","inc.d9","PRL",17.565865566041
"blk11.x","female","pituitary","bldg","PRL",17.6302721494152
"blk21.x","female","pituitary","hatch","PRL",20.4469260825072
"blk4.x","female","pituitary","n9","PRL",19.247349422299
"blu.o.x.ATLAS","female","pituitary","control","PRL",20.9267483628017
"blu103.x","female","pituitary","hatch","PRL",19.9862061819029
"blu124.w180.x","female","pituitary","hatch","PRL",20.728132379827
"blu36.w16","female","pituitary","n9","PRL",18.7459315607778
"blu38.g135.x","female","pituitary","bldg","PRL",16.9626053735117
"blu39.o26.x","female","pituitary","inc.d3","PRL",17.5505470020369
"blu47.y96.x","female","pituitary","inc.d9","PRL",17.7683563826303
"blu55.g51","female","pituitary","n5","PRL",20.0215108751244
"g.blk.s004.pk","female","pituitary","lay","PRL",17.2400103610226
"g.s078.blk.o","female","pituitary","lay","PRL",16.5337910277895
"g141.blu27.x","female","pituitary","bldg","PRL",16.3842271520771
"g142.r40.x","female","pituitary","inc.d17","PRL",20.1353491877989
"g6.w197.x","female","pituitary","inc.d3","PRL",18.0590503861533
"g75.x","female","pituitary","inc.d9","PRL",17.3004888635862
"l.s120.y.blk","female","pituitary","bldg","PRL",15.9636788640734
"o156.w80.x","female","pituitary","inc.d3","PRL",17.6947752928313
"o165.w122.x","female","pituitary","inc.d3","PRL",17.4920456557359
"o172.w115.x","female","pituitary","hatch","PRL",20.9653978745625
"o173.w179.x","female","pituitary","inc.d3","PRL",17.91663624163
"o35.r51.x","female","pituitary","inc.d17","PRL",19.4467128809698
"o38.blu29.x","female","pituitary","bldg","PRL",17.2744036698908
"o52.blu53","female","pituitary","inc.d17","PRL",20.2266194779997
"o73.x","female","pituitary","inc.d9","PRL",17.8824118661208
"r.r.x.ATLAS.R2XR","female","pituitary","control","PRL",18.8232588542825
"r.r.x.ATLAS","female","pituitary","control","PRL",19.0431018375551
"r.s056.g.o","female","pituitary","bldg","PRL",17.3293134639672
"r.s171.l.w","female","pituitary","n9","PRL",19.2675243280022
"r183.o22","female","pituitary","hatch","PRL",19.8581583644632
"r27.w111.blu125","female","pituitary","inc.d3","PRL",17.555540823509
"r30.w112.r46","female","pituitary","inc.d9","PRL",17.4892066738391
"r36.w184.x","female","pituitary","inc.d9","PRL",18.2855547538204
"r49.w189.x","female","pituitary","inc.d17","PRL",20.2822336872418
"r6.x","female","pituitary","control","PRL",16.3905593955199
"r73.g127.x","female","pituitary","inc.d3","PRL",17.3594622868085
"r83.g45","female","pituitary","bldg","PRL",17.3402219280173
"r95.blu99","female","pituitary","n9","PRL",19.3033907756036
"s.o.pk","female","pituitary","lay","PRL",17.6193164883428
"s.x.ATLAS","female","pituitary","control","PRL",19.2709872040045
"s063.d.blk.l","female","pituitary","bldg","PRL",14.9762199288289
"s092.blk.r.o","female","pituitary","bldg","PRL",16.3227155827984
"s095.g.blk.o","female","pituitary","lay","PRL",16.7732040480007
"s136.d.w.o","female","pituitary","lay","PRL",17.8555224216301
"s142.o.pk.pu","female","pituitary","lay","PRL",17.5142894147263
"s176.blk.pu.r","female","pituitary","lay","PRL",16.9174455940862
"w191.r1","female","pituitary","control","PRL",16.4679231831628
"x.blu101.w43","female","pituitary","inc.d9","PRL",17.8458191227486
"x.blu102.w105","female","pituitary","inc.d3","PRL",18.4179384587336
"x.blu109.w121","female","pituitary","n5","PRL",19.3098116606192
"x.blu116.w107","female","pituitary","inc.d17","PRL",20.6580997332999
"x.blu122.r66","female","pituitary","inc.d9","PRL",17.2463730264818
"x.blu43.g132","female","pituitary","n9","PRL",16.9779703687855
"x.blu6.y80","female","pituitary","lay","PRL",14.8080600545577
"x.g37","female","pituitary","n5","PRL",19.6293750244177
"x.g4.w50","female","pituitary","n9","PRL",17.8503571993927
"x.g43","female","pituitary","n5","PRL",20.1024039196271
"x.g49","female","pituitary","n5","PRL",19.3306196827528
"x.g9.o166","female","pituitary","inc.d9","PRL",18.6872351453851
"x.o159.w90","female","pituitary","inc.d17","PRL",20.3078004165106
"x.o175.g21","female","pituitary","n5","PRL",18.521667776092
"x.o37.blu50","female","pituitary","hatch","PRL",20.8463954728367
"x.o70","female","pituitary","n5","PRL",19.4765511163945
"x.r33.w183","female","pituitary","inc.d3","PRL",17.6809769608344
"x.r39.g10","female","pituitary","bldg","PRL",16.5896068040154
"x.r44.w95","female","pituitary","hatch","PRL",20.8667879172975
"x.r48.y139","female","pituitary","inc.d17","PRL",20.841511312397
"x.r50.w97","female","pituitary","n5","PRL",18.7511291046108
"x.w178","female","pituitary","n9","PRL",19.3865066370535
"x.w51","female","pituitary","lay","PRL",17.8105029684455
"x.w6","female","pituitary","n9","PRL",18.1551681836784
"x.y109","female","pituitary","inc.d9","PRL",17.8419307234064
"x.y138.w176","female","pituitary","n9","PRL",19.2470980638949
"x.y90","female","pituitary","hatch","PRL",20.5456008566862
"x.y93.g126","female","pituitary","inc.d9","PRL",17.354407442955
"x.y9","female","pituitary","n9","PRL",18.8364149799127
"y.s156.o.r","female","pituitary","lay","PRL",17.3133633525954
"y126.w92.x","female","pituitary","inc.d17","PRL",20.5191624159767
"y128.g23.x","female","pituitary","inc.d9","PRL",17.1718628338307
"y13.x","female","pituitary","inc.d3","PRL",16.411138274113
"y130.o170.x","female","pituitary","inc.d17","PRL",20.2718368920926
"y135.blu107.x","female","pituitary","inc.d17","PRL",20.8926787026092
"y136.x","female","pituitary","inc.d17","PRL",17.9789327765779
"y140.w119.x","female","pituitary","inc.d9","PRL",17.7839945291
"y15.x","female","pituitary","hatch","PRL",20.1089483808598
"y6.o54","female","pituitary","n5","PRL",19.6093141301575
"y7.g58","female","pituitary","hatch","PRL",20.5989701608278
"y94.g133.x","female","pituitary","n5","PRL",20.0386439469864
"y97.x","female","pituitary","n9","PRL",18.7785024490861
"L.Blu13","male","pituitary","control","PRL",16.7813835821392
"L.G107","male","pituitary","control","PRL",17.894926572136
"L.R3","male","pituitary","control","PRL",16.5335860895703
"L.R8","male","pituitary","control","PRL",17.3298225988614
"L.W33","male","pituitary","control","PRL",19.9566576791416
"L.W3","male","pituitary","control","PRL",17.6709391447325
"L.W4","male","pituitary","control","PRL",17.0262918871149
"R.Y108.W29","male","pituitary","control","PRL",17.8183996954253
"blk12.x","male","pituitary","n5","PRL",20.2331016331981
"blk17.x","male","pituitary","inc.d17","PRL",20.164344537478
"blu104.w120.x","male","pituitary","hatch","PRL",21.2491046470018
"blu108.w40.o158","male","pituitary","inc.d9","PRL",17.1078278469698
"blu111.w113.x","male","pituitary","inc.d3","PRL",14.582220873474
"blu113.w124.x","male","pituitary","inc.d17","PRL",20.2547042293478
"blu114.r38.w198","male","pituitary","bldg","PRL",16.5224270930351
"blu121.w91.x","male","pituitary","inc.d17","PRL",20.5444695823647
"blu33.y88.x","male","pituitary","bldg","PRL",17.2155380778994
"blu37.r65.x","male","pituitary","n5","PRL",20.070209378964
"blu41.y100.x","male","pituitary","n5","PRL",20.1536289488945
"blu81.r88","male","pituitary","n9","PRL",19.6502799476899
"d.s008.y.blk","male","pituitary","n5","PRL",20.0266888492058
"d.s047.blk.o","male","pituitary","n5","PRL",19.7303062959611
"g.s.blk.d","male","pituitary","n9","PRL",19.0351128903554
"g.s.blk.y","male","pituitary","lay","PRL",17.6100521161368
"g.s043.pu.blk","male","pituitary","lay","PRL",17.4110217396356
"g104.w82.x","male","pituitary","bldg","PRL",16.4535926560031
"g114.w83.x","male","pituitary","hatch","PRL",19.2290185545322
"g130.y81.x","male","pituitary","inc.d17","PRL",20.1569097749712
"g143.blu32.x","male","pituitary","inc.d17","PRL",17.3293170087125
"g146.blu51","male","pituitary","inc.d3","PRL",16.7212886145765
"g20.w106.x","male","pituitary","inc.d3","PRL",17.7458713174783
"g52.blu58","male","pituitary","bldg","PRL",16.9479613533343
"g53.y84","male","pituitary","hatch","PRL",20.4607589042926
"o.s.w.r","male","pituitary","lay","PRL",17.6344590536052
"o152.o120.w42","male","pituitary","n5","PRL",19.5954423648706
"o39.y77.x","male","pituitary","hatch","PRL",20.431351154743
"o44.blu26.x","male","pituitary","hatch","PRL",20.2988375029762
"o48.r197.x","male","pituitary","inc.d3","PRL",17.5123177182912
"o49.x","male","pituitary","inc.d9","PRL",18.2251884935745
"o57.g59","male","pituitary","inc.d9","PRL",18.0035039621068
"pk.s238.blk.w","male","pituitary","lay","PRL",17.4505002622885
