"","sex","tissue","treatment","gene","samples","counts"
"220","female","pituitary","hatch","AGR2","o172.w115.x_female_pituitary_hatch.NYNO",10.4631864049164
"221","female","pituitary","inc.d3","AGR2","o173.w179.x_female_pituitary_inc.d3",8.67667213295209
"222","female","pituitary","inc.d17","AGR2","o35.r51.x_female_pituitary_inc.d17",8.53187035592075
"223","female","pituitary","m.inc.d9","AGR2","o36.r62.x_female_pituitary_m.inc.d9",8.66141715811758
"224","female","pituitary","bldg","AGR2","o38.blu29.x_female_pituitary_bldg",7.70632234411745
"225","female","pituitary","m.inc.d9","AGR2","o45.g128.x_female_pituitary_m.inc.d9",7.99216800214917
"226","female","pituitary","inc.d17","AGR2","o52.blu53_female_pituitary_inc.d17",9.75844141890333
"227","female","pituitary","inc.d9","AGR2","o73.x_female_pituitary_inc.d9",8.13381812434607
"228","female","pituitary","m.inc.d8","AGR2","p.g.blk.s040_female_pituitary_m.inc.d8",9.42037160397392
"229","female","pituitary","m.inc.d17","AGR2","pk.s011.o.y_female_pituitary_m.inc.d17",7.39504903058981
"230","female","pituitary","m.hatch","AGR2","pk.s054.d.g_female_pituitary_m.hatch",7.65176645439811
"231","female","pituitary","m.inc.d8","AGR2","pk.s055.d.l_female_pituitary_m.inc.d8",8.49048202822774
"232","female","pituitary","control","AGR2","r.r.x.ATLAS.R2XR_female_pituitary_control",8.04220205139926
"233","female","pituitary","control","AGR2","r.r.x.ATLAS_female_pituitary_control",9.01889555471778
"234","female","pituitary","m.inc.d3","AGR2","r.s035.y.blk_female_pituitary_m.inc.d3",8.02192586945967
"235","female","pituitary","bldg","AGR2","r.s056.g.o_female_pituitary_bldg",7.49136695694007
"236","female","pituitary","extend","AGR2","r.s131.o.d_female_pituitary_extend",7.27015272107642
"237","female","pituitary","n9","AGR2","r.s171.l.w_female_pituitary_n9",8.23454328529245
"238","female","pituitary","hatch","AGR2","r183.o22_female_pituitary_hatch",9.48667704151872
"239","female","pituitary","prolong","AGR2","r194.x_female_pituitary_prolong",9.0039059671812
"240","female","pituitary","inc.d3","AGR2","r27.w111.blu125_female_pituitary_inc.d3",8.16692429317923
"241","female","pituitary","inc.d9","AGR2","r30.w112.r46_female_pituitary_inc.d9",7.55122605024731
"242","female","pituitary","inc.d9","AGR2","r36.w184.x_female_pituitary_inc.d9",8.46918165296808
"243","female","pituitary","inc.d17","AGR2","r49.w189.x_female_pituitary_inc.d17",9.50705305131201
"244","female","pituitary","control","AGR2","r6.x_female_pituitary_control",8.13265367768423
"245","female","pituitary","inc.d3","AGR2","r73.g127.x_female_pituitary_inc.d3",7.53949454266174
"246","female","pituitary","bldg","AGR2","r83.g45_female_pituitary_bldg",7.85901033986585
"247","female","pituitary","n9","AGR2","r95.blu99_female_pituitary_n9",7.85557778320546
"248","female","pituitary","lay","AGR2","s.o.pk_female_pituitary_lay",7.20961792666877
"249","female","pituitary","prolong","AGR2","s.pu.pk_female_pituitary_prolong",10.4332330487718
"250","female","pituitary","control","AGR2","s.x.ATLAS_female_pituitary_control",9.41249525899595
"251","female","pituitary","m.inc.d8","AGR2","s002.x_female_pituitary_m.inc.d8",7.88985689509072
"252","female","pituitary","m.inc.d17","AGR2","s038.g.d.blk_female_pituitary_m.inc.d17",9.38540775575591
"253","female","pituitary","bldg","AGR2","s063.d.blk.l_female_pituitary_bldg",6.95642486206317
"254","female","pituitary","m.inc.d3","AGR2","s069.pk.pu.g_female_pituitary_m.inc.d3",7.89398689280498
"255","female","pituitary","extend","AGR2","s089.blk.pk.pu_female_pituitary_extend",8.17617638225548
"256","female","pituitary","m.inc.d8","AGR2","s091.blk.r.g_female_pituitary_m.inc.d8",8.45179565836044
"257","female","pituitary","bldg","AGR2","s092.blk.r.o_female_pituitary_bldg",8.10517143758398
"258","female","pituitary","m.inc.d3","AGR2","s093.blk.y.d_female_pituitary_m.inc.d3",7.17968468516707
"259","female","pituitary","lay","AGR2","s095.g.blk.o_female_pituitary_lay",7.13246922351455
"260","female","pituitary","m.inc.d17","AGR2","s100.l.pk.blk_female_pituitary_m.inc.d17",8.04066303896072
"261","female","pituitary","m.inc.d3","AGR2","s103.y.pk.blk_female_pituitary_m.inc.d3",8.02786104905531
"262","female","pituitary","lay","AGR2","s136.d.w.o_female_pituitary_lay",7.72230618501997
"263","female","pituitary","extend","AGR2","s137.g.blk.y_female_pituitary_extend",8.60183001598279
"264","female","pituitary","lay","AGR2","s142.o.pk.pu_female_pituitary_lay",7.37994955779276
"265","female","pituitary","lay","AGR2","s176.blk.pu.r_female_pituitary_lay",7.21138933023026
"266","female","pituitary","extend","AGR2","s186.l.o.pk_female_pituitary_extend",8.76949627048576
