"","geneid","bird_id","sex","tissue","stage","counts","manip","timept"
"232","prlr","blu81.r88","male","hypothalamus","n9",206.6718,"n",18
"233","prl","blu81.r88","male","pituitary","n9",212529.4,"n",18
"234","prlr","blu81.r88","male","pituitary","n9",73.23344,"n",18
"235","prl","blu84.x","male","gonad","extend.hatch",1048.588,"y",13
"236","prlr","blu84.x","male","gonad","extend.hatch",68.86643,"y",13
"237","prl","blu84.x","male","hypothalamus","extend.hatch",58.11384,"y",13
"238","prlr","blu84.x","male","hypothalamus","extend.hatch",159.7068,"y",13
"239","prl","blu84.x","male","pituitary","extend.hatch",596887.8,"y",13
"240","prlr","blu84.x","male","pituitary","extend.hatch",98.41707,"y",13
"241","prl","blu.o.x.ATLAS","female","gonad","control",234.5794,"n",1
"242","prlr","blu.o.x.ATLAS","female","gonad","control",11.61551,"n",1
"243","prl","blu.o.x.ATLAS","female","hypothalamus","control",115.2546,"n",1
"244","prlr","blu.o.x.ATLAS","female","hypothalamus","control",37.09266,"n",1
"245","prl","blu.o.x.ATLAS","female","pituitary","control",875195.1,"n",1
"246","prlr","blu.o.x.ATLAS","female","pituitary","control",145.1332,"n",1
"247","prl","d.r.blk.s159","female","gonad","m.inc.d9",330.2718,"y",8
"248","prlr","d.r.blk.s159","female","gonad","m.inc.d9",14.61671,"y",8
"249","prl","d.r.blk.s159","female","hypothalamus","m.inc.d9",209.0866,"y",8
"250","prlr","d.r.blk.s159","female","hypothalamus","m.inc.d9",168.6905,"y",8
"251","prl","d.r.blk.s159","female","pituitary","m.inc.d9",58332.88,"y",8
"252","prlr","d.r.blk.s159","female","pituitary","m.inc.d9",60.59304,"y",8
"253","prl","d.s008.y.blk","male","gonad","n5",352.4276,"n",17
"254","prlr","d.s008.y.blk","male","gonad","n5",54.66102,"n",17
"255","prl","d.s008.y.blk","male","hypothalamus","n5",181.456,"n",17
"256","prlr","d.s008.y.blk","male","hypothalamus","n5",259.2264,"n",17
"257","prl","d.s008.y.blk","male","pituitary","n5",231242.7,"n",17
"258","prlr","d.s008.y.blk","male","pituitary","n5",142.4198,"n",17
"259","prl","d.s047.blk.o","male","gonad","n5",725.9927,"n",17
"260","prlr","d.s047.blk.o","male","gonad","n5",41.17825,"n",17
"261","prl","d.s047.blk.o","male","hypothalamus","n5",165.7738,"n",17
"262","prlr","d.s047.blk.o","male","hypothalamus","n5",229.9514,"n",17
"263","prl","d.s047.blk.o","male","pituitary","n5",234913.6,"n",17
"264","prlr","d.s047.blk.o","male","pituitary","n5",89.06695,"n",17
"265","prl","d.s110.g.blk","male","gonad","m.inc.d3",837.457,"y",5
"266","prlr","d.s110.g.blk","male","gonad","m.inc.d3",27.79,"y",5
"267","prl","d.s110.g.blk","male","hypothalamus","m.inc.d3",208.4887,"y",5
"268","prlr","d.s110.g.blk","male","hypothalamus","m.inc.d3",296.9366,"y",5
