"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_426173.3",0.021579604653548,1.66595651601804,0.572346068896875,"hypothalamus","m.inc.d3",428616,"CLVS2",428616,"CLVS2"
"XP_015148252.1",0.077826533826585,1.10887231136684,0.571174963529198,"hypothalamus","m.inc.d3",415905,"PRKCD",415905,"PRKCD"
"XP_015135282.1",0.0380165090066584,1.42002776618583,0.569227670445419,"hypothalamus","m.inc.d3",373933,"GRM5",373933,"GRM5"
"XP_015129779.1",0.0408247749048344,1.38907620114997,0.568819783767401,"hypothalamus","m.inc.d3",107050569,"LOC107050569",107050569,"LOC107050569"
"XP_004935395.1",0.0633766153533564,1.19807095814999,0.568442731231751,"hypothalamus","m.inc.d3",428566,"SYT14",428566,"SYT14"
"NP_989777.1",0.0534826590802896,1.2717870083811,0.567816413460232,"hypothalamus","m.inc.d3",395093,"PHACTR1",395093,"PHACTR1"
"NP_001026706.1",0.0753450850573569,1.12294507250778,0.565784367337372,"hypothalamus","m.inc.d3",428727,"NPY1R",428727,"NPY1R"
"XP_015139871.1",0.0280587212265236,1.55193212578519,0.565047735689112,"hypothalamus","m.inc.d3",421541,"PGBD5",421541,"PGBD5"
"XP_015135849.1",0.0993178285825775,1.00297278413271,0.564952378901237,"hypothalamus","m.inc.d3",427450,"TLE1",427450,"TLE1"
"XP_015139559.1",0.0656793158497382,1.18257137970456,0.564844770198024,"hypothalamus","m.inc.d3",421648,"TIAM2",421648,"TIAM2"
"XP_004940707.1",0.0957654266718448,1.01879125204545,0.564009715627059,"hypothalamus","m.inc.d3",428707,"HTR2C",428707,"HTR2C"
"XP_015151776.1",0.0831324271272437,1.0802295396884,0.563614910096259,"hypothalamus","m.inc.d3",419119,"DLGAP4",419119,"DLGAP4"
"XP_004941345.1",0.0607081709079917,1.21675285189946,0.555593342034232,"hypothalamus","m.inc.d3",428837,"PAK6",428837,"PAK6"
"XP_426074.5",0.0348765783894403,1.45746612865562,0.554870930345509,"hypothalamus","m.inc.d3",428520,"DLGAP1",428520,"DLGAP1"
"XP_004946514.2",0.079176626471424,1.10140300644915,0.551210969941391,"hypothalamus","m.inc.d3",771003,"CAMKK1",771003,"CAMKK1"
"XP_004936069.1",0.0752463777527881,1.12351440151272,0.549808458046624,"hypothalamus","m.inc.d3",422741,"KIAA1456",422741,"KIAA1456"
"NP_001161175.1",0.0143028834101573,1.84457640149386,0.548788537147562,"hypothalamus","m.inc.d3",396288,"GABRQ",396288,"GABRQ"
"NP_001244188.1",0.0305775074198241,1.51459791977185,0.545436428171811,"hypothalamus","m.inc.d3",100857260,"PEAK1",100857260,"PEAK1"
"XP_004936359.1",0.0617441878124678,1.20940391774077,0.544460435575967,"hypothalamus","m.inc.d3",428799,"ADRA2C",428799,"ADRA2C"
"XP_424860.4",0.0582996492038699,1.23433405843622,0.543806465614602,"hypothalamus","m.inc.d3",427277,"RGMB",427277,"RGMB"
"XP_015143884.1",0.0807020745544027,1.09311530101586,0.542779670865414,"hypothalamus","m.inc.d3",423796,"PCGF5",423796,"PCGF5"
"XP_004935280.1",0.0745612855052661,1.12748661295248,0.542130143596732,"hypothalamus","m.inc.d3",421028,"DSEL",421028,"DSEL"
"XP_015140173.1",0.03419278714169,1.46606549730455,0.539600021877035,"hypothalamus","m.inc.d3",421809,"BACH2",421809,"BACH2"
"XP_001232593.3",0.0383535357391811,1.41619459309091,0.535921030314154,"hypothalamus","m.inc.d3",769337,"PRR16",769337,"PRR16"
"XP_425198.2",0.0243854724571015,1.61286882573883,0.53449007529343,"hypothalamus","m.inc.d3",427626,"NEURL1B",427626,"NEURL1B"
"XP_003643087.2",0.0402089255646117,1.39567753166194,0.534324936811214,"hypothalamus","m.inc.d3",427297,"HOOK3",427297,"HOOK3"
"XP_015152407.1",0.0425148879444698,1.37145896124608,0.531820198859011,"hypothalamus","m.inc.d3",419497,"PTCHD2",419497,"PTCHD2"
"NP_001029985.1",0.0507524692673988,1.29454282310701,0.530326737495278,"hypothalamus","m.inc.d3",723973,"CAMK4",723973,"CAMK4"
"XP_015140087.1",0.0607081709079917,1.21675285189946,0.524366486871454,"hypothalamus","m.inc.d3",395967,"EPHA7",395967,"EPHA7"
"XP_015143066.1",0.0322034936519577,1.4920970105569,0.519375367699539,"hypothalamus","m.inc.d3",425792,"LOC425792",425792,"LOC425792"
"XP_015141672.1",0.0435643876921375,1.36086838569957,0.518928438118391,"hypothalamus","m.inc.d3",418081,"CHST11",418081,"CHST11"
"XP_425563.3",0.0389629556790387,1.40934810553038,0.517101948884485,"hypothalamus","m.inc.d3",427993,"IL1RAPL1",427993,"IL1RAPL1"
