"gene","padj","logpadj","lfc","tissue","direction"
"N4BP2",2.21819741639772e-47,46.653999804879,1.92794592764045,"gonads","male"
"SLC4A3",7.91419707671186e-27,26.1015931392781,1.9266370510208,"gonads","male"
"NPHP1",2.67673469523808e-51,50.5723946718104,1.9262660536784,"gonads","male"
"ANKK1",0.0790665085557266,1.10200743849427,1.92592874254227,"gonads","male"
"ADAR",3.18031352275897e-50,49.4975300641375,1.92558801812143,"gonads","male"
"SDC3",1.14672081385082e-09,8.9405423046469,1.92535236343444,"gonads","male"
"MASP2",2.2532876514623e-12,11.6471833633279,1.92531122311762,"gonads","male"
"MCHR2",2.2686851042067e-08,7.64422578044649,1.92421569194404,"gonads","male"
"EDARADD",1.74960894393131e-18,17.7570590098686,1.92337350087954,"gonads","male"
"PCP4",2.65191117414914e-10,9.57644102673142,1.92336959004747,"gonads","male"
"TRPS1",2.98407338555175e-27,26.5251905007207,1.92331492044846,"gonads","male"
"LOC427654",0.00356917112880751,2.44743262870025,1.92074168836369,"gonads","male"
"WDR35",2.04979397612722e-43,42.6882897874942,1.92042879209224,"gonads","male"
"WDR86",1.86238295278161e-40,39.7299310123023,1.91886023363566,"gonads","male"
"BLOC1S2",7.31682928891328e-65,64.1356770775001,1.91843729627551,"gonads","male"
"CLUH",1.26087895667152e-63,62.899326603334,1.91662248858193,"gonads","male"
"GNG7",3.72973009950858e-40,39.4283225946082,1.91564434083255,"gonads","male"
"NEUROG2",1.52650538460045e-09,8.81630165943074,1.91340053384286,"gonads","male"
"KCNA2",1.28592530533035e-07,6.89078425724771,1.9130061440408,"gonads","male"
"COL17A1",1.26035410542679e-09,8.89950741962275,1.91162649036353,"gonads","male"
"TSHZ3",4.98179828128549e-60,59.3026138615242,1.9111883229915,"gonads","male"
"IMMT",1.19878050426549e-48,47.9212603285882,1.91112235092963,"gonads","male"
"KBTBD3",3.29338719950382e-34,33.4823572068155,1.90905311161737,"gonads","male"
