"V1","sex","treatment","sextissue","hypothesis"
"x.blk16_male_hypothalamus_n9.NYNO","male","n9","male_hypothalamus","hatchling.care"
"x.blu101.w43_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"x.blu102.w105_female_hypothalamus_inc.d3","female","inc.d3","female_hypothalamus","incubation"
"x.blu106.o153_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"x.blu109.w121_female_hypothalamus_n5","female","n5","female_hypothalamus","hatchling.care"
"x.blu116.w107_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"x.blu117.w89_male_hypothalamus_inc.d17","male","inc.d17","male_hypothalamus","incubation"
"x.blu122.r66_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"x.blu23.w14_male_hypothalamus_n9","male","n9","male_hypothalamus","hatchling.care"
"x.blu30_male_hypothalamus_n5","male","n5","male_hypothalamus","hatchling.care"
"x.blu42.o28_male_hypothalamus_inc.d3.NYNO","male","inc.d3","male_hypothalamus","incubation"
"x.blu43.g132_female_hypothalamus_n9","female","n9","female_hypothalamus","hatchling.care"
"x.blu6.y80_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"x.g.ATLAS_male_hypothalamus_control","male","control","male_hypothalamus","anticipation"
"x.g.g.ATLAS_male_hypothalamus_control","male","control","male_hypothalamus","anticipation"
"x.g13.w109_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"x.g14.w199_male_hypothalamus_inc.d17","male","inc.d17","male_hypothalamus","incubation"
"x.g147.blu28_male_hypothalamus_inc.d3","male","inc.d3","male_hypothalamus","incubation"
"x.g37_female_hypothalamus_n5","female","n5","female_hypothalamus","hatchling.care"
"x.g4.w50_female_hypothalamus_n9","female","n9","female_hypothalamus","hatchling.care"
"x.g43_female_hypothalamus_n5","female","n5","female_hypothalamus","hatchling.care"
"x.g49_female_hypothalamus_n5","female","n5","female_hypothalamus","hatchling.care"
