"gene","padj","logpadj","lfc","tissue","direction","row.names","geneid","entrezid"
"XP_015129309.1",3.94145926270013e-07,6.40434295776683,1.74497107934714,"pituitary","bldg",NA,NA,NA
"NP_990411.1",2.51517885696749e-12,11.5994311263806,1.74096154631999,"pituitary","bldg",NA,NA,NA
"XP_001235379.3",0.0407705897145146,1.3896530067743,1.73989456052204,"pituitary","bldg",NA,NA,NA
"NP_989815.2",5.01806389476569e-09,8.2994638131355,1.73918737377182,"pituitary","bldg",NA,NA,NA
"XP_015152935.1",0.013743220523046,1.86191148478028,1.73884848600414,"pituitary","bldg",NA,NA,NA
"XP_015157758.1",0.00555468504307302,2.25534056101353,1.73686077590596,"pituitary","bldg",NA,NA,NA
"XP_004935952.1",0.0365553348905393,1.43704923308508,1.73424505537744,"pituitary","bldg",NA,NA,NA
"NP_989554.3",0.0174746978304595,1.75759032526461,1.73326716619626,"pituitary","bldg",NA,NA,NA
"XP_015128534.1",1.35413938202886e-08,7.86833663127084,1.73306432992271,"pituitary","bldg",NA,NA,NA
"XP_015130003.1",6.09045630039372e-10,9.21535016856262,1.7285738865458,"pituitary","bldg",NA,NA,NA
"XP_015154259.1",1.74937507130751e-07,6.75711706648718,1.72728150409671,"pituitary","bldg",NA,NA,NA
"XP_015129825.1",5.52348117248924e-13,12.2577871220027,1.72401729255173,"pituitary","bldg",NA,NA,NA
"XP_015139938.1",0.0435156968015773,1.36135405788089,1.71433303827854,"pituitary","bldg",NA,NA,NA
"NP_989829.1",5.9123251263205e-05,4.22824169154753,1.69926158220955,"pituitary","bldg",NA,NA,NA
"NP_001231990.1",3.52963752846137e-05,4.45226989162968,1.69876062541441,"pituitary","bldg",NA,NA,NA
"XP_015129362.1",3.72372409729108e-09,8.42902250477527,1.69469867944527,"pituitary","bldg",NA,NA,NA
"XP_015157396.1",0.00011869046575541,3.92558416593267,1.68836997278519,"pituitary","bldg",NA,NA,NA
"XP_015155764.1",3.37029821930212e-13,12.4723316690791,1.6853926380963,"pituitary","bldg",NA,NA,NA
"XP_015130045.1",2.12386168285826e-07,6.6728737702306,1.67481386113247,"pituitary","bldg",NA,NA,NA
"NP_001264519.1",0.0156659618377003,1.80504293573394,1.67414156449573,"pituitary","bldg",NA,NA,NA
"XP_015153997.1",7.89587967494507e-17,16.1025994784876,1.6725288492416,"pituitary","bldg",NA,NA,NA
"XP_015148386.1",0.00166043431458252,2.77977830005873,1.67232266996809,"pituitary","bldg",NA,NA,NA
"XP_015155221.1",0.0890522386521961,1.05035515849074,1.67213663321574,"pituitary","bldg",NA,NA,NA
"XP_015140490.1",4.44913569946051e-12,11.351724347988,1.66601115641023,"pituitary","bldg",NA,NA,NA
"XP_015142180.1",0.0727045993206361,1.13843811463764,1.66157945805267,"pituitary","bldg",NA,NA,NA
"XP_015148606.1",6.09955534390887e-05,4.21470182379668,1.65930044520509,"pituitary","bldg",NA,NA,NA
"XP_001235310.3",1.38900819815209e-08,7.85729519097822,1.65590967465691,"pituitary","bldg",NA,NA,NA
"XP_001231503.1",0.00288329895189135,2.54011032589978,1.64646876922749,"pituitary","bldg",NA,NA,NA
"NP_001026526.1",1.29567383696759e-06,5.88750431068203,1.64058308048926,"pituitary","bldg",NA,NA,NA
"XP_424913.4",0.0848293691305821,1.0714537628006,1.64007217524534,"pituitary","bldg",NA,NA,NA
"XP_015136185.1",0.00893610880606908,2.04885155189024,1.63434062494101,"pituitary","bldg",NA,NA,NA
"XP_423038.1",0.000124631132226608,3.90437345955966,1.62675170180317,"pituitary","bldg",NA,NA,NA
"XP_015142341.1",5.31816828376277e-08,7.27423792432803,1.6254209749781,"pituitary","bldg",NA,NA,NA
"XP_015130140.1",3.22633278992788e-09,8.49129083800871,1.62541654331241,"pituitary","bldg",NA,NA,NA
"XP_015154479.1",0.093388935301357,1.02970457582795,1.6082483133148,"pituitary","bldg",NA,NA,NA
"XP_015156073.1",0.00138891520272908,2.85732426838119,1.60556542508862,"pituitary","bldg",NA,NA,NA
"XP_015155728.1",0.058951506857039,1.22950508944365,1.60341793051174,"pituitary","bldg",NA,NA,NA
"XP_015157878.1",0.0785888391960494,1.10463912596736,1.60285332012151,"pituitary","bldg",NA,NA,NA
"XP_004945003.1",0.0188253307230861,1.72525738538226,1.59980920041939,"pituitary","bldg",NA,NA,NA
"NP_001026281.1",0.0206661205577128,1.68474104144264,1.59681932148164,"pituitary","bldg",NA,NA,NA
"XP_015140695.1",5.15098915504413e-08,7.2881093644874,1.58923447164359,"pituitary","bldg",NA,NA,NA
