"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_004941789.1",5.11594190012266e-05,4.29107439628865,1.53920309024812,"hypothalamus","prolong",423290,"RASGRP1",423290,"RASGRP1"
"XP_015150824.1",0.0408006427193083,1.38933299555594,1.52901198842751,"hypothalamus","prolong",417371,"UNK",417371,"UNK"
"XP_004942214.2",0.00338500831481539,2.47044026019183,1.52505001601884,"hypothalamus","prolong",423814,"IDE",423814,"IDE"
"XP_004946195.2",0.00919334626310486,2.03652638207586,1.51943040730679,"hypothalamus","prolong",417377,"MYO15L",417377,"MYO15L"
"NP_989786.1",0.000180664883868666,3.74312625377069,1.51037004788223,"hypothalamus","prolong",395106,"SS2",395106,"SS2"
"NP_001161478.1",0.031683694900273,1.49916417742254,1.49992892801179,"hypothalamus","prolong",423733,"DUPD1",423733,"DUPD1"
"XP_015133445.1",0.0396093652862957,1.40220211681984,1.49961075345114,"hypothalamus","prolong",421064,"GREB1L",421064,"GREB1L"
"XP_004946242.2",0.0079220218277121,2.10116396530943,1.49881164744286,"hypothalamus","prolong",417417,"MILR1",417417,"MILR1"
"XP_415919.3",0.000178694813166045,3.74788805323614,1.48809415719939,"hypothalamus","prolong",417673,"SGSM2",417673,"SGSM2"
"XP_426302.3",0.0339811327437608,1.46876214824021,1.48646137151843,"hypothalamus","prolong",428744,"ARHGEF38",428744,"ARHGEF38"
"NP_989691.1",4.83157830148523e-05,4.31591097780787,1.48525386221292,"hypothalamus","prolong",378782,"EPHA1",378782,"EPHA1"
"XP_004940733.1",0.0210748296758824,1.67623592660231,1.48004609968293,"hypothalamus","prolong",422244,"GPR112",422244,"GPR112"
"XP_015141308.1",6.31428919030826e-05,4.19967553158555,1.47644284456848,"hypothalamus","prolong",422857,"WFS1",422857,"WFS1"
"XP_015130238.1",0.0351054260776995,1.45462575152631,1.46973408837572,"hypothalamus","prolong",107051069,"LOC107051069",107051069,"LOC107051069"
"XP_421969.4",2.75523492005265e-05,4.55984136591094,1.46128367303434,"hypothalamus","prolong",424116,"PDE1A",424116,"PDE1A"
"NP_990447.2",0.00249967788507633,2.60211595202675,1.45543005244329,"hypothalamus","prolong",396013,"MYBPC3",396013,"MYBPC3"
"XP_015155670.1",0.0370374408828772,1.43135902870827,1.43751374324021,"hypothalamus","prolong",428354,"KDM4B",428354,"KDM4B"
"NP_998751.1",0.0559894582474151,1.25189373470713,1.43482524850492,"hypothalamus","prolong",407088,"MASP1",407088,"MASP1"
"XP_004948029.1",0.00878006828467806,2.05650210646935,1.42901192258545,"hypothalamus","prolong",419726,"LOC419726",419726,"LOC419726"
"XP_004947192.1",0.00158686661017633,2.79945957790745,1.4266160840548,"hypothalamus","prolong",100858468,"PDYN",100858468,"PDYN"
"XP_015157102.1",0.0178853784943418,1.74750186478173,1.42368609777226,"hypothalamus","prolong",101748402,"LOC101748402",101748402,"LOC101748402"
"XP_015132545.1",0.0233844278026055,1.63107325244828,1.42104414920104,"hypothalamus","prolong",424829,"HES6",424829,"HES6"
"XP_004941378.1",0.0297480886580543,1.52654093285732,1.41790178133394,"hypothalamus","prolong",422977,"NAV2",422977,"NAV2"
"XP_015141282.1",0.0807468799599274,1.09287424970726,1.41677742775818,"hypothalamus","prolong",770095,"EVC2",770095,"EVC2"
"NP_001076833.2",0.0203199851855585,1.69207661301373,1.4166353587779,"hypothalamus","prolong",431665,"SLC45A2",431665,"SLC45A2"
"XP_425380.2",0.0184593627003027,1.73378329683771,1.41496049053416,"hypothalamus","prolong",427809,"SMURF2",427809,"SMURF2"
"NP_001138320.1",8.72549687369297e-05,4.05920983275172,1.41257165876159,"hypothalamus","prolong",427633,"DRD1",427633,"DRD1"
"XP_015138943.1",0.000200063532068962,3.69883206810842,1.39714154955919,"hypothalamus","prolong",396444,"SNAP25",396444,"SNAP25"
"XP_015133278.1",0.000326584508254979,3.48600442014726,1.39660308022106,"hypothalamus","prolong",418705,"AFF3",418705,"AFF3"
"XP_015149243.1",0.0005571605024602,3.25401967862924,1.3959716166751,"hypothalamus","prolong",414893,"GRIA1",414893,"GRIA1"
"XP_003641458.1",0.000122444497834026,3.91206072555771,1.39451890401639,"hypothalamus","prolong",423444,"BCL11B",423444,"BCL11B"
"XP_015149031.1",0.00905613192458978,2.04305725955421,1.39349810111492,"hypothalamus","prolong",427606,"NRG2",427606,"NRG2"
"XP_015140388.1",0.00155648817151832,2.80785417537584,1.39094578745212,"hypothalamus","prolong",428645,"FAM83B",428645,"FAM83B"
"XP_015155616.1",0.0538587662134013,1.26874359954777,1.37611405992645,"hypothalamus","prolong",420115,"HOMER3",420115,"HOMER3"
"NP_989737.1",0.00133823770342608,2.87346673849841,1.37458820751856,"hypothalamus","prolong",378927,"BRS3",378927,"BRS3"
"XP_015142521.1",0.000230271144603805,3.63776048029233,1.37248947620796,"hypothalamus","prolong",423195,"CHRM4",423195,"CHRM4"
"XP_015130343.1",0.0410355002762178,1.38684026759284,1.3702275483871,"hypothalamus","prolong",101751101,"LOC101751101",101751101,"LOC101751101"
"XP_015140429.1",0.00072686730030428,3.13854486837883,1.36768246011463,"hypothalamus","prolong",421913,"SNTG2",421913,"SNTG2"
"XP_015143371.1",0.0141296738184897,1.84986786366206,1.36299391562412,"hypothalamus","prolong",423509,"SYNE2",423509,"SYNE2"
"XP_417089.2",0.00553129822734352,2.25717292533159,1.36262190897024,"hypothalamus","prolong",418895,"TRPC4",418895,"TRPC4"
"XP_015142745.1",0.0976033631178089,1.01053521759619,1.35806364727403,"hypothalamus","prolong",373918,"ACTN1",373918,"ACTN1"
"XP_004942743.1",9.80012199875242e-05,4.0087685178733,1.34844943924508,"hypothalamus","prolong",424116,"PDE1A",424116,"PDE1A"
"XP_015149516.1",0.000964261072836954,3.01580536532749,1.34356975733522,"hypothalamus","prolong",427949,"CLCN1",427949,"CLCN1"
"NP_990524.1",0.00022061080167572,3.65637322719359,1.34043547085603,"hypothalamus","prolong",396110,"FOXG1",396110,"FOXG1"
"XP_004939995.1",0.0582273605537779,1.23487289601442,1.33648174980365,"hypothalamus","prolong",420204,"SLC7A13",420204,"SLC7A13"
"XP_015147190.1",0.00548680245107253,2.26068067602655,1.32955581631051,"hypothalamus","prolong",429157,"SPATA16",429157,"SPATA16"
"XP_015129562.1",0.00962640941297357,2.01653567164119,1.32948221320518,"hypothalamus","prolong",107050292,"LOC107050292",107050292,"LOC107050292"
"XP_015133741.1",0.00554628893470974,2.25599750953611,1.32861981772193,"hypothalamus","prolong",422233,"MBNL3",422233,"MBNL3"
"NP_001001607.2",0.0029017898600139,2.53733404122317,1.32535895959787,"hypothalamus","prolong",414339,"AvBD12",414339,"AvBD12"
"XP_416293.3",3.32497469198398e-05,4.47821165597698,1.3244189271278,"hypothalamus","prolong",418057,"RASD2",418057,"RASD2"
"XP_004941476.1",0.0853444343259997,1.06882479581838,1.32290802933512,"hypothalamus","prolong",423077,"SERGEF",423077,"SERGEF"
"XP_004940921.1",0.0640669403172891,1.19336601637098,1.32270851917693,"hypothalamus","prolong",101748316,"FMR1NB",101748316,"FMR1NB"
"NP_990213.1",0.0359287533912455,1.44455785111417,1.31838393122913,"hypothalamus","prolong",395696,"GC",395696,"GC"
"XP_015145234.1",0.000125539913511741,3.90121817488386,1.31770346892179,"hypothalamus","prolong",424177,"GALNT3",424177,"GALNT3"
