"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"LACTBL1",0.036912471873889,1,0,-0.747287711815674,"male_hypothalamus","NS","inc.d3"
"LOC107049717",0.0110184173929713,1,0,-0.751316917738503,"male_hypothalamus","NS","inc.d3"
"DMGDH",0.0448664834812518,1,0,-0.76039422234367,"male_hypothalamus","NS","inc.d3"
"GPR157",0.019296450847593,1,0,-0.771512940132546,"male_hypothalamus","NS","inc.d3"
"CCDC169",0.0485884769018194,1,0,-0.777636040863145,"male_hypothalamus","NS","inc.d3"
"LRP2",0.0162355599135576,1,0,-0.789902649559842,"male_hypothalamus","NS","inc.d3"
"FYB",0.0261533562875546,1,0,-0.79512406149665,"male_hypothalamus","NS","inc.d3"
"NUPL2",0.0269909307723083,1,0,-0.802448760847732,"male_hypothalamus","NS","inc.d3"
"LOC107055160",0.0495667331228121,1,0,-0.824912412500571,"male_hypothalamus","NS","inc.d3"
"LOC421584",0.041671202743196,1,0,-0.826524194296513,"male_hypothalamus","NS","inc.d3"
"LOC101750925",0.0159910847702298,1,0,-0.829374674528495,"male_hypothalamus","NS","inc.d3"
"FBLIM1",0.00751644340523034,1,0,-0.888445570972801,"male_hypothalamus","NS","inc.d3"
"CIB2",0.0266312506900868,1,0,-0.907083513709057,"male_hypothalamus","NS","inc.d3"
"SLC1A7",0.0353696887572846,1,0,-0.920912722584319,"male_hypothalamus","NS","inc.d3"
"LOC107050012",0.0208327751660575,1,0,-0.954562427241906,"male_hypothalamus","NS","inc.d3"
"GAL3ST2",0.0427753405797201,1,0,-0.977866063037802,"male_hypothalamus","NS","inc.d3"
"SIPA1L2",0.012227821303291,1,0,-1.01671390515269,"male_hypothalamus","NS","inc.d3"
"BMPR1B",0.0283830780299374,1,0,-1.03918791786383,"male_hypothalamus","NS","inc.d3"
"LY96",0.0392350741356519,1,0,-1.05949778980487,"male_hypothalamus","NS","inc.d3"
"SCARA5",0.0330051860336444,1,0,-1.12255650883035,"male_hypothalamus","NS","inc.d3"
"TNFSF13B",0.0474264107917924,1,0,-1.13292734019312,"male_hypothalamus","NS","inc.d3"
"RLN1",0.0329022746094702,1,0,-1.18288657787226,"male_hypothalamus","NS","inc.d3"
"GPR20",0.0310494010061897,1,0,-1.18359479808942,"male_hypothalamus","NS","inc.d3"
"INSC",0.0431908295346645,1,0,-1.19048584004428,"male_hypothalamus","NS","inc.d3"
"MYOF",0.0156280142452202,1,0,-1.19861553068821,"male_hypothalamus","NS","inc.d3"
"C14H7ORF62",0.0273474153933418,1,0,-1.2395412440042,"male_hypothalamus","NS","inc.d3"
"PYROXD2",0.00232330363111121,1,0,-1.38552348139374,"male_hypothalamus","NS","inc.d3"
"LOC107057578",0.0372620815378945,1,0,-1.4284051558849,"male_hypothalamus","NS","inc.d3"
"HMX2",0.0407459684253885,1,0,-1.45779967903865,"male_hypothalamus","NS","inc.d3"
"BIN2",0.019240934367386,1,0,-1.50766795147304,"male_hypothalamus","NS","inc.d3"
"LOC425540",0.0374844168080315,1,0,-1.56630474316809,"male_hypothalamus","NS","inc.d3"
"LGALS3",0.00779507673664929,1,0,-1.59089597150191,"male_hypothalamus","NS","inc.d3"
"C7ORF72",0.0149381179926352,1,0,-1.59483964850399,"male_hypothalamus","NS","inc.d3"
"C7ORF57",0.0295664455751824,1,0,-1.73125835722755,"male_hypothalamus","NS","inc.d3"
"CD300A",0.0333796816547152,1,0,-1.74186993103444,"male_hypothalamus","NS","inc.d3"
"KLHL34",0.0255937307889284,1,0,-1.77901709759929,"male_hypothalamus","NS","inc.d3"
"MDFI",0.033907660986404,1,0,-1.83904760661645,"male_hypothalamus","NS","inc.d3"
"CRYGS",0.00464214013517273,1,0,-1.84763669384063,"male_hypothalamus","NS","inc.d3"
"WNT7B",0.0095483177323093,1,0,-1.92478222485036,"male_hypothalamus","NS","inc.d3"
"BPIFCB",0.0236719989222619,1,0,-2.02960114141531,"male_hypothalamus","NS","inc.d3"
"ALPI",0.0309473788877237,1,0,-2.06966235481841,"male_hypothalamus","NS","inc.d3"
"CLCNKB",0.0251067234877722,1,0,-2.18479546650505,"male_hypothalamus","NS","inc.d3"
"CD4",0.0114421668637242,1,0,-2.28402049368315,"male_hypothalamus","NS","inc.d3"
"LOC107049166",0.0182347562688846,1,0,-2.4856122124227,"male_hypothalamus","NS","inc.d3"
"IRF5",0.0191653559794341,1,0,-2.51907458301993,"male_hypothalamus","NS","inc.d3"
"IGJ",0.00193459734283593,1,0,-2.74240474199283,"male_hypothalamus","NS","inc.d3"
"PITX2",0.00115872565880575,1,0,-2.85958166811488,"male_hypothalamus","NS","inc.d3"
"HPGDS",0.000431609174915271,0.900412448405526,0.0455585094106816,-3.1575356433108,"male_hypothalamus","NS","inc.d3"
"IGLL1",0.000247525077229277,0.900412448405526,0.0455585094106816,-3.88493375611727,"male_hypothalamus","NS","inc.d3"
